date,nn_signal,tda_turbulence,tda_regime_multiplier,has_position,blocked_reason,position_size_if_traded,portfolio_value,num_trades_so_far
2023-01-03,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-04,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-05,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-06,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-09,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-10,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-11,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-12,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-13,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-17,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-18,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-19,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-20,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-23,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-24,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-25,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-26,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-27,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-30,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-01-31,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-01,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-02,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-03,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-06,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-07,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-08,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-09,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-10,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-13,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-14,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-15,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-16,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-17,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-21,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-22,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-23,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-24,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-27,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-02-28,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,100000.00,0
2023-03-01,0.458082,0.026772,0.983937,False,NN_SIGNAL_TOO_HIGH_SELL,14419.09,100000.00,0
2023-03-02,0.460769,0.027142,0.983715,False,NN_SIGNAL_TOO_HIGH_SELL,14531.24,100000.00,0
2023-03-03,0.457703,0.027721,0.983367,False,NN_SIGNAL_TOO_HIGH_SELL,14375.75,100000.00,0
