date,actual_regime,detected_regime,position_size,pnl
2024-03-01 00:00:00,0,high_trending_down,0.015126311771535696,-0.000256121418337719
2024-03-04 00:00:00,0,high_trending_down,0.01519877349327818,-9.334957447854297e-05
2024-03-05 00:00:00,0,high_trending_down,0.015106327842035477,0.00046128623390883017
2024-03-06 00:00:00,0,high_trending_down,0.015098519935914365,0.0002202771159977615
2024-03-07 00:00:00,0,high_trending_down,0.015186964780691207,-0.00037863322380762284
2024-03-08 00:00:00,0,high_flat,0.01524722457935219,-0.00015444485611663112
2024-03-11 00:00:00,0,high_flat,0.015195796633991798,4.000367508810252e-07
2024-03-12 00:00:00,0,high_flat,0.015199670978078473,-0.0001312033473591677
2024-03-13 00:00:00,0,high_flat,0.015255100740888209,-0.0007633022506027681
2024-03-14 00:00:00,0,high_flat,0.01523208211144194,-6.119636990264512e-05
2024-03-15 00:00:00,0,high_trending_down,0.01513649649657789,-0.0004084248500282314
2024-03-18 00:00:00,0,high_trending_down,0.015214412229390208,-0.00013125086442031467
2024-03-19 00:00:00,0,high_trending_down,0.015223539241082964,-0.00025019997974159557
2024-03-20 00:00:00,0,high_trending_down,0.01520727902936406,0.00010193935372574569
2024-03-21 00:00:00,0,high_trending_down,0.014992533701156495,4.6784128143269275e-05
2024-03-22 00:00:00,0,high_trending_down,0.01506626451346607,-0.0001669079740837028
2024-03-25 00:00:00,0,high_trending_down,0.015101334872343313,0.0004997351806873267
2024-03-26 00:00:00,0,high_trending_down,0.015080521732210278,-0.0001624410515720767
2024-03-27 00:00:00,1,high_trending_down,0.01515747126309959,7.748266075745061e-05
2024-03-28 00:00:00,1,high_trending_down,0.015177768243051884,-4.609383848665257e-05
2024-03-29 00:00:00,1,high_trending_down,0.015124922008986392,0.00012250247612276537
2024-04-01 00:00:00,1,high_trending_down,0.015154533137931287,-6.39872729627746e-05
2024-04-02 00:00:00,1,high_trending_down,0.015157028426319134,-4.6206305100280114e-05
2024-04-03 00:00:00,1,high_trending_down,0.015110942042172913,-0.00033776989224912037
2024-04-04 00:00:00,1,high_trending_down,0.015092494775102541,-0.00029125408113474645
2024-04-05 00:00:00,1,high_trending_down,0.015081385424300176,0.0005288136154381276
2024-04-08 00:00:00,1,high_trending_down,0.015105366755905854,0.00014546207576216917
2024-04-09 00:00:00,1,high_trending_down,0.0151571644159764,-0.0004697013454136285
