Date,IWM,QQQ,SPY
2019-01-03,,,
2019-01-04,,,
2019-01-07,,,
2019-01-08,,,
2019-01-09,,,
2019-01-10,,,
2019-01-11,,,
2019-01-14,,,
2019-01-15,,,
2019-01-16,,,
2019-01-17,,,
2019-01-18,,,
2019-01-22,,,
2019-01-23,,,
2019-01-24,,,
2019-01-25,,,
2019-01-28,,,
2019-01-29,,,
2019-01-30,,,
2019-01-31,,,
2019-02-01,,,
2019-02-04,,,
2019-02-05,,,
2019-02-06,,,
2019-02-07,,,
2019-02-08,,,
2019-02-11,,,
2019-02-12,,,
2019-02-13,,,
2019-02-14,,,
2019-02-15,,,
2019-02-19,,,
2019-02-20,,,
2019-02-21,,,
2019-02-22,,,
2019-02-25,,,
2019-02-26,,,
2019-02-27,,,
2019-02-28,,,
2019-03-01,,,
2019-03-04,,,
2019-03-05,,,
2019-03-06,,,
2019-03-07,,,
2019-03-08,,,
2019-03-11,,,
2019-03-12,,,
2019-03-13,,,
2019-03-14,,,
2019-03-15,,,
2019-03-18,,,
2019-03-19,,,
2019-03-20,,,
2019-03-21,,,
2019-03-22,,,
2019-03-25,,,
2019-03-26,,,
2019-03-27,,,
2019-03-28,,,
2019-03-29,0.17168077536587156,0.1806240442200677,0.13550864906255342
2019-04-01,0.16734299284464707,0.1663052544392497,0.12565345697962424
2019-04-02,0.1512872232372209,0.14457975223011357,0.1081198147564455
2019-04-03,0.1479896773386563,0.14344869194657886,0.10746929693893933
2019-04-04,0.14545394343396945,0.14293486008900405,0.10639059109184405
2019-04-05,0.145685566469126,0.14255524503724898,0.1064092737691481
2019-04-08,0.14566072696022878,0.14255214051599213,0.10638676902257788
2019-04-09,0.14836542484284393,0.14252589147829164,0.10732147237779885
2019-04-10,0.14853565547208233,0.140715080493307,0.10608332488711764
2019-04-11,0.148005338210278,0.13656647404132097,0.1043183595457222
2019-04-12,0.14756564770410902,0.13653635119042998,0.1048094242161276
2019-04-15,0.14703897674737682,0.13610889968214185,0.10424643075205962
2019-04-16,0.14587079052557567,0.1351871690269806,0.10142795886576891
2019-04-17,0.14316100490168468,0.12710545042282798,0.09685942655723101
2019-04-18,0.14318446546769492,0.12710603395744846,0.09685761819250166
2019-04-22,0.14306792379373431,0.12683532806431125,0.09684299612897587
2019-04-23,0.14391222516133964,0.12709205103299306,0.09700717943144231
2019-04-24,0.14330727089976222,0.12388009873866018,0.09541500014150836
2019-04-25,0.144469075074415,0.12134774640026258,0.09532650155048483
2019-04-26,0.14413374346780183,0.11184984655425839,0.09095878918354039
2019-04-29,0.14352915189551074,0.10873888169444726,0.08972780984019875
2019-04-30,0.14402261342262845,0.10985984095387369,0.08972641640129157
2019-05-01,0.14381127880994846,0.1082608209070624,0.09084584422405997
2019-05-02,0.14403659281531858,0.1079987020870294,0.09090401059851433
2019-05-03,0.14877756419021948,0.11145071066073967,0.09244793897804722
2019-05-06,0.14750133053248893,0.10809758400353764,0.09036912017028603
2019-05-07,0.15368703097359415,0.11677877781267494,0.0977140849268515
2019-05-08,0.1533509178710736,0.11697697369309715,0.0978444855525413
2019-05-09,0.15160221074805802,0.11461482191911034,0.09506840064475139
2019-05-10,0.15159838989191005,0.11460694706408839,0.09533001991196434
2019-05-13,0.16534519285566268,0.13638119729282128,0.10907173850324979
2019-05-14,0.16409732420322748,0.13780832123916786,0.10837995804740316
2019-05-15,0.1641391360848416,0.14044398934675417,0.10891607404191422
2019-05-16,0.16436064881823623,0.14161099417449702,0.11034295342987928
2019-05-17,0.16661603287460156,0.14321282109542235,0.11097518416682484
2019-05-20,0.16608464889646224,0.14727106318019084,0.11131750453945069
2019-05-21,0.16855011960332741,0.14849892015640057,0.11270178585339968
2019-05-22,0.16882508731722265,0.1488958998580515,0.11291443945193617
2019-05-23,0.17376897113286038,0.15247488775212986,0.11586209256759604
2019-05-24,0.17490471238175437,0.15237720069980504,0.11584597414342336
2019-05-28,0.17432776012237247,0.15203951708198657,0.1168398799897987
2019-05-29,0.17419658755479928,0.15305679641916153,0.11742617276822014
2019-05-30,0.174061801381557,0.1532705278758628,0.11751820838863644
2019-05-31,0.1718363070677148,0.15639414239770094,0.12013279593775009
2019-06-03,0.1712149028305543,0.16090161112804316,0.1189928941910679
2019-06-04,0.17955257138925831,0.17092365709189034,0.126884725415451
2019-06-05,0.17579919277969563,0.1662581680604174,0.1246716743570659
2019-06-06,0.17584986141526954,0.16666533947176682,0.12511469562172875
2019-06-07,0.176295843211219,0.1705650070580892,0.12602114549803423
2019-06-10,0.17657988137644878,0.17203166100074774,0.12627907752359055
2019-06-11,0.17657038394631974,0.17110470152914806,0.1259576935876237
2019-06-12,0.17604970707193418,0.17154910639624465,0.12586617617017018
2019-06-13,0.17717427737069646,0.17181692769318962,0.12609893207324566
2019-06-14,0.17725974811281145,0.17192613167619736,0.12593600892125006
2019-06-17,0.17573071172558669,0.16938057969009962,0.12390321661129519
2019-06-18,0.16038968415642982,0.165485924981033,0.11874049254395509
2019-06-19,0.16031347955140943,0.16550160375900266,0.118733212818837
2019-06-20,0.15921585988899975,0.16622775504608575,0.11930922723668516
2019-06-21,0.1600659848827011,0.16559998585478367,0.11873305478773372
2019-06-24,0.16109560173897053,0.165590464245701,0.11866411038886837
2019-06-25,0.1614588078799004,0.1691125342092786,0.12009177151380945
2019-06-26,0.1598735121678067,0.1672686974938941,0.11780789368061975
2019-06-27,0.16450449236607612,0.16727135585316502,0.11798684569674943
