Date,IWM,QQQ,SPY
2019-01-02,123.19659423828125,148.22752380371094,224.99530029296875
2019-01-03,120.99176025390625,143.38490295410156,219.6262664794922
2019-01-04,125.5112533569336,149.51953125,226.9828643798828
2019-01-07,127.70690155029297,151.29966735839844,228.77252197265625
2019-01-08,129.66470336914062,152.66819763183594,230.92193603515625
2019-01-09,130.73512268066406,153.91241455078125,232.00115966796875
2019-01-10,131.41213989257812,154.35264587402344,232.81954956054688
2019-01-11,131.44873046875,153.78799438476562,232.9094696044922
2019-01-14,130.14047241210938,152.42898559570312,231.48849487304688
2019-01-15,131.23828125,155.4053955078125,234.1415252685547
2019-01-16,132.21722412109375,155.37667846679688,234.70816040039062
2019-01-17,133.41571044921875,156.60169982910156,236.4888153076172
2019-01-18,134.78797912597656,158.15208435058594,239.63644409179688
2019-01-22,132.6563262939453,154.98428344726562,236.39891052246094
2019-01-23,132.29043579101562,155.1852569580078,236.89349365234375
2019-01-24,133.0863494873047,156.19017028808594,237.0194091796875
2019-01-25,134.79714965820312,158.056396484375,239.02491760253906
2019-01-28,134.0744171142578,156.10398864746094,237.20831298828125
2019-01-29,133.7541961669922,154.63018798828125,236.89349365234375
2019-01-30,135.218017578125,158.5636444091797,240.64370727539062
2019-01-31,136.37078857421875,160.93716430664062,242.75721740722656
2019-02-01,136.48052978515625,160.25762939453125,242.8740997314453
2019-02-04,138.1090087890625,162.24826049804688,244.58279418945312
2019-02-05,138.25537109375,163.683837890625,245.6081085205078
2019-02-06,138.0814971923828,163.19577026367188,245.28427124023438
2019-02-07,136.94711303710938,161.00408935546875,242.94610595703125
2019-02-08,137.09347534179688,161.31991577148438,243.24281311035156
2019-02-11,138.2371063232422,161.1668243408203,243.3776397705078
2019-02-12,139.96617126464844,163.54986572265625,246.50738525390625
2019-02-13,140.35955810546875,163.66470336914062,247.3078155517578
2019-02-14,140.67977905273438,163.86569213867188,246.7592315673828
2019-02-15,142.92117309570312,164.55471801757812,249.44827270507812
2019-02-19,143.31460571289062,164.88015747070312,249.87989807128906
2019-02-20,143.99163818359375,164.8514404296875,250.3834686279297
2019-02-21,143.442626953125,164.2484893798828,249.49317932128906
2019-02-22,144.68690490722656,165.4639434814453,251.04010009765625
2019-02-25,144.72348022460938,166.06690979003906,251.38180541992188
2019-02-26,143.7262420654297,166.23915100097656,251.20188903808594
2019-02-27,143.92759704589844,166.13388061523438,251.093994140625
2019-02-28,143.43353271484375,165.75103759765625,250.62631225585938
2019-03-01,144.7692413330078,166.89952087402344,252.19122314453125
2019-03-04,143.46099853515625,166.92819213867188,251.27386474609375
2019-03-05,142.79310607910156,167.05264282226562,250.93212890625
2019-03-06,139.99359130859375,166.10516357421875,249.41226196289062
2019-03-07,138.76763916015625,164.06661987304688,247.3257598876953
2019-03-08,138.73110961914062,163.81787109375,246.83119201660156
2019-03-11,141.1555633544922,167.2248992919922,250.41049194335938
2019-03-12,141.2286834716797,168.1436767578125,251.35484313964844
2019-03-13,141.78675842285156,169.40699768066406,253.01866149902344
2019-03-14,141.2104034423828,169.11985778808594,252.85665893554688
2019-03-15,141.58547973632812,170.68943786621094,254.1058807373047
2019-03-18,142.49124145507812,171.09591674804688,255.02734375
2019-03-19,141.76849365234375,171.6711883544922,255.0905303955078
2019-03-20,140.58697509765625,172.3520050048828,254.32264709472656
2019-03-21,142.43075561523438,175.0461883544922,257.1951904296875
2019-03-22,137.24798583984375,171.201416015625,252.2451629638672
2019-03-25,137.85337829589844,170.8754119873047,252.0554962158203
2019-03-26,139.3027801513672,171.6711883544922,253.93421936035156
2019-03-27,138.76153564453125,170.568603515625,252.60641479492188
2019-03-28,139.99989318847656,170.9617462158203,253.56396484375
2019-03-29,140.43106079101562,172.25607299804688,255.16281127929688
2019-04-01,141.96292114257812,174.53799438476562,258.1888122558594
2019-04-02,141.59600830078125,175.1995849609375,258.3153076171875
2019-04-03,142.32984924316406,176.20628356933594,258.7218017578125
2019-04-04,143.02703857421875,176.13919067382812,259.4082336425781
2019-04-05,144.3662872314453,177.05001831054688,260.663818359375
2019-04-08,144.1277618408203,177.5006561279297,260.8626708984375
2019-04-09,142.36656188964844,176.87742614746094,259.5257263183594
2019-04-10,144.30209350585938,177.8266143798828,260.410888671875
2019-04-11,144.11859130859375,177.40480041503906,260.33868408203125
2019-04-12,144.6414794921875,178.17181396484375,262.10009765625
2019-04-15,144.1736602783203,178.20054626464844,261.9284973144531
2019-04-16,144.51307678222656,178.814208984375,262.10009765625
2019-04-17,143.19216918945312,179.43740844726562,261.45880126953125
2019-04-18,142.7701873779297,179.66746520996094,261.97357177734375
2019-04-22,142.39407348632812,180.1756591796875,262.1994323730469
2019-04-23,144.54058837890625,182.46719360351562,264.5571594238281
2019-04-24,144.9900360107422,181.89193725585938,263.9698791503906
2019-04-25,143.7884063720703,182.6301727294922,263.8072814941406
2019-04-26,145.18270874023438,182.79312133789062,265.0358581542969
2019-04-29,145.87986755371094,183.14796447753906,265.45135498046875
2019-04-30,145.20103454589844,181.72891235351562,265.58685302734375
2019-05-01,143.82504272460938,181.14405822753906,263.590576171875
2019-05-02,144.49468994140625,180.35784912109375,263.0214538574219
2019-05-03,147.25582885742188,183.23423767089844,265.59588623046875
2019-05-06,147.42095947265625,182.1124267578125,264.5028991699219
2019-05-07,144.50389099121094,178.56494140625,260.085693359375
2019-05-08,143.7975616455078,178.11428833007812,259.7244567871094
2019-05-09,143.2747039794922,177.15550231933594,258.9385681152344
2019-05-10,143.6691131591797,177.3760223388672,260.2393493652344
