Date,IWM,QQQ,SPY
2019-01-02,,,
2019-01-03,,,
2019-01-04,,,
2019-01-07,,,
2019-01-08,,,
2019-01-09,,,
2019-01-10,,,
2019-01-11,,,
2019-01-14,,,
2019-01-15,,,
2019-01-16,,,
2019-01-17,,,
2019-01-18,,,
2019-01-22,,,
2019-01-23,,,
2019-01-24,,,
2019-01-25,,,
2019-01-28,,,
2019-01-29,,,
2019-01-30,,,
2019-01-31,,,
2019-02-01,,,
2019-02-04,,,
2019-02-05,,,
2019-02-06,,,
2019-02-07,,,
2019-02-08,,,
2019-02-11,,,
2019-02-12,,,
2019-02-13,,,
2019-02-14,,,
2019-02-15,,,
2019-02-19,,,
2019-02-20,,,
2019-02-21,,,
2019-02-22,,,
2019-02-25,,,
2019-02-26,,,
2019-02-27,,,
2019-02-28,,,
2019-03-01,,,
2019-03-04,,,
2019-03-05,,,
2019-03-06,,,
2019-03-07,,,
2019-03-08,,,
2019-03-11,,,
2019-03-12,,,
2019-03-13,,,
2019-03-14,,,
2019-03-15,,,
2019-03-18,,,
2019-03-19,,,
2019-03-20,,,
2019-03-21,,,
2019-03-22,,,
2019-03-25,,,
2019-03-26,,,
2019-03-27,,,
2019-03-28,,,
2019-03-29,,,
2019-04-01,,,
2019-04-02,,,
2019-04-03,,,
2019-04-04,,,
2019-04-05,,,
2019-04-08,,,
2019-04-09,,,
2019-04-10,,,
2019-04-11,,,
2019-04-12,,,
2019-04-15,,,
2019-04-16,,,
2019-04-17,,,
2019-04-18,,,
2019-04-22,,,
2019-04-23,,,
2019-04-24,,,
2019-04-25,,,
2019-04-26,,,
2019-04-29,,,
2019-04-30,,,
2019-05-01,,,
2019-05-02,,,
2019-05-03,,,
2019-05-06,,,
2019-05-07,,,
2019-05-08,,,
2019-05-09,,,
2019-05-10,,,
2019-05-13,,,
2019-05-14,,,
2019-05-15,,,
2019-05-16,,,
2019-05-17,,,
2019-05-20,,,
2019-05-21,,,
2019-05-22,,,
2019-05-23,,,
2019-05-24,,,
2019-05-28,,,
2019-05-29,,,
2019-05-30,,,
2019-05-31,,,
2019-06-03,,,
2019-06-04,,,
2019-06-05,,,
2019-06-06,,,
2019-06-07,,,
2019-06-10,,,
2019-06-11,,,
2019-06-12,,,
2019-06-13,,,
2019-06-14,,,
2019-06-17,,,
2019-06-18,,,
2019-06-19,,,
2019-06-20,,,
2019-06-21,,,
2019-06-24,,,
2019-06-25,,,
2019-06-26,,,
2019-06-27,,,
2019-06-28,,,
2019-07-01,,,
2019-07-02,,,
2019-07-03,,,
2019-07-05,,,
2019-07-08,,,
2019-07-09,,,
2019-07-10,,,
2019-07-11,,,
2019-07-12,,,
2019-07-15,,,
2019-07-16,,,
2019-07-17,,,
2019-07-18,,,
2019-07-19,,,
2019-07-22,,,
2019-07-23,,,
2019-07-24,,,
2019-07-25,,,
2019-07-26,,,
2019-07-29,,,
2019-07-30,,,
2019-07-31,,,
2019-08-01,,,
2019-08-02,,,
2019-08-05,,,
2019-08-06,,,
2019-08-07,,,
2019-08-08,,,
2019-08-09,,,
2019-08-12,,,
2019-08-13,,,
2019-08-14,,,
2019-08-15,,,
2019-08-16,,,
2019-08-19,,,
2019-08-20,,,
2019-08-21,,,
2019-08-22,,,
2019-08-23,,,
2019-08-26,,,
2019-08-27,,,
2019-08-28,,,
2019-08-29,,,
2019-08-30,,,
2019-09-03,,,
2019-09-04,,,
2019-09-05,,,
2019-09-06,,,
2019-09-09,,,
2019-09-10,,,
2019-09-11,,,
2019-09-12,,,
2019-09-13,,,
2019-09-16,,,
2019-09-17,,,
2019-09-18,,,
2019-09-19,,,
2019-09-20,,,
2019-09-23,,,
2019-09-24,,,
2019-09-25,,,
2019-09-26,,,
2019-09-27,,,
2019-09-30,,,
2019-10-01,,,
2019-10-02,,,
2019-10-03,,,
2019-10-04,,,
2019-10-07,,,
2019-10-08,,,
2019-10-09,,,
2019-10-10,,,
2019-10-11,,,
2019-10-14,,,
2019-10-15,,,
2019-10-16,,,
2019-10-17,,,
2019-10-18,,,
2019-10-21,,,
2019-10-22,,,
2019-10-23,,,
2019-10-24,,,
2019-10-25,,,
2019-10-28,,,
2019-10-29,,,
2019-10-30,,,
2019-10-31,,,
2019-11-01,,,
2019-11-04,,,
2019-11-05,,,
2019-11-06,,,
2019-11-07,,,
2019-11-08,,,
2019-11-11,,,
2019-11-12,,,
2019-11-13,,,
2019-11-14,,,
2019-11-15,,,
2019-11-18,,,
2019-11-19,,,
2019-11-20,,,
2019-11-21,,,
2019-11-22,,,
2019-11-25,,,
2019-11-26,,,
2019-11-27,,,
2019-11-29,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-23,,,
2019-12-24,,,
2019-12-26,,,
2019-12-27,,,
2019-12-30,,,
2019-12-31,,,
2020-01-02,0.2011716398647876,0.3186344293155645,0.26304070478902686
2020-01-03,0.21916669735447547,0.35249236634356973,0.28523985288562614
2020-01-06,0.18336240854741392,0.30356962079055316,0.2512582896940476
2020-01-07,0.164174562344646,0.2907776906533408,0.2437019920714134
2020-01-08,0.1599904727228736,0.292892750545388,0.243379874055915
2020-01-09,0.14830231176827535,0.27662329911436756,0.2337048128347874
2020-01-10,0.14308925474087641,0.27192168969780006,0.22799710736527357
2020-01-13,0.1424200290111326,0.2833530284313872,0.23100755996725608
2020-01-14,0.16384179598601745,0.304459964607142,0.24923962630917362
2020-01-15,0.14967168292555888,0.28368933320032275,0.23582430649177288
2020-01-16,0.1492030917988576,0.29681601246655376,0.24131088659518762
2020-01-17,0.14457807211090445,0.287409423846656,0.2322339452687483
2020-01-21,0.1351264764166722,0.2757630620604352,0.2161246863541333
2020-01-22,0.1583289863482622,0.30997750331050855,0.23783301218081698
2020-01-23,0.16321521661549654,0.3135545432100246,0.24066418585908766
2020-01-24,0.15855702860840593,0.3085506667152529,0.24189895465897027
2020-01-27,0.14646687040825812,0.2937716925728955,0.23151751606171245
2020-01-28,0.15264693768457582,0.32151196757986056,0.24755514134984358
2020-01-29,0.14972218467061738,0.3329845022283746,0.24890312766746292
2020-01-30,0.13439599496617327,0.29139777630586616,0.22266202163412374
2020-01-31,0.12637039626298896,0.2747503645050837,0.2149617548487408
2020-02-03,0.12621198901478792,0.3015304527126692,0.22573384916765393
2020-02-04,0.10856920122080038,0.2737865206221102,0.20795399432203343
2020-02-05,0.10887067936442918,0.2707499936609645,0.20750019274767983
2020-02-06,0.10657388315505645,0.27437294756020414,0.20569469889486447
2020-02-07,0.11919320919990106,0.30142943738008876,0.22378605421676911
2020-02-10,0.11935044550883855,0.3098877042585588,0.23058163705893198
2020-02-11,0.10593192322716893,0.30777925757905833,0.22636060683898562
2020-02-12,0.09935818013712905,0.3035913742381795,0.2191171981022968
2020-02-13,0.10030619863622792,0.29754771847289696,0.21331884215796748
2020-02-14,0.10307410633227732,0.2964862425182291,0.21876389201250368
2020-02-18,0.09978762570621491,0.3034304260895835,0.21565488582529735
2020-02-19,0.09379238194488959,0.3072952267466105,0.21733225232898445
2020-02-20,0.07963462827219359,0.30693769470174304,0.21250467194149403
2020-02-21,0.0830556931346067,0.31520182337935543,0.21697863435914555
2020-02-24,0.073036629364849,0.30973930372483194,0.21086660697036574
2020-02-25,0.05956847090409112,0.2940016415884763,0.198466750974442
2020-02-26,0.05479208891839815,0.26596047288903013,0.18010113366726266
2020-02-27,0.06207811150435205,0.2862200179100365,0.1929798654520598
2020-02-28,0.05965972557621968,0.29128648047531636,0.19421875591703053
2020-03-02,0.049882810157303226,0.28696817961941057,0.19065981977786972
2020-03-03,0.03748343412899158,0.2663422002181757,0.17330795645527886
2020-03-04,0.05395877299307572,0.28451806829435466,0.18363343510232366
2020-03-05,0.09126121844828461,0.321413506024508,0.20899646764775737
2020-03-06,0.1178728246206735,0.3422432658406085,0.2332750581923666
2020-03-09,0.11562765552830534,0.35588537521721375,0.23990430708969868
2020-03-10,0.08300043315308536,0.32254777265344137,0.21566760925145978
2020-03-11,0.08854523490359267,0.33121774344015287,0.22014150486095518
2020-03-12,0.09178104024940659,0.3215183183023056,0.2142187433945022
2020-03-13,0.10378788820194584,0.33665651969573696,0.22282447139962103
2020-03-16,0.10374518830048163,0.3226693394591582,0.21551462873270966
2020-03-17,0.0924996460814198,0.32330551607240987,0.2130630906612343
2020-03-18,0.09571475006834618,0.3193772124846552,0.2096376438430534
2020-03-19,0.11059500898029295,0.3267623475013106,0.21909063915553384
2020-03-20,0.09888731310680487,0.2942142520105995,0.2005226292310709
2020-03-23,0.12883198564841192,0.2978599725344069,0.21147562790440522
2020-03-24,0.09004368765952298,0.25019058371346636,0.1721780436957876
2020-03-25,0.04036509949725864,0.2105579210006041,0.1282487932669436
2020-03-26,0.032328679212252354,0.22466261670738819,0.1300077427629207
2020-03-27,-0.012829708623391278,0.16066369699296223,0.07518175944879535
2020-03-30,-0.03388483900865891,0.15283895595826502,0.06395536512511701
2020-03-31,-0.013613427458075256,0.19647923044603144,0.09702209050686084
2020-04-01,-0.03122568600751152,0.1537378896138959,0.06508979409948124
2020-04-02,-0.008795495666737319,0.19500842364231286,0.1081147741700792
2020-04-03,-0.04500225104604294,0.15914278026567086,0.06844426113041568
2020-04-06,-0.07261476332414452,0.13372265290028995,0.045720319496777684
2020-04-07,-0.1613987931045252,0.05229111805075415,-0.03667962182268769
2020-04-08,-0.12451866987991067,0.11349872958035401,0.01838681141030274
2020-04-09,-0.19119683213947114,0.05931545656465209,-0.034550864253550584
2020-04-13,-0.27965519373515346,-0.03552672920880673,-0.12668018086978705
2020-04-14,-0.23418340995001274,0.04166582453145029,-0.05839404244934154
2020-04-15,-0.33362854571038036,-0.08326092851758748,-0.16087870576670538
2020-04-16,-0.30471853038109,-0.0171187790388887,-0.11615176859836696
2020-04-17,-0.3526946555726078,-0.05032403285483111,-0.15884562115216583
2020-04-20,-0.32545430294187405,-0.04584690871188335,-0.15871446294710723
2020-04-21,-0.33975547201449474,-0.08581272751539804,-0.1956625605188046
2020-04-22,-0.35918234590417086,-0.09664154297856609,-0.22321288396401484
2020-04-23,-0.30272118687439264,-0.02360963955280282,-0.1509488408066577
2020-04-24,-0.2881554340154322,-0.03475763880760152,-0.13770729082761546
2020-04-27,-0.25114133991066867,0.015166788680357257,-0.09158836320676778
2020-04-28,-0.2818363553008284,-0.021646726155638008,-0.12002567165345912
2020-04-29,-0.2625817119671875,0.021856731934561946,-0.09191146476688405
2020-04-30,-0.25928024793442794,0.016401103925154148,-0.09867214844947558
2020-05-01,-0.3129560644774586,-0.022542853884438552,-0.13737365099811605
2020-05-04,-0.3194548957687213,-0.018360754466088425,-0.12602260174196478
2020-05-05,-0.33947344996263473,-0.02633163858660137,-0.1350960877816687
2020-05-06,-0.27454695552061326,0.06400686626506347,-0.06132804176432982
2020-05-07,-0.26910657213980127,0.06626460712669635,-0.05906410684682051
2020-05-08,-0.2329833664744302,0.09479707388323377,-0.024526986119693395
2020-05-11,-0.19848570957311984,0.095016953395475,-0.014632736845154204
2020-05-12,-0.19452550892906317,0.14663831891170864,0.0015400164292476148
2020-05-13,-0.18842122118322147,0.18351710889865824,0.021836745751413034
2020-05-14,-0.224056112485002,0.15364825131874515,-0.005698699585270028
2020-05-15,-0.2346879925890567,0.16300274773481194,-0.010070244520638538
2020-05-18,-0.1896830922339242,0.1862520060674575,0.023288930409311126
2020-05-19,-0.1936503490096425,0.1923301762877374,0.011951670277153825
2020-05-20,-0.22334237212986674,0.13646060195913878,-0.027541964414897868
2020-05-21,-0.20726102916117706,0.17542029135347526,-0.0028958851061162694
2020-05-22,-0.18265218816558249,0.1911405474244794,0.009365220986764511
2020-05-26,-0.1763116190171934,0.2105361794602849,0.021118626264209572
2020-05-27,-0.13680711852042948,0.22487954404272936,0.04556549025093748
