date,capital
2020-04-01,100000.0
2020-04-02,102168.52196522888
2020-04-03,100705.09949269009
2020-04-06,107686.75019191191
2020-04-07,107719.6629616989
2020-04-08,110671.1482360398
2020-04-09,111597.73701981147
2020-04-13,111676.93026243578
2020-04-14,115750.05873125388
2020-04-15,113858.77349256969
2020-04-16,115178.61696591572
2020-04-17,117269.7137457006
2020-04-20,115544.53515840531
2020-04-21,111654.86684228151
2020-04-22,114553.30304526656
2020-04-23,114425.82315604351
2020-04-24,116126.52473168317
2020-04-27,117427.01408596116
2020-04-28,116045.39485191835
2020-04-29,119621.73068091314
2020-04-30,119042.52459020926
2020-05-01,115788.07153382977
2020-05-04,116622.66336789381
2020-05-05,117823.00260882056
2020-05-06,117790.52071187891
2020-05-07,119260.16721839138
2020-05-08,121061.94304440118
2020-05-11,121621.22022512087
2020-05-12,119135.03257382454
2020-05-13,117340.53140981201
2020-05-14,118708.06680561433
2020-05-15,119368.13295199219
2020-05-18,122285.39820105358
2020-05-19,121509.99622179425
2020-05-20,123758.20935034385
2020-05-21,122652.7368275333
2020-05-22,122982.36095749117
2020-05-26,123558.82378969669
2020-05-27,124810.00603672877
2020-05-28,124613.7401293198
2020-05-29,125807.19938122717
2020-06-01,126249.23004922044
2020-06-02,127195.3261095221
2020-06-03,128328.24396935353
2020-06-04,127711.12754796547
2020-06-05,130616.53470731813
2020-06-08,131915.63127615678
2020-06-09,131889.67967474193
2020-06-10,132307.3854362673
2020-06-11,125217.85649412654
2020-06-12,126463.24065739044
2020-06-15,127823.99131176862
2020-06-16,130150.68996628225
2020-06-17,130089.79433070771
2020-06-18,130292.57455912813
2020-06-19,129913.69392552192
2020-06-22,131114.50405924505
2020-06-23,131978.5782958081
2020-06-24,128940.92041370636
2020-06-25,130244.12938128418
2020-06-26,127159.71228164903
2020-06-29,128782.6463090624
2020-06-30,130877.88286400426
2020-07-01,132106.03603221427
2020-07-02,132918.09105697589
2020-07-06,135578.28176368074
2020-07-07,134413.3065575654
2020-07-08,135815.13070604805
2020-07-09,136009.72361474304
2020-07-10,137164.5803774534
2020-07-13,135147.74050408974
2020-07-14,136498.20033833943
2020-07-15,137261.20418498406
2020-07-16,136566.3367362264
2020-07-17,136843.29045447003
2020-07-20,139337.16391671164
2020-07-21,138750.85676387488
2020-07-22,139389.58380784706
2020-07-23,136735.23726043527
2020-07-24,135646.73166081816
2020-07-27,137346.9566328337
2020-07-28,136038.03671044266
2020-07-29,137658.79798967618
2020-07-30,137770.68191201903
2020-07-31,139544.06367003574
2020-08-03,140973.6086976473
2020-08-04,141507.45819148206
2020-08-05,142120.1788036254
2020-08-06,143539.08114843036
2020-08-07,142754.22829111054
2020-08-10,142661.07302641816
2020-08-11,140721.7068465902
2020-08-12,143467.56952786865
2020-08-13,143501.30187914317
2020-08-14,143419.0321711728
2020-08-17,144479.9359474317
2020-08-18,145334.02085309091
2020-08-19,144540.9668416678
2020-08-20,145774.26018090622
2020-08-21,146541.0929120122
2020-08-24,147736.9528707618
2020-08-25,148580.26534905873
2020-08-26,150922.6643547028
2020-08-27,150844.38365884894
2020-08-28,151713.25709764624
2020-08-31,152062.7685228726
2020-09-01,154090.65634330522
2020-09-02,155934.5950577003
2020-09-03,149301.55930853615
2020-09-04,147701.51802047202
2020-09-08,142154.92004596302
2020-09-09,145629.8018710444
2020-09-10,142917.4522054165
2020-09-11,142469.10849989165
2020-09-14,144640.46626820372
2020-09-15,146015.94794124836
2020-09-16,144577.82043007592
2020-09-17,142824.62871422613
2020-09-18,141093.52886771067
2020-09-21,140450.64564102626
2020-09-22,142457.89720837979
2020-09-23,138640.13968022703
2020-09-24,139144.772293045
2020-09-25,141877.13081947807
2020-09-28,144523.78144240548
2020-09-29,143803.44572236558
2020-09-30,144841.74418675003
2020-10-01,146445.92889792254
2020-10-02,143690.86740442953
2020-10-05,146494.68009295725
2020-10-06,144148.21199055715
2020-10-07,146649.67638038768
2020-10-08,147692.3119854991
2020-10-09,149474.79989820562
2020-10-12,152975.21701127855
2020-10-13,152472.93485680164
2020-10-14,151356.79333163137
2020-10-15,150754.8940734687
2020-10-16,150296.78678926316
2020-10-19,147927.77965407592
2020-10-20,148383.69410685953
2020-10-21,148185.3674573479
2020-10-22,148591.25468867336
2020-10-23,148990.70664774167
2020-10-26,146494.7085526797
2020-10-27,146808.64633025945
2020-10-28,141438.33617142675
2020-10-29,143391.89911153147
2020-10-30,140825.99118210797
2020-11-02,141776.77645225666
2020-11-03,144254.8504812402
2020-11-04,149067.00375608169
2020-11-05,152463.10961594997
2020-11-06,152502.78441171913
2020-11-09,151896.95165526352
2020-11-10,150442.7517652145
2020-11-11,152658.93458502367
2020-11-12,151554.40497742803
2020-11-13,153273.09413937567
2020-11-16,154833.107454298
2020-11-17,154168.19938622075
2020-11-18,152664.97344328748
2020-11-19,153579.7385475382
2020-11-20,152528.63144838752
2020-11-23,152993.9625884618
2020-11-24,155303.80357288558
2020-11-25,155651.70119741576
2020-11-27,156579.36606699193
2020-11-30,156387.8599266162
2020-12-01,158244.1393514788
2020-12-02,158512.32864947358
2020-12-03,158602.78619124394
2020-12-04,159609.17716267932
2020-12-07,159895.99247750692
2020-12-08,160400.60104955203
2020-12-09,157863.01795028208
2020-12-10,158152.56569843407
2020-12-11,157884.93371361884
2020-12-14,158101.40756944774
2020-12-15,160014.47946126515
2020-12-16,160580.49373787295
2020-12-17,161554.65033202895
2020-12-18,160988.26961551167
2020-12-21,160550.47406703857
2020-12-22,160635.25553286326
2020-12-23,160299.47842802684
2020-12-24,160965.12702154595
2020-12-28,162468.27827461192
2020-12-29,162387.27414671774
2020-12-30,162504.95317016172
2020-12-31,163116.36061153258
2021-01-04,160854.2382039479
2021-01-05,162071.72135700638
2021-01-06,161425.22841015685
2021-01-07,164573.4888206664
2021-01-08,166100.26457357663
2021-01-11,164338.2123200062
2021-01-12,164224.94263914085
2021-01-13,165000.15610279105
2021-01-14,164269.98323261115
2021-01-15,163020.41810587968
2021-01-19,164849.32486094788
2021-01-20,167909.32416673106
2021-01-21,168661.81230421265
2021-01-22,168121.07580741873
2021-01-25,169151.51301739877
2021-01-26,169146.6386343923
2021-01-27,164717.7096255325
2021-01-28,165910.4050311539
2021-01-29,162503.45456472336
2021-02-01,165893.18271726326
2021-02-02,168419.23429650624
2021-02-03,168150.96634514543
2021-02-04,170100.82383404224
2021-02-05,170724.03849520464
2021-02-08,171912.49040150054
2021-02-09,171837.13762885274
2021-02-10,171604.14848639094
2021-02-11,172213.84109651286
2021-02-12,173120.42290264904
2021-02-16,172811.35809428483
