date,top_1,top_2,score_SPY,score_QQQ,score_IWM,vol_z_SPY,vol_z_QQQ,vol_z_IWM,sharpe_z_SPY,sharpe_z_QQQ,sharpe_z_IWM,mom_z_SPY,mom_z_QQQ,mom_z_IWM,alloc_SPY,alloc_QQQ,alloc_IWM
2020-04-01,QQQ,SPY,0.25975852325038945,0.810420712838336,-1.0701792360887257,0.6528000171264047,0.4984570113074078,-1.1512570284338126,0.09884780814630424,0.9469052750230456,-1.04575308316935,0.02762774447845944,0.9858998521845548,-1.0135275966630144,0.5,0.5,0.0
2020-05-01,QQQ,SPY,0.2789927902639713,0.8043337750461559,-1.0833265653101263,0.6252331638509336,0.5281049047249676,-1.1533380685758987,0.07329117914755086,0.9613380286757282,-1.0346292078232793,0.13845402779342927,0.9235583917377719,-1.062012419531201,0.5,0.5,0.0
2020-06-01,QQQ,SPY,0.13546034211399247,0.8946836045045147,-1.0301439466185076,0.5260309401446904,0.627191577477756,-1.153222517622448,-0.07909507504777682,1.0371987675774528,-0.9581036925296759,-0.04055483875493619,1.0196604684583352,-0.9791056297033989,0.5,0.5,0.0
2020-07-01,QQQ,SPY,0.06925702384720168,0.9237564177243369,-0.9930134415715385,0.5170322281848473,0.6356361415462114,-1.1526683697310587,-0.19034780478194013,1.0814932142322329,-0.8911454094502925,-0.11891335186130209,1.0541398973945664,-0.9352265455332645,0.5,0.5,0.0
2020-09-01,QQQ,SPY,0.13230922922415259,0.7909387128630131,-0.9232479420871663,0.9047987936400308,0.1688930924880853,-1.0736918861281184,-0.21787753794064957,1.0909759545420783,-0.8730984166014286,-0.2899935680269235,1.1129470915588753,-0.822953523531952,0.5,0.5,0.0
2020-10-01,QQQ,SPY,0.1837954121346327,0.4082510202055773,-0.5920464323402101,1.0278238137401938,-0.9696351298151454,-0.05818868392504892,-0.206479018655904,1.087122028301214,-0.88064300964531,-0.2699585586803916,1.1072661621306632,-0.8373076034502717,0.5,0.5,0.0
2020-12-01,QQQ,SPY,0.12673146367791113,0.44919414284469017,-0.5759256065226005,1.07370790933119,-0.9047717363502181,-0.16893617298096944,-0.39593975762708056,1.1373440221918092,-0.7414042645647287,-0.29757376067037616,1.1150101426924794,-0.8174363820221034,0.5,0.5,0.0
2021-02-01,QQQ,SPY,-0.1903364597154531,0.613977484594835,-0.42364102487938243,1.1289478400952357,-0.35445587139887513,-0.7744919686963619,-0.9047919354348378,1.0736959477424148,-0.16890401230757662,-0.7951652838067572,1.1226923774409654,-0.3275270936342088,0.5,0.5,0.0
2021-03-01,QQQ,IWM,-0.34434928102935575,0.5831855861269798,-0.2388363050976242,1.0613906489286102,-0.13688392572732327,-0.9245067232012864,-1.0655274098124239,0.9181057662021732,0.14742164361024965,-1.0289110822042535,0.9683349179060896,0.060576164298164065,0.0,0.5,0.5
2021-04-01,IWM,SPY,0.22194338698753444,-0.5864479102051964,0.36450452321766086,1.1215779515369118,-0.32299247880161797,-0.798585472735293,0.3544644241616807,-1.128949727419714,0.7744853032580294,-0.8102122147359893,-0.3074015243942572,1.117613739130246,0.5,0.0,0.5
2021-06-01,IWM,SPY,0.2650027773865944,-0.5961887124878201,0.33118593510122524,1.125794973788688,-0.34054808225359784,-0.7852468915350916,0.48643853512875984,-1.1501554084565266,0.6637168733277667,-0.8172251767576648,-0.2978626467533359,1.1150878235110007,0.5,0.0,0.5
2021-07-01,SPY,IWM,0.40501589509864416,-0.6565629444113229,0.25154704931267863,1.0604887425525384,-0.13461484736595497,-0.9258738951865835,0.6210619900736484,-1.1535680662052987,0.5325060761316504,-0.4665030473302545,-0.6815059196627149,1.148008966992969,0.5,0.0,0.5
2021-09-01,SPY,IWM,0.3288445377350387,-0.47225187225275844,0.14340733451772078,0.6505263353458364,0.5009399642904859,-1.1514662996363216,0.6942862232027036,-1.1461894057565738,0.45190318255387213,-0.35827894534342397,-0.7715061752921876,1.1297851206356118,0.5,0.0,0.5
2021-10-01,SPY,IWM,0.3064271719480626,-0.40887765547579297,0.10245048352773105,0.6765136243866728,0.4721424640985459,-1.1486560884852182,0.8146891982044905,-1.1160131624989102,0.30132396429442054,-0.5719213067469755,-0.5827622680270146,1.1546835747739908,0.5,0.0,0.5
2021-11-01,SPY,IWM,0.5051832802092209,-0.32186087698749155,-0.18332240322172902,0.9083965805121835,0.16314419117972342,-1.071540771691906,1.1528808053608435,-0.5203210078788063,-0.6325597974820372,-0.5457275452453644,-0.6084058142633918,1.1541333595087562,0.5,0.0,0.5
2021-12-01,SPY,QQQ,0.29274367223117764,0.07017887661256128,-0.3629225488437362,0.9934907718314289,0.012893765557506641,-1.0063845373889346,0.8791146971002012,0.20880058654965392,-1.087915283649854,-0.9943744522380971,-0.01115772226947674,1.0055321745075798,0.5,0.5,0.0
2022-02-01,SPY,QQQ,0.9655120290171321,-0.016014379361451375,-0.9494976496556805,1.142849688831348,-0.4285229845482489,-0.7143267042830979,1.0003752725175366,-0.0007509679998203892,-0.9996243045177164,0.7533111257025116,0.38123081446371515,-1.1345419401662273,0.5,0.5,0.0
2022-03-01,SPY,QQQ,0.9165949414468019,-0.07686652652092246,-0.8397284149258791,1.1162606534325523,-0.8140045442504954,-0.3022561091820558,0.8961737518509426,0.182511613503463,-1.0786853653544055,0.7373504190569109,0.400893351184265,-1.1382437702411763,0.5,0.5,0.0
