datetime,UPRO_weighted_mom,TQQQ_weighted_mom,URTY_weighted_mom,UPRO_abs_mom,TQQQ_abs_mom,URTY_abs_mom,top_equity,all_equity_negative,spy_vol_20d,vol_position_size,is_friday,is_rebalance_day,corr_breakdown,alloc_UPRO,alloc_TQQQ,alloc_URTY,alloc_CASH
2024-06-28 04:00:00,0.24947099070415238,0.33020037855544554,-0.08004541616514162,1,1,0,TQQQ,False,7.0491204145991375,0.9,True,True,False,0.0,0.9,0.0,0.09999999999999998
2024-07-01 04:00:00,0.2633876992322677,0.3591195912333819,-0.09450758525519125,1,1,0,TQQQ,False,6.536771610190355,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-02 04:00:00,0.2969222885124829,0.42539553803686936,-0.050303371258604894,1,1,0,TQQQ,False,6.765563638633817,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-03 04:00:00,0.3226002626300215,0.48878743225271404,-0.04807223357711644,1,1,0,TQQQ,False,6.813007095613935,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-05 04:00:00,0.37889763858691333,0.583487566321277,-0.009235281922837535,1,1,0,TQQQ,False,5.943895284327814,0.9,True,True,False,0.0,0.9,0.0,0.09999999999999998
2024-07-08 04:00:00,0.3667911157779371,0.5716700725040418,0.0015891879528799023,1,1,1,TQQQ,False,5.909689698817493,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-09 04:00:00,0.3672791247770333,0.5727977219758036,-0.00960451932420359,1,1,0,TQQQ,False,5.8068040505182985,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-10 04:00:00,0.37924713093239754,0.5705165147705069,-0.0003737637940292235,1,1,0,TQQQ,False,6.44237539045603,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-11 04:00:00,0.3594605277783478,0.4747771157776126,0.15363334786130423,1,1,1,TQQQ,False,7.527652761081471,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-12 04:00:00,0.3614524233407568,0.45626647327243436,0.18834131117482858,1,1,1,TQQQ,False,7.340349951314909,0.9,True,True,False,0.0,0.9,0.0,0.09999999999999998
2024-07-15 04:00:00,0.3898337132204707,0.4820198032084748,0.284844394209507,1,1,1,TQQQ,False,7.349129398148657,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-16 04:00:00,0.43276093280223343,0.5086206533090775,0.45229807684861095,1,1,1,TQQQ,False,7.482017530724259,0.9,False,False,False,0.0,0.9,0.0,0.09999999999999998
2024-07-17 04:00:00,0.3819761939866215,0.372656624591867,0.4483434258437835,1,1,1,URTY,False,9.063489617124716,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-07-18 04:00:00,0.36511825474958076,0.3771979822593027,0.38788229390670137,1,1,1,URTY,False,9.533671661724204,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-07-19 04:00:00,0.32368738294165617,0.32500092009122916,0.3569252163635165,1,1,1,URTY,False,9.801576147900889,0.9,True,True,False,0.0,0.0,0.9,0.09999999999999998
2024-07-22 04:00:00,0.3586698443034415,0.3928549997343356,0.40610623765001463,1,1,1,URTY,False,10.2551519491967,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-07-23 04:00:00,0.3365193567363097,0.3596144386677249,0.3946819743143812,1,1,1,URTY,False,10.181038874303674,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-07-24 04:00:00,0.22555231967843642,0.19157322344712582,0.2802714898318741,1,1,1,URTY,False,13.128793353993103,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-07-25 04:00:00,0.2031094670293142,0.13337707836495,0.3516092734944372,1,1,1,URTY,False,13.227655811779346,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-07-26 04:00:00,0.2396494095393014,0.1727084046346613,0.41745005402786267,1,1,1,URTY,False,13.865432744399303,0.9,True,True,False,0.0,0.0,0.9,0.09999999999999998
2024-07-29 04:00:00,0.22913755125406288,0.16479613359710293,0.34663906236523484,1,1,1,URTY,False,13.794026910444087,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-07-30 04:00:00,0.19527829632070282,0.0995497533651867,0.31833990340565277,1,1,1,URTY,False,13.89040009320818,0.9,False,False,True,0.0,0.0,0.0,1.0
2024-07-31 04:00:00,0.27841478199062314,0.23441636534079835,0.397404330837425,1,1,1,URTY,False,14.901721269706622,0.9,False,False,False,0.0,0.0,0.9,0.09999999999999998
2024-08-01 04:00:00,0.2523011353849048,0.18042984840184256,0.29423462570766423,1,1,1,URTY,False,15.64394322589904,0.75,False,False,False,0.0,0.0,0.75,0.25
2024-08-02 04:00:00,0.1471415649426872,0.05916327794995324,0.1145471319631704,1,1,1,UPRO,False,16.663213314126853,0.75,True,True,False,0.75,0.0,0.0,0.25
2024-08-05 04:00:00,0.014865166202334135,-0.08321783599127792,0.0049558248985514435,1,0,1,UPRO,False,19.190723363594163,0.75,False,False,False,0.75,0.0,0.0,0.25
2024-08-06 04:00:00,0.03481829882295389,-0.06899601261073361,0.035758632148791096,1,0,1,URTY,False,19.660805418483214,0.75,False,False,False,0.0,0.0,0.75,0.25
2024-08-07 04:00:00,0.008362481696772096,-0.09736120048001871,-0.012383703499181765,1,0,0,UPRO,False,19.08574808758388,0.75,False,False,False,0.75,0.0,0.0,0.25
2024-08-08 04:00:00,0.061467387506778354,-0.031145749251862795,0.06383109478175425,1,0,1,URTY,False,21.242190652799298,0.75,False,False,False,0.0,0.0,0.75,0.25
