ticker
DVN
ICE
CAT
CSX
CHPT
NEE
ABT
EQIX
NKE
ETR
AME
ABNB
ALB
PYPL
PHM
NOC
MDB
ZBRA
WMB
IBM
ES
WYNN
VRTX
ABBV
TGT
ETSY
NOW
MCD
ROK
ADM
DPZ
ROST
DHR
CRWD
CTRA
WEC
FSLR
FANG
ORLY
UNH
TAP
LLY
ZBH
LRCX
EL
APA
TEAM
DTE
GS
EOG
DHI
SWKS
CVX
CAH
CDNS
AIG
DASH
LOW
NCLH
HBAN
NEM
REG
NVDA
ECL
PANW
OKE
LNG
OXY
ESTC
TSLA
EMN
EA
SCHW
ADBE
PKG
CFG
PM
COF
ED
HST
YUM
AMGN
SRE
CAG
MAA
AON
TWLO
RTX
CF
AWK
BKNG
SHOP
SPG
BKR
WELL
SNAP
CSCO
GM
LYFT
COP
REGN
PENN
RF
KLAC
VMC
SO
U
HON
AVGO
TSN
AXP
AMAT
EMR
VTR
BA
MGM
GRMN
META
MELI
OMC
MPC
KMI
JBHT
O
BG
IEX
ESS
ON
DOCU
OKTA
TMUS
PH
GOOGL
BK
TDY
SYY
CCI
TER
BSX
NUE
AVB
PCAR
CMG
D
ZM
QS
CMS
PSA
PLD
NSC
CNP
ROP
CMI
JPM
UNP
MDT
GE
RCL
SHW
VZ
IP
FMC
DDOG
C
VLO
SJM
MA
K
SLB
ALL
DIS
MCO
BLK
FTNT
JNJ
TRGP
SNA
FITB
TRV
MSFT
MS
DLR
ULTA
PEG
STT
IPG
EXPD
PEP
MRNA
KR
CCL
UAL
CI
QRVO
PPG
MOS
SEE
AMT
KIM
HAL
CHD
QCOM
MTCH
FDX
MRVL
BRK-B
MRK
SPGI
KHC
ODFL
PFE
CB
ORCL
BBY
BAC
PG
T
GILD
UPS
TJX
HLT
V
NI
KO
EXC
CHWY
ACN
COST
LIN
WH
LVS
GIS
KEYS
LMT
TMO
DE
MAR
ENPH
CNC
TXN
LYV
CMCSA
LCID
CRM
STZ
SBUX
XYL
INTU
SNPS
HRL
SYK
TTWO
DD
DXCM
UDR
MMC
PSX
ETN
UBER
ITW
SOFI
INTC
GD
LEN
SE
FCX
DAL
DUK
PNC
BIIB
LAZR
USB
W
SNOW
WMT
AFL
SEDG
HUM
KMB
RUN
SBAC
AEP
CME
MKC
PRU
APD
NFLX
HD
DLTR
PPL
CMA
HCA
PLTR
AMD
FAST
ISRG
EQT
ZION
FE
NET
UPST
CVS
LUV
AEE
MO
KEY
XOM
AAPL
CZR
MLM
DG
CL
CE
HSY
RSG
ZS
AZO
MCK
F
NTRS
PINS
BMY
WFC
WM
MNST
EBAY
MET
XEL
CHTR
ARE
TFC
EQR
ADI
AMZN
