date,stock1,stock2,hedge_ratio,zscore,signal
2021-03-17,DHI,LEN,1.0517847741679145,-2.9040380007345754,LONG_SPREAD
2021-04-23,DHI,LEN,1.0517847741679145,2.21534920261809,SHORT_SPREAD
2021-04-26,DHI,LEN,1.0517847741679145,2.1761603755492254,SHORT_SPREAD
2021-04-27,DHI,LEN,1.0517847741679145,2.2602164579902335,SHORT_SPREAD
2021-09-23,DHI,LEN,1.0517847741679145,-3.572811847708741,LONG_SPREAD
2021-09-24,DHI,LEN,1.0517847741679145,-3.983688472745084,LONG_SPREAD
2021-09-27,DHI,LEN,1.0517847741679145,-2.7550230670791,LONG_SPREAD
2021-10-18,DHI,LEN,1.0517847741679145,-2.0445692788177605,LONG_SPREAD
2021-10-20,DHI,LEN,1.0517847741679145,-2.7828621597766983,LONG_SPREAD
2021-10-21,DHI,LEN,1.0517847741679145,-2.1410913515627685,LONG_SPREAD
2021-11-03,DHI,LEN,1.0517847741679145,-2.57220977785342,LONG_SPREAD
2021-11-17,DHI,LEN,1.0517847741679145,2.0517180426610295,SHORT_SPREAD
2021-11-30,DHI,LEN,1.0517847741679145,2.404624536057866,SHORT_SPREAD
2021-12-10,DHI,LEN,1.0517847741679145,2.2744621109212644,SHORT_SPREAD
2021-12-13,DHI,LEN,1.0517847741679145,3.1188631438446888,SHORT_SPREAD
2021-12-14,DHI,LEN,1.0517847741679145,2.2835413752503073,SHORT_SPREAD
2021-12-15,DHI,LEN,1.0517847741679145,2.4590432320963402,SHORT_SPREAD
2021-12-16,DHI,LEN,1.0517847741679145,2.993838770414305,SHORT_SPREAD
2021-12-17,DHI,LEN,1.0517847741679145,3.1846477749134285,SHORT_SPREAD
2021-12-20,DHI,LEN,1.0517847741679145,2.3625670453961716,SHORT_SPREAD
2022-02-23,DHI,LEN,1.0517847741679145,2.195757694542765,SHORT_SPREAD
2022-03-03,DHI,LEN,1.0517847741679145,2.415469040233852,SHORT_SPREAD
2022-03-04,DHI,LEN,1.0517847741679145,2.0346867986985484,SHORT_SPREAD
2022-03-07,DHI,LEN,1.0517847741679145,2.35280959928116,SHORT_SPREAD
2022-03-08,DHI,LEN,1.0517847741679145,2.065568112793158,SHORT_SPREAD
2022-05-02,DHI,LEN,1.0517847741679145,-2.0085627815268907,LONG_SPREAD
2022-05-03,DHI,LEN,1.0517847741679145,-2.177802898863147,LONG_SPREAD
2022-05-04,DHI,LEN,1.0517847741679145,-2.2397915367351544,LONG_SPREAD
2022-05-05,DHI,LEN,1.0517847741679145,-2.161985484981442,LONG_SPREAD
2022-05-06,DHI,LEN,1.0517847741679145,-2.6000577933848743,LONG_SPREAD
2022-05-13,DHI,LEN,1.0517847741679145,-2.2318106160490947,LONG_SPREAD
2022-08-04,DHI,LEN,1.0517847741679145,-2.0679238205462362,LONG_SPREAD
2022-08-08,DHI,LEN,1.0517847741679145,-2.330339495043222,LONG_SPREAD
2022-08-09,DHI,LEN,1.0517847741679145,-2.2736868242630255,LONG_SPREAD
2022-08-17,DHI,LEN,1.0517847741679145,-2.0015139858554343,LONG_SPREAD
2022-11-23,DHI,LEN,1.0517847741679145,2.1496891875746407,SHORT_SPREAD
2022-12-01,DHI,LEN,1.0517847741679145,2.156888277374449,SHORT_SPREAD
2023-02-02,DHI,LEN,1.0517847741679145,-2.2104303294592826,LONG_SPREAD
2023-02-03,DHI,LEN,1.0517847741679145,-2.265837185769864,LONG_SPREAD
2023-05-16,DHI,LEN,1.0517847741679145,2.1563934629130364,SHORT_SPREAD
2023-05-23,DHI,LEN,1.0517847741679145,2.477165870763774,SHORT_SPREAD
2023-05-24,DHI,LEN,1.0517847741679145,2.184997970779274,SHORT_SPREAD
2023-05-26,DHI,LEN,1.0517847741679145,2.354530652239853,SHORT_SPREAD
2023-05-30,DHI,LEN,1.0517847741679145,2.364698227515898,SHORT_SPREAD
2023-05-31,DHI,LEN,1.0517847741679145,2.293850126462325,SHORT_SPREAD
2023-06-01,DHI,LEN,1.0517847741679145,2.401104614583421,SHORT_SPREAD
2023-06-02,DHI,LEN,1.0517847741679145,2.0402296612884476,SHORT_SPREAD
2023-07-24,DHI,LEN,1.0517847741679145,2.058262768529991,SHORT_SPREAD
2023-07-25,DHI,LEN,1.0517847741679145,2.221182207630327,SHORT_SPREAD
2023-10-12,DHI,LEN,1.0517847741679145,-2.0787677622573826,LONG_SPREAD
2024-01-23,DHI,LEN,1.0517847741679145,-3.7424275505546496,LONG_SPREAD
2024-01-24,DHI,LEN,1.0517847741679145,-3.9733496868192826,LONG_SPREAD
2024-01-25,DHI,LEN,1.0517847741679145,-4.098764135842831,LONG_SPREAD
2024-01-26,DHI,LEN,1.0517847741679145,-3.6933306316734904,LONG_SPREAD
2024-01-29,DHI,LEN,1.0517847741679145,-3.7237417477016015,LONG_SPREAD
2024-01-30,DHI,LEN,1.0517847741679145,-2.877866512547091,LONG_SPREAD
2024-01-31,DHI,LEN,1.0517847741679145,-2.4199960365378432,LONG_SPREAD
2024-02-01,DHI,LEN,1.0517847741679145,-2.185527908240038,LONG_SPREAD
2024-02-02,DHI,LEN,1.0517847741679145,-2.2022168608239556,LONG_SPREAD
2024-02-05,DHI,LEN,1.0517847741679145,-2.0415573062198047,LONG_SPREAD
2024-02-06,DHI,LEN,1.0517847741679145,-2.0967204652432496,LONG_SPREAD
2024-02-07,DHI,LEN,1.0517847741679145,-2.0199818063599984,LONG_SPREAD
2024-02-08,DHI,LEN,1.0517847741679145,-2.0699264621791205,LONG_SPREAD
