date,return,market_regime,n_positions,cumulative
2021-05-25,-0.0065468121590801474,BULL,70,1.1630009299240023
2021-05-26,0.006900561706450771,BULL,70,1.1710262896056025
2021-05-27,0.013342052365159144,BULL,69,1.1866501836824983
2021-05-28,-0.0030249549194928194,BULL,69,1.183060620371651
2021-06-01,0.007875616428352952,BULL,69,1.1923779520291873
2021-06-02,-0.0002942899063020324,BULL,69,1.192027047233408
2021-06-03,-0.004941199397300276,BULL,69,1.1861370039060526
2021-06-04,0.00855852664715637,BULL,71,1.1962885890611608
2021-06-07,0.002562588412450002,BULL,71,1.1993541843374351
2021-06-08,0.001988198113092164,BULL,71,1.2017387380636642
2021-06-09,-0.006976891229981768,BULL,71,1.1933543376013385
2021-06-10,-0.004488005136779037,BULL,71,1.187998557204186
2021-06-11,0.002047770888265257,BULL,73,1.19043130606493
2021-06-14,-0.006233898273147396,BULL,73,1.1830102784017513
2021-06-15,-0.004482174422128202,BULL,73,1.1777078199907842
2021-06-16,-0.0011405633095902634,BULL,73,1.1763645696618852
2021-06-17,-0.005048314745597137,BULL,73,1.1704259110586632
2021-06-18,-0.005423995002982547,BULL,76,1.1640775267657197
2021-06-21,0.00797305528314729,BULL,76,1.173358781240492
2021-06-22,0.007150712387087982,BULL,76,1.1817491324120069
2021-06-23,0.006347221817298943,BULL,76,1.1892499562878263
2021-06-24,0.007280889988187327,BULL,76,1.1979087543880145
2021-06-25,0.0034077870625563254,BULL,70,1.201990972343341
2021-06-28,-0.0004649996696587189,BULL,70,1.2014320469382687
2021-06-29,0.00046752979578648885,BULL,70,1.2019937522178252
2021-06-30,0.0045546376870703505,BULL,70,1.2074683982612997
2021-07-01,0.001085971344690355,BULL,70,1.2087796743414307
2021-07-02,0.0008300478862999067,BULL,73,1.2097830193551202
2021-07-06,-0.007833172774671349,BULL,73,1.200306579944648
2021-07-07,-0.007923922312361475,BULL,73,1.1907954438541501
2021-07-08,-0.0063416041654521015,BULL,73,1.1832438905072031
2021-07-09,0.015506852083538813,BULL,73,1.2015922784960493
2021-07-12,0.0073521178319525485,BULL,69,1.2104265265135166
2021-07-13,-0.012621578781788188,BULL,69,1.19514903274956
2021-07-14,-0.012018809232971137,BULL,69,1.180784764519973
2021-07-15,-0.006702725411501611,BULL,69,1.1728702884733109
2021-07-16,-0.009599559429007061,BULL,69,1.1616112504365947
2021-07-19,-0.0025955386518323447,BULL,79,1.1585962435376833
2021-07-20,0.017086106403143935,BULL,79,1.1783921422330512
2021-07-21,0.014534989999194213,BULL,79,1.1955200602355376
2021-07-22,-0.0006168762129661525,BULL,79,1.1947825723482544
2021-07-23,0.013064365243621897,BULL,79,1.2103916482601262
2021-07-26,0.007677450890316098,BULL,71,1.219684370697692
2021-07-27,-0.014038478350210812,BULL,71,1.2025618580655622
2021-07-28,0.010886700837200017,BULL,71,1.2156537892525492
2021-07-29,0.005236274972179892,BULL,71,1.222019286764048
2021-07-30,-0.005966538033577753,BULL,71,1.2147280622118048
2021-08-02,-0.0012803576570656918,BULL,70,1.2131727758360995
2021-08-03,0.01000419765774625,BULL,70,1.2253095960785605
2021-08-04,-0.003070044856860205,BULL,70,1.221547840655058
2021-08-05,0.011339654259151656,BULL,70,1.2353997708290996
2021-08-06,0.0025200261507714195,BULL,70,1.2385130105582458
2021-08-09,0.008385194204135917,BULL,69,1.2488981826761258
2021-08-10,0.0021112215409348307,BULL,69,1.251534883421826
2021-08-11,0.0028307373549166905,BULL,69,1.2550776499673097
2021-08-12,0.002502450999578142,BULL,69,1.2582184202870186
2021-08-13,0.0014421463474488458,BULL,69,1.2600329553861283
2021-08-16,-0.009027530336469768,BULL,72,1.2486579696564284
2021-08-17,-0.00645388360507028,BULL,72,1.2405992764577225
2021-08-18,-0.002846751990743306,BULL,72,1.2370675979977517
2021-08-19,-0.0077624841610651404,BULL,72,1.227464880362127
2021-08-20,0.007721570286113833,BULL,72,1.2369428367095794
2021-08-23,0.016149374992637838,BULL,71,1.2569186904240595
2021-08-24,0.00809036213619131,BULL,71,1.2670876178053376
2021-08-25,0.0017479341366014153,BULL,71,1.2693024035065645
2021-08-26,-0.0029251556102622284,BULL,71,1.265589496459828
2021-08-27,0.013195775119905434,BULL,71,1.2822899308492262
2021-08-30,0.0007623119146662552,BULL,68,1.283267435741569
2021-08-31,-0.0006916587208364349,BULL,68,1.2823798526284729
2021-09-01,-0.0010911647807509322,BULL,68,1.2809805648977401
2021-09-02,0.008305784208946215,BULL,68,1.2916201130456348
2021-09-03,0.003553867198686701,BULL,68,1.296210359398552
