date,spy_return,spy_vol,state,regime
2020-01-31,-0.0181583614169146,0.11989434699561148,2,BULL
2020-02-03,0.0074288520349223,0.1199134717936127,2,BULL
2020-02-04,0.0152412334780036,0.13073699804220273,2,BULL
2020-02-05,0.0115479340519988,0.13524253547544973,2,BULL
2020-02-06,0.0033649100472861,0.134699107881833,2,BULL
2020-02-07,-0.0053296837528855,0.13524014089413383,2,BULL
2020-02-10,0.0074651875705318,0.136409486484032,2,BULL
2020-02-11,0.0017331094961603,0.1348806999187384,2,BULL
2020-02-12,0.0064429425933327,0.1357575438010283,2,BULL
2020-02-13,-0.001066933021577,0.13603547257217002,2,BULL
2020-02-14,0.0016022076793529,0.1335514895671992,2,BULL
2020-02-18,-0.0025775232358358,0.13390348873110589,2,BULL
2020-02-19,0.0047814673782,0.13423298547831986,2,BULL
2020-02-20,-0.00410789226365,0.13546982569137506,2,BULL
2020-02-21,-0.0102985510391951,0.14113809291983054,2,BULL
2020-02-24,-0.0331655071694954,0.18238342290955087,0,BEAR
2020-02-25,-0.0303021288586233,0.20384885530505512,0,BEAR
2020-02-26,-0.003678074627527,0.19883205820803246,0,BEAR
2020-02-27,-0.0449115810131229,0.2495207804075192,0,BEAR
2020-02-28,-0.0042013994142465,0.24783454408776281,0,BEAR
2020-03-02,0.043306599351905,0.29567303917095106,1,RANGE
2020-03-03,-0.028632809372869,0.30813195558888756,1,RANGE
2020-03-04,0.0420328492555814,0.34264785655500146,1,RANGE
2020-03-05,-0.0332414023762532,0.3552912164210799,1,RANGE
2020-03-06,-0.016531002180446,0.35643793920586164,1,RANGE
2020-03-09,-0.0780947521991556,0.4397357601727975,1,RANGE
2020-03-10,0.0517449787704951,0.48745703997667106,1,RANGE
2020-03-11,-0.0487483866408667,0.5080211108257177,1,RANGE
2020-03-12,-0.0956771325792108,0.5885109586951145,1,RANGE
2020-03-13,0.0854862580331157,0.6868637436039398,1,RANGE
2020-03-16,-0.1094238033757722,0.7695203835495347,1,RANGE
2020-03-17,0.0539921780832208,0.8076773641448091,1,RANGE
2020-03-18,-0.0506330814822143,0.8154268475835164,1,RANGE
2020-03-19,0.0021251428123028,0.8169063975787406,1,RANGE
2020-03-20,-0.043094262242589,0.822443345502094,1,RANGE
2020-03-23,-0.0255682247771289,0.8209135827193853,1,RANGE
2020-03-24,0.0906034089231708,0.9024806685790641,1,RANGE
2020-03-25,0.0149700541727741,0.9068105594183944,1,RANGE
2020-03-26,0.058389706033771,0.9275468171838125,1,RANGE
2020-03-27,-0.0297854980473175,0.9318514800706778,1,RANGE
2020-03-30,0.0324755811757577,0.9250434776769089,1,RANGE
2020-03-31,-0.0149053501722855,0.9219419129535372,1,RANGE
2020-04-01,-0.0450049145338669,0.9139132650598962,1,RANGE
2020-04-02,0.0230754264577124,0.9168142485010009,1,RANGE
2020-04-03,-0.0144540069570286,0.9165643963328165,1,RANGE
2020-04-06,0.0671659914356683,0.9124149828132049,1,RANGE
2020-04-07,0.0010193977453121,0.8918967382655167,1,RANGE
2020-04-08,0.0335684676397338,0.8829794232693043,1,RANGE
2020-04-09,0.0152173692416095,0.8050513524422855,1,RANGE
2020-04-13,-0.0091295782817587,0.7513816152924624,1,RANGE
2020-04-14,0.0294922687939072,0.6286351826051109,1,RANGE
2020-04-15,-0.0212478838506259,0.6145440599213486,1,RANGE
2020-04-16,0.0048242704681054,0.5775161509652609,1,RANGE
2020-04-17,0.0270151773538278,0.5806294061489995,1,RANGE
2020-04-20,-0.0176178008294154,0.5564253341507284,1,RANGE
2020-04-21,-0.0303631864749942,0.5608482129563722,1,RANGE
2020-04-22,0.0221945431078762,0.4781621890045922,1,RANGE
2020-04-23,-7.164948502524915e-05,0.47796177826379493,1,RANGE
2020-04-24,0.0139388401727114,0.438484927136512,1,RANGE
2020-04-27,0.0144179957478915,0.4205224379361316,1,RANGE
2020-04-28,-0.0045982449691449,0.41072061080235767,1,RANGE
2020-04-29,0.026178364761801,0.4105647715839837,1,RANGE
2020-04-30,-0.009310527518647,0.36821720603793684,1,RANGE
2020-05-01,-0.0264734775690251,0.38398869490169363,1,RANGE
2020-05-04,0.0027581023207021,0.3765648213314551,1,RANGE
2020-05-05,0.0092394130582147,0.30257553208637644,0,BEAR
2020-05-06,-0.0067788645468404,0.3048698728206068,0,BEAR
2020-05-07,0.0120667741660451,0.28585629359064635,0,BEAR
2020-05-08,0.0165465253781329,0.2866729428536517,0,BEAR
2020-05-11,0.0002048036822548,0.2834810681294153,0,BEAR
2020-05-12,-0.019931388402358,0.27670517005487716,0,BEAR
2020-05-13,-0.0176857128041104,0.27323344082243195,0,BEAR
2020-05-14,0.0119674025017877,0.275783781761196,0,BEAR
2020-05-15,0.0045967190823152,0.25889870731457404,0,BEAR
2020-05-18,0.0304595080417695,0.2712983045672255,0,BEAR
2020-05-19,-0.0102709623432465,0.24736883566941856,0,BEAR
2020-05-20,0.0169878571010626,0.24279029825629347,0,BEAR
2020-05-21,-0.0069039708257669,0.24521507824620584,0,BEAR
2020-05-22,0.0018993899317176,0.24170635155093229,0,BEAR
2020-05-26,0.0123202196995089,0.24041907955766467,0,BEAR
2020-05-27,0.0148792259835721,0.24307984060340163,0,BEAR
2020-05-28,-0.0018453698320536,0.22771722691978494,0,BEAR
2020-05-29,0.0044563961633468,0.22407376580137608,0,BEAR
2020-06-01,0.0040417020972898,0.19634191295234896,0,BEAR
2020-06-02,0.0082800383407546,0.19687483619253257,0,BEAR
2020-06-03,0.0133085272304187,0.19876975741023384,0,BEAR
