date,market_regime,strategy,n_stocks,top_stocks
2020-06-26,BEAR,MEAN_REVERSION,0,
2020-06-29,BEAR,MOMENTUM_SURGE,0,
2020-06-29,BEAR,QUALITY_DEFENSIVE,0,
2020-06-29,BEAR,VALUE_ROTATION,0,
2020-06-29,BEAR,BREAKOUT_CAPTURE,0,
2020-06-29,BEAR,MEAN_REVERSION,0,
2020-06-30,BEAR,MOMENTUM_SURGE,0,
2020-06-30,BEAR,QUALITY_DEFENSIVE,0,
2020-06-30,BEAR,VALUE_ROTATION,0,
2020-06-30,BEAR,BREAKOUT_CAPTURE,0,
2020-06-30,BEAR,MEAN_REVERSION,0,
2020-07-01,BEAR,MOMENTUM_SURGE,0,
2020-07-01,BEAR,QUALITY_DEFENSIVE,0,
2020-07-01,BEAR,VALUE_ROTATION,0,
2020-07-01,BEAR,BREAKOUT_CAPTURE,0,
2020-07-01,BEAR,MEAN_REVERSION,0,
2020-07-02,BEAR,MOMENTUM_SURGE,0,
2020-07-02,BEAR,QUALITY_DEFENSIVE,0,
2020-07-02,BEAR,VALUE_ROTATION,0,
2020-07-02,BEAR,BREAKOUT_CAPTURE,0,
2020-07-02,BEAR,MEAN_REVERSION,0,
2020-07-06,BEAR,MOMENTUM_SURGE,0,
2020-07-06,BEAR,QUALITY_DEFENSIVE,0,
2020-07-06,BEAR,VALUE_ROTATION,0,
2020-07-06,BEAR,BREAKOUT_CAPTURE,0,
2020-07-06,BEAR,MEAN_REVERSION,0,
2020-07-07,BEAR,MOMENTUM_SURGE,0,
2020-07-07,BEAR,QUALITY_DEFENSIVE,0,
2020-07-07,BEAR,VALUE_ROTATION,0,
2020-07-07,BEAR,BREAKOUT_CAPTURE,0,
2020-07-07,BEAR,MEAN_REVERSION,0,
2020-07-08,BEAR,MOMENTUM_SURGE,0,
2020-07-08,BEAR,QUALITY_DEFENSIVE,0,
2020-07-08,BEAR,VALUE_ROTATION,0,
2020-07-08,BEAR,BREAKOUT_CAPTURE,0,
2020-07-08,BEAR,MEAN_REVERSION,0,
2020-07-09,BEAR,MOMENTUM_SURGE,0,
2020-07-09,BEAR,QUALITY_DEFENSIVE,0,
2020-07-09,BEAR,VALUE_ROTATION,0,
2020-07-09,BEAR,BREAKOUT_CAPTURE,0,
2020-07-09,BEAR,MEAN_REVERSION,0,
2020-07-10,BEAR,MOMENTUM_SURGE,0,
2020-07-10,BEAR,QUALITY_DEFENSIVE,0,
2020-07-10,BEAR,VALUE_ROTATION,0,
2020-07-10,BEAR,BREAKOUT_CAPTURE,0,
2020-07-10,BEAR,MEAN_REVERSION,0,
2020-07-13,BEAR,MOMENTUM_SURGE,0,
2020-07-13,BEAR,QUALITY_DEFENSIVE,0,
2020-07-13,BEAR,VALUE_ROTATION,0,
2020-07-13,BEAR,BREAKOUT_CAPTURE,0,
2020-07-13,BEAR,MEAN_REVERSION,0,
