date,return
2021-01-04,-0.0009922534605308181
2021-01-05,0.0010681408990931473
2021-01-06,0.00027212479961851626
2021-01-07,-0.0008361800901165897
2021-01-08,0.0016592201046216302
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-19,-0.00048579338990228433
2021-01-20,-0.0010179123182280487
2021-01-21,0.0001395246432712914
2021-01-22,0.0015649685947552606
2021-01-25,0.0010168683069032053
2021-01-26,-1.7760373951015464e-06
2021-01-27,-0.0017542496789447813
2021-01-28,-0.00017729318725595946
2021-01-29,-0.00020047695487552608
2021-02-01,-0.001096877553432268
2021-02-02,1.66180948849048e-05
2021-02-03,-0.0008657414591381849
2021-02-04,0.0013055019967253216
2021-02-05,0.0009408618137384681
2021-02-08,0.00042262894880580707
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-16,0.0
2021-02-17,0.00014304167168716414
2021-02-18,0.0006013657280260459
2021-02-19,0.0001192422624667404
2021-02-22,-0.00041110892224242363
2021-02-23,0.0004610996133516708
2021-02-24,-0.0017775221138138938
2021-02-25,-0.0005525004820100282
2021-02-26,-0.0007559883362494597
2021-03-01,0.0006147533465438712
2021-03-02,0.0006658398851212091
2021-03-03,-0.00045382503326198533
2021-03-04,0.000342922431902766
2021-03-05,0.0005918031063044875
2021-03-08,0.0009034210001267358
2021-03-09,-0.0003554126519155639
2021-03-10,4.604283827392428e-05
2021-03-11,0.0009713163357336288
2021-03-12,-0.000552889702877762
2021-03-15,-0.0003624547155392728
2021-03-16,0.0006838386095405835
2021-03-17,-0.004493281695673921
2021-03-18,-4.333293978531249e-05
2021-03-19,-4.6775303135060766e-07
2021-03-22,0.00038406815012172223
2021-03-23,0.0007223949540339579
2021-03-24,-0.0005042517802520319
2021-03-25,0.0012177170301040723
2021-03-26,-0.0003149692639616969
2021-03-29,-0.00021893335104698525
2021-03-30,-9.364066428199538e-05
2021-03-31,-0.0002943999824570391
2021-04-01,-0.0007522040890117565
2021-04-05,-5.579465818165031e-05
2021-04-06,-0.0003255363104384696
2021-04-07,-0.0003446999277185592
2021-04-08,0.0
2021-04-09,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,-0.0010302430488293777
2021-04-16,-0.0005419233303878808
2021-04-19,-0.0004994760286541434
2021-04-20,-0.001134331503852396
2021-04-21,0.0014251974108457836
2021-04-22,-0.0014030962212958295
2021-04-23,6.13120446687657e-05
2021-04-26,0.00030500102594476923
2021-04-27,-0.00025346153466392605
2021-04-28,2.390218088102762e-05
2021-04-29,-0.0007077455470578042
2021-04-30,0.00019192790168237817
2021-05-03,-0.0002005226751691445
2021-05-04,-0.0010290020887434186
2021-05-05,-0.00012256306331974873
2021-05-06,-0.0006314038537542514
2021-05-07,0.00010644084147433801
2021-05-10,-7.392397854888858e-06
2021-05-11,0.0006236815640028011
2021-05-12,-4.299444009993466e-05
2021-05-13,-0.0009332003789172472
2021-05-14,0.00010775896156490187
2021-05-17,0.0005669431918125388
2021-05-18,0.0008401408219085203
2021-05-19,0.0002422674732796552
2021-05-20,-0.0006092234838412582
2021-05-21,-0.00021148270528676826
2021-05-24,-0.0003689341914098715
2021-05-25,-0.0015772287243829056
2021-05-26,8.244263610971547e-05
2021-05-27,7.352039938986469e-05
2021-05-28,2.8420508836802285e-06
2021-06-01,-0.0005735041463710037
2021-06-02,-0.0004919477275627695
2021-06-03,0.0003999299069617501
2021-06-04,-4.246980526342173e-05
2021-06-07,1.4259805045832704e-05
2021-06-08,0.0006785758210757229
2021-06-09,0.00026251809477130137
2021-06-10,-0.0006706113811577358
2021-06-11,1.3053262812557563e-05
2021-06-14,-0.00034199623293162165
2021-06-15,0.00011228911219767863
2021-06-16,-8.800564128238946e-05
2021-06-17,-0.00014134767265517795
2021-06-18,-0.0004135871521067941
2021-06-21,-0.00010015869850054911
2021-06-22,3.389198022466587e-05
2021-06-23,-0.0002026754726980042
2021-06-24,0.00012912810181772786
2021-06-25,-0.0013668845707031304
2021-06-28,-0.0002777649685700265
2021-06-29,-0.0002429276645105122
2021-06-30,0.0007468058991987696
2021-07-01,-0.000987382713444255
2021-07-02,0.00024301537902525515
2021-07-06,0.0010783112532592681
2021-07-07,0.0005899387318347343
2021-07-08,-0.0004854257258396453
2021-07-09,0.00029003874218899164
2021-07-12,-0.00016090356684510926
2021-07-13,-2.830065603574199e-05
2021-07-14,-0.00029876777307269404
2021-07-15,-0.001967718395350839
2021-07-16,2.2313680997027366e-05
2021-07-19,-7.934738927731656e-05
2021-07-20,0.0002083870409955741
2021-07-21,0.00014498185911592058
2021-07-22,0.000399100986368492
2021-07-23,-3.445572256898232e-05
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,0.0
2021-08-06,0.0
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-16,-0.0008258949788868074
2021-08-17,-6.66732607668522e-05
2021-08-18,0.0006537795575039718
2021-08-19,-0.000389545451576226
2021-08-20,-0.00017466930387691058
2021-08-23,-0.0002881404403855609
2021-08-24,0.00026981527584572036
2021-08-25,-0.00018887942677929022
2021-08-26,0.0002997022184303734
2021-08-27,-0.00023228317690502008
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-07,-0.0006157348445317924
