date,core_return,hedge_cost,hedge_payoff,hedged_return
2020-01-02,0.0,0.00019047619047619048,0.0,-0.00019047619047619048
2020-01-03,5.572717776670084e-05,0.00019047619047619048,0.0,-0.00013474901270948964
2020-01-06,0.0064281283554839,0.00019047619047619048,0.0,0.0062376521650077095
2020-01-07,-0.000572637898152,0.00019047619047619048,0.0,-0.0007631140886281905
2020-01-08,0.0025430286054406,0.00019047619047619048,0.0,0.0023525524149644096
2020-01-09,0.0036729518806116,0.00019047619047619048,0.0,0.0034824756901354094
2020-01-10,-0.0052534490760205,0.00019047619047619048,0.0,-0.005443925266496691
2020-01-13,0.004730037368581,0.00019047619047619048,0.0,0.00453956117810481
2020-01-14,-3.664510279209068e-05,0.00019047619047619048,0.0,-0.00022712129326828116
2020-01-15,-0.0017631661161193,0.00019047619047619048,0.0,-0.0019536423065954905
2020-01-16,0.0030369008862202,0.00019047619047619048,0.0,0.0028464246957440095
2020-01-17,0.0003065031059846,0.00019047619047619048,0.0,0.00011602691550840954
2020-01-21,-4.462242014205528e-06,0.00019047619047619048,0.0,-0.000194938432490396
2020-01-22,0.0030540495669675,0.00019047619047619048,0.0,0.0028635733764913094
2020-01-23,0.0003983565256188,0.00019047619047619048,0.0,0.00020788033514260951
2020-01-24,-0.0059265504672787,0.00019047619047619048,0.0,-0.006117026657754891
2020-01-27,-0.00751840999038,0.00019047619047619048,0.0,-0.00770888618085619
2020-01-28,0.0059909644563257,0.00019047619047619048,0.0,0.005800488265849509
2020-01-29,-0.0017175718332966,0.00019047619047619048,0.0,-0.0019080480237727905
2020-01-30,0.0091739790672317,0.00019047619047619048,0.0,0.00898350287675551
2020-01-31,-0.0228349852774421,0.00019047619047619048,0.0,-0.023025461467918288
2020-02-03,0.0293292711957775,0.00019047619047619048,0.0,0.02913879500530131
2020-02-04,0.0298426488636466,0.00019047619047619048,0.0,0.029652172673170413
2020-02-05,-0.0021089631609226,0.00019047619047619048,0.0,-0.0022994393513987906
2020-02-06,0.0057355555398443,0.00019047619047619048,0.0,0.00554507934936811
2020-02-07,-0.0025702466855864,0.00019047619047619048,0.0,-0.0027607228760625907
2020-02-10,0.0031882705275438,0.00019047619047619048,0.0,0.0029977943370676093
2020-02-11,0.0018074307649665,0.00019047619047619048,0.0,0.0016169545744903094
2020-02-12,-0.0006618440255533,0.00019047619047619048,0.0,-0.0008523202160294905
2020-02-13,0.0040392633765698,0.00019047619047619048,0.0,0.0038487871860936095
2020-02-14,0.0043734340757242,0.00019047619047619048,0.0,0.00418295788524801
2020-02-18,0.0004701322755053,0.00019047619047619048,0.0,0.0002796560850291095
2020-02-19,0.0048088912826898,0.00019047619047619048,0.0,0.00461841509221361
2020-02-20,-0.0009174723790147,0.00019047619047619048,0.0,-0.0011079485694908905
2020-02-21,-0.0062331893953221,0.00019047619047619048,0.0,-0.00642366558579829
2020-02-24,-0.0104464754733227,0.00019047619047619048,0.0,-0.010636951663798891
2020-02-25,-0.0091959905483947,0.00019047619047619048,0.0,-0.009386466738870891
2020-02-26,-0.0001053810577604,0.00019047619047619048,0.0,-0.0002958572482365905
2020-02-27,-0.008878169578251,0.00019047619047619048,0.02,0.01093135423127281
2020-02-28,5.472658598610839e-05,0.00019047619047619048,0.04,0.03986425039550992
2020-03-02,0.0101656069590322,0.0,0.0,0.0101656069590322
2020-03-03,-0.005600015866191,0.0,0.0,-0.005600015866191
2020-03-04,0.0140660396119829,0.0,0.0,0.0140660396119829
2020-03-05,-0.0128886518965071,0.0,0.0,-0.0128886518965071
2020-03-06,-0.0048336098934801,0.0,0.0,-0.0048336098934801
2020-03-09,-0.0242533842302997,0.0,0.0,-0.0242533842302997
2020-03-10,0.0137386349524265,0.0,0.0,0.0137386349524265
2020-03-11,-0.0089970652701254,0.0,0.0,-0.0089970652701254
2020-03-12,-0.0262566551649686,0.0,0.0,-0.0262566551649686
2020-03-13,0.0208620138283899,0.0,0.0,0.0208620138283899
2020-03-16,-0.0242776825357648,0.0,0.0,-0.0242776825357648
2020-03-17,0.0133511684013139,0.0,0.0,0.0133511684013139
2020-03-18,-0.0069025185608989,0.0,0.0,-0.0069025185608989
2020-03-19,0.0031573949912006,0.0,0.0,0.0031573949912006
2020-03-20,-0.007487142625402,0.0,0.0,-0.007487142625402
2020-03-23,0.0007949959997287,0.0,0.0,0.0007949959997287
2020-03-24,0.0119539169165166,0.0,0.0,0.0119539169165166
2020-03-25,-0.0014556940718656,0.0,0.0,-0.0014556940718656
2020-03-26,0.0110041399269761,0.0,0.0,0.0110041399269761
2020-03-27,-0.0027010644645018,0.0,0.0,-0.0027010644645018
2020-03-30,0.0077612109749674,0.0,0.0,0.0077612109749674
2020-03-31,-0.0009382635326747,0.0,0.0,-0.0009382635326747
2020-04-01,-0.007386406276429,0.0,0.0,-0.007386406276429
2020-04-02,0.0052018830667679,0.0,0.0,0.0052018830667679
2020-04-03,-0.0015134963809814,0.0,0.0,-0.0015134963809814
2020-04-06,0.008846201755539,0.0,0.0,0.008846201755539
2020-04-07,-0.0029701846861778,0.0,0.0,-0.0029701846861778
2020-04-08,0.0045339396049631,0.0,0.0,0.0045339396049631
2020-04-09,0.0005082409471132,0.0,0.0,0.0005082409471132
2020-04-13,0.0042885237878671,0.0,0.0,0.0042885237878671
2020-04-14,0.0115384037840338,0.0,0.0,0.0115384037840338
2020-04-15,-0.0034598336762599,0.0,0.0,-0.0034598336762599
2020-04-16,0.0108522206834,0.0,0.0,0.0108522206834
2020-04-17,0.0055952390179209,0.0,0.0,0.0055952390179209
