Date,spy_ret_5d,spy_ret_20d,vix,vix_5d_change,breadth
2015-01-02,,,17.790000915527344,,0.0
2015-01-05,,,19.920000076293945,,0.0
2015-01-06,,,21.1200008392334,,0.0
2015-01-07,,,19.309999465942383,,0.0
2015-01-08,,,17.010000228881836,,0.0
2015-01-09,-0.0057440415307700166,,17.549999237060547,-0.013490818781089597,0.0
2015-01-12,0.004610280494635743,,19.600000381469727,-0.016064241646516764,0.0
2015-01-13,0.011310171843951,,20.559999465942383,-0.026515215484780308,0.0
2015-01-14,-0.007166961278536221,,21.479999542236328,0.11237701379128673,0.0
2015-01-15,-0.03341416385654761,,22.389999389648438,0.3162844849132762,0.0
2015-01-16,-0.012826724958621027,,20.950000762939453,0.19373228909885554,0.0
2015-01-20,-0.0029113744538226127,,19.889999389648438,0.014795867476251834,0.0
2015-01-21,0.00494841941100721,,18.850000381469727,-0.08317116385655887,0.0
2015-01-22,0.026087685199364996,,16.399999618530273,-0.2364990703895129,0.0
2015-01-23,0.029896626519573033,,16.65999984741211,-0.2559178069868764,0.0
2015-01-26,0.01894519676813,,15.520000457763672,-0.25918854928069746,0.0
2015-01-27,0.003365477303398645,,17.219999313354492,-0.1342383186639775,0.0
2015-01-28,-0.014476824783785425,,20.440000534057617,0.08435013901383903,0.0
2015-01-29,-0.01994191628127251,,18.760000228881836,0.14390247958817093,0.0
2015-01-30,-0.026930820103294284,,20.969999313354492,0.25870345170572606,0.28
2015-02-02,-0.017181965844996983,-0.017085967595544815,19.43000030517578,0.251932972428244,0.41
2015-02-03,0.010358215188689401,0.015467226435906367,17.329999923706055,0.006387956721128019,0.63
2015-02-04,0.0195863430309291,0.021219262493885838,18.329999923706055,-0.10322898998147423,0.59
2015-02-05,0.02044657332042399,0.018832483224743735,16.850000381469727,-0.10181235736189287,0.73
2015-02-06,0.03058366698687709,-0.00170008258563914,17.290000915527344,-0.1754887228576868,0.64
2015-02-09,0.013421372528356734,0.0018608179430206206,18.549999237060547,-0.045290841703220064,0.6
2015-02-10,0.009617001029992522,0.02052805521129497,17.229999542236328,-0.005770362487592107,0.74
2015-02-11,0.014064033205324344,0.024000106933870446,16.959999084472656,-0.07474090807068612,0.76
2015-02-12,0.013584628258947351,0.040127497265131984,15.34000015258789,-0.08961425487814312,0.78
2015-02-13,0.020579212693254467,0.054064838991993325,14.6899995803833,-0.15037600910761684,0.78
2015-02-17,0.02677962893353647,0.04205645037084782,15.800000190734863,-0.14824793312290463,0.83
2015-02-18,0.01605350790205229,0.039938761553823365,15.449999809265137,-0.10330817064781883,0.85
2015-02-19,0.014739653387401352,0.033976961909888415,15.289999961853027,-0.09846693471514156,0.86
2015-02-20,0.011104872303511426,0.024939676668368937,14.300000190734863,-0.06779660700834977,0.87
2015-02-23,0.006816716832393377,0.030443321393105904,14.5600004196167,-0.00884950064533696,0.83
2015-02-24,0.008091425473022218,0.030956498749513894,13.6899995803833,-0.13354434081518995,0.87
2015-02-25,0.0071386216008495484,0.04384943926460161,13.84000015258789,-0.10420709880603063,0.87
2015-02-26,0.006667232558994263,0.05616057841280764,13.90999984741211,-0.09025507638220243,0.81
2015-02-27,-0.0027461838092065483,0.042922884778974435,13.34000015258789,-0.06713286890506254,0.78
2015-03-02,0.003693129717331489,0.06287292169212222,13.039999961853027,-0.1043956328267528,0.81
2015-03-03,-0.0032578376400878017,0.045562631282088484,13.859999656677246,0.012417829182225892,0.74
2015-03-04,-0.006615424355364885,0.026313159701583766,14.229999542236328,0.028179146340219674,0.56
2015-03-05,-0.004352823023880625,0.03136267518471292,14.039999961853027,0.009345802722284358,0.6
2015-03-06,-0.01500037114949837,0.0066951874651599574,15.199999809265137,0.1394302575263775,0.33
2015-03-09,-0.017123862961249237,0.013670665371747992,15.0600004196167,0.15490801101786378,0.42
2015-03-10,-0.02908310934461611,0.0017100946047610144,16.690000534057617,0.20418477254557366,0.17
2015-03-11,-0.027255784991920273,-0.011169396050293323,16.8700008392334,0.18552363892642676,0.12
2015-03-12,-0.015964819824444865,0.0008215681348777704,15.420000076293945,0.09829060670871836,0.29
2015-03-13,-0.008047969906874619,-0.014790371666994706,16.0,0.052631592156154205,0.23
2015-03-16,0.0010562462365109049,-0.005720145407175359,15.609999656677246,0.036520532651787674,0.54
2015-03-17,0.01453833031383378,-0.010232324248214852,15.65999984741211,-0.061713640125036995,0.46
2015-03-18,0.029143732527306065,0.001570104991097443,13.970000267028809,-0.17190281137747532,0.61
2015-03-19,0.011588868532168117,-0.002286000815585054,14.069999694824219,-0.08754866243776227,0.51
2015-03-20,0.026814278618317644,0.0005167035738575798,13.020000457763672,-0.1862499713897705,0.68
2015-03-23,0.011301723546317533,-0.0012909859099053955,13.40999984741211,-0.14093528876690764,0.66
2015-03-24,0.00861757804254304,-0.009715735382695101,13.619999885559082,-0.1302681980670739,0.51
2015-03-25,-0.017967876358449875,-0.023397577965082572,15.4399995803833,0.10522543201548107,0.23
2015-03-26,-0.015817203313634676,-0.02457046156718845,15.800000190734863,0.12295668325757259,0.23
2015-03-27,-0.022194694386393654,-0.01899544005115672,15.069999694824219,0.15745001267170888,0.31
2015-03-30,-0.008332870913892676,-0.013257268111358078,14.510000228881836,0.08202836644192857,0.57
2015-03-31,-0.011445400946020201,-0.01785025142265695,15.289999961853027,0.122613809862407,0.43
2015-04-01,-0.0002910817063860316,-0.017180078217048478,15.109999656677246,-0.021373052634361733,0.26
2015-04-02,0.005699799508436021,-0.01472196786029345,14.670000076293945,-0.07151899372150328,0.36
