Date,spy_20d_ret,spy_20d_vol,vix,breadth
2015-01-02,,,17.790000915527344,0.0
2015-01-05,,,19.920000076293945,0.0
2015-01-06,,,21.1200008392334,0.0
2015-01-07,,,19.309999465942383,0.0
2015-01-08,,,17.010000228881836,0.0
2015-01-09,,,17.549999237060547,0.0
2015-01-12,,,19.600000381469727,0.0
2015-01-13,,,20.559999465942383,0.0
2015-01-14,,,21.479999542236328,0.0
2015-01-15,,,22.389999389648438,0.0
2015-01-16,,,20.950000762939453,0.0
2015-01-20,,,19.889999389648438,0.0
2015-01-21,,,18.850000381469727,0.0
2015-01-22,,,16.399999618530273,0.0
2015-01-23,,,16.65999984741211,0.0
2015-01-26,,,15.520000457763672,0.0
2015-01-27,,,17.219999313354492,0.0
2015-01-28,,,20.440000534057617,0.0
2015-01-29,,,18.760000228881836,0.0
2015-01-30,,,20.969999313354492,0.0
2015-02-02,-0.20244558094231557,0.1754193632822807,19.43000030517578,0.0
2015-02-03,0.20731596262552393,0.170913521107788,17.329999923706055,0.0
2015-02-04,0.27801435358520366,0.16758211822107755,18.329999923706055,0.0
2015-02-05,0.24819882363824108,0.16565441013259583,16.850000381469727,0.0
2015-02-06,-0.010233187303905478,0.15369817130960284,17.290000915527344,0.0
2015-02-09,0.03434812228760484,0.15176467444162725,18.549999237060547,0.0
2015-02-10,0.26728162916475473,0.1530700921489773,17.229999542236328,0.0
2015-02-11,0.31002667670732065,0.15240382696390273,16.959999084472656,0.0
2015-02-12,0.5072723712102385,0.15263253691546072,15.34000015258789,0.0
2015-02-13,0.6745599383713984,0.14691052036254923,14.6899995803833,0.0
2015-02-17,0.5291440360406069,0.1416535743845441,15.800000190734863,0.0
2015-02-18,0.503470770274168,0.1418317560505489,15.449999809265137,0.0
2015-02-19,0.43088052215098094,0.1416631011516886,15.289999961853027,0.0
2015-02-20,0.31910355190779627,0.13402546567481477,14.300000190734863,0.0
2015-02-23,0.38639663754581555,0.13178043388874916,14.5600004196167,0.0
2015-02-24,0.39269198550442397,0.1318329893104518,13.6899995803833,0.0
2015-02-25,0.54818006015313,0.12029458635459916,13.84000015258789,0.0
2015-02-26,0.6948817969553085,0.10745384217292202,13.90999984741211,0.0
2015-02-27,0.5354961059625154,0.10670577752227808,13.34000015258789,0.0
2015-03-02,0.7734904751942454,0.09228270972053045,13.039999961853027,0.0
2015-03-03,0.5657355344912846,0.08869842731308751,13.859999656677246,0.0
2015-03-04,0.3304125603443988,0.07880576620364119,14.229999542236328,0.0
2015-03-05,0.3921769772814089,0.07646875786932275,14.039999961853027,0.0
2015-03-06,0.08776819216462667,0.08791887818472968,15.199999809265137,0.0
2015-03-09,0.1748309492039397,0.08809459386089587,15.0600004196167,0.0
2015-03-10,0.02682789255169464,0.10540358817735386,16.690000534057617,0.0
2015-03-11,-0.1369058987620526,0.09799008524231717,16.8700008392334,0.0
2015-03-12,0.015980006780300093,0.1087138123396965,15.420000076293945,0.0
2015-03-13,-0.18245918879707107,0.10465579747147294,16.0,0.0
2015-03-16,-0.06598670413375712,0.11496273817338519,15.609999656677246,0.5882352941176471
2015-03-17,-0.12325717626826171,0.11513260070730184,15.65999984741211,0.5686274509803921
2015-03-18,0.027010745632602348,0.12342025908517304,13.970000267028809,0.6274509803921569
2015-03-19,-0.021470875034230043,0.12451065546618084,14.069999694824219,0.6274509803921569
2015-03-20,0.014145364808564698,0.12672758786324104,13.020000457763672,0.6666666666666666
2015-03-23,-0.00861980408081564,0.12692718752866625,13.40999984741211,0.6470588235294118
2015-03-24,-0.1152097191428876,0.12793366011640223,13.619999885559082,0.6274509803921569
2015-03-25,-0.2891410175715273,0.13752049364241048,15.4399995803833,0.45098039215686275
2015-03-26,-0.30425992722710193,0.13759033712847593,15.800000190734863,0.45098039215686275
2015-03-27,-0.23249381875612724,0.13786825115785292,15.069999694824219,0.49019607843137253
2015-03-30,-0.1583209267732989,0.14343709274219651,14.510000228881836,0.5686274509803921
2015-03-31,-0.2167337071269408,0.14585065988073212,15.289999961853027,0.45098039215686275
2015-04-01,-0.20817560344027541,0.14566322486445651,15.109999656677246,0.37254901960784315
2015-04-02,-0.17663194321662407,0.14637024972799126,14.670000076293945,0.37254901960784315
2015-04-06,0.08542119586920971,0.13964892104690654,14.739999771118164,0.5490196078431373
2015-04-07,-0.00014882306601751163,0.13927443809480525,14.779999732971191,0.5294117647058824
2015-04-08,0.24679873905499794,0.1257135579696818,13.979999542236328,0.5294117647058824
2015-04-09,0.3320387268026992,0.12563691332718374,13.09000015258789,0.6078431372549019
2015-04-10,0.2406068003359656,0.11939210363974098,12.579999923706055,0.6470588235294118
2015-04-13,0.26088465303933006,0.11825632835403009,13.9399995803833,0.6078431372549019
2015-04-14,0.11664832914198747,0.10905540280217481,13.670000076293945,0.6078431372549019
2015-04-15,0.2106349794156518,0.1091533066614641,12.84000015258789,0.6666666666666666
2015-04-16,0.05556875000490591,0.10085236114254484,12.600000381469727,0.6666666666666666
2015-04-17,-0.031899666467690185,0.10797681042079839,13.890000343322754,0.39215686274509803
2015-04-20,-0.027999452498794805,0.10832228135727653,13.300000190734863,0.5686274509803921
2015-04-21,-0.018450733591205547,0.10818507518932399,13.25,0.5882352941176471
2015-04-22,0.11426187427080509,0.10748256306293089,12.710000038146973,0.6666666666666666
2015-04-23,0.33060810994004053,0.09157626287040706,12.479999542236328,0.6078431372549019
2015-04-24,0.389851320226406,0.09057686904176632,12.289999961853027,0.5882352941176471
2015-04-27,0.3086150032047287,0.09274122819801814,13.119999885559082,0.5490196078431373
