Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,UNH,JNJ,JPM,V,XOM,PG,MA,HD,CVX,ABBV,MRK,LLY,PEP,KO,COST,AVGO,WMT,MCD,TMO,CSCO,ABT,ACN,CRM,DHR,ADBE,NKE,NFLX,TXN,AMD,INTC,QCOM,UNP,PM,BA,HON,IBM,CAT,GE,AXP,LOW,SBUX,GS,SPY
2015-04-10,0.2570381973198246,0.28477756399880366,0.22061889180499125,0.34848179334779733,0.3127515609922036,0.21332821477568495,0.373067659151255,0.14623217699827626,0.23069687956044893,0.18002368179990813,0.22064884493246495,0.19049247618496054,0.1979790143576763,0.15869654740075467,0.20808488850978088,0.21972641233491277,0.23617721648056988,0.32132760690389783,0.16009972038058234,0.19263816706939432,0.15208221072836445,0.15729478262924904,0.17942275117285547,0.4032965708206852,0.18211675672373048,0.19790716232485778,0.20020385910879523,0.28833595233280707,0.17894637009327402,0.23504042868030395,0.3656735018475671,0.15394010442246678,0.2108032706318167,0.19019459938152222,0.46156293430773887,0.20791660106531346,0.5552471513504013,0.2860291892651602,0.31474095669957386,0.2266726406119726,0.1640248735104461,0.23490126436518263,0.18176343117361163,0.20060117753715562,0.2591263229330805,0.26888013907558045,0.24519153547463546,0.201183478643025,0.2082235955041223,0.21380861931417777,0.1262531431244045
2015-04-13,0.2568704251896403,0.2844265415590603,0.2201988049886718,0.3480931873104397,0.31368830422633176,0.21428710133279263,0.35366353114574106,0.14587472325533274,0.23069963761524115,0.18192916939564654,0.20807212460205055,0.1872359405385325,0.19796469177010997,0.1586840103315208,0.20826238217725676,0.2189840952557509,0.23624722244397187,0.32128528310243837,0.1599226145134846,0.19290938319134032,0.1526204291838162,0.15748115651389866,0.17737866286169626,0.4044465296704112,0.172157499171868,0.19569831075168925,0.1976631057100707,0.28804778921835245,0.1790929122579262,0.23527893340567319,0.3650338889374681,0.1503872729890471,0.21046707957905617,0.18848178601137017,0.46801935658747335,0.20886295396427018,0.5547670551625055,0.2861327388381188,0.31431717264725684,0.23299234268616922,0.16414607293327393,0.23513928822796223,0.18386535987329267,0.20018794767112688,0.259265466019289,0.2775430681067603,0.24073687502754043,0.20319085345658106,0.20757926474008895,0.20658915795998872,0.12594314835782647
2015-04-14,0.249745020471431,0.28380565020634596,0.22289367079548864,0.3438089721754828,0.3138738843559504,0.20466433555170607,0.35442370389202577,0.1461472347005379,0.23008280482715257,0.17952748461815665,0.19776435616797647,0.186102830755907,0.1998309110585767,0.15881150746868364,0.20647195924364106,0.21610866493465555,0.23874106460138103,0.3207315584654927,0.1633050089037197,0.19292828134012252,0.15401520052408996,0.15752734239927313,0.1773691000904903,0.40260650105359874,0.17089538584066652,0.19559806043253622,0.1943575654244697,0.2857621284013379,0.17830569918755115,0.2347258420830646,0.35547216879941257,0.1482074464572496,0.21043948809918325,0.187182890597823,0.4677141112635217,0.2092088368955143,0.5540329457987847,0.2863201654568773,0.3135630356168111,0.23284054332655543,0.16496187993521996,0.2350216035239415,0.18047890508966702,0.199374611225338,0.25904239910304755,0.276560696031744,0.23951143034409514,0.20004640144191072,0.20619478901145824,0.20615158739103845,0.1242453277539842
2015-04-15,0.24874096938684861,0.2832806636540314,0.22160410970843122,0.34392623403725614,0.31277433732654997,0.20419540560387328,0.3542885106700195,0.1441512027628722,0.23432943109959953,0.17670229404800708,0.19824951831392712,0.1856410017688636,0.19644707779587908,0.1550425325284427,0.20326574973582984,0.20822539718318114,0.23568627162795358,0.31624302766618195,0.16045334133719658,0.19125547483985114,0.1534847595510705,0.15735257530983876,0.17762805301096718,0.401001325145142,0.17067226835661636,0.19740333992981898,0.19400805498199789,0.2868543564523708,0.17683015696171017,0.23434882079321648,0.35186258632206047,0.1477775825492293,0.20663693268662314,0.18721196712512594,0.46277373778414216,0.21535650214792762,0.5431534121148212,0.30003256677348605,0.31389691303545125,0.2322875214504837,0.1649663646855185,0.23555506882257018,0.17941731565279997,0.1978799844590354,0.2642592934768093,0.2777465639981589,0.2396036454141952,0.19329654917811534,0.20566450286023327,0.20763484775866817,0.12187596595246401
2015-04-16,0.24474477903673436,0.2831363966277472,0.22167649717916957,0.3433969547355077,0.31325897325309376,0.2029575209129097,0.3542482282503184,0.14418993496765362,0.2446868986179677,0.1689750982268762,0.1986228050576432,0.18510680914172276,0.19658617988068147,0.15505613644701866,0.20357566243693892,0.20725087924509195,0.23449922643006735,0.3149023800942031,0.16119959186414418,0.18759427004790852,0.15346296278473648,0.1544793437762681,0.18004034418113288,0.40110314460550583,0.17098002588260736,0.19757128783230143,0.19498603943395004,0.2865344718214103,0.17692786987448345,0.23422960648104776,0.35176128334128076,0.14756185652254872,0.20806847576999055,0.18688037167290653,0.5844434223886908,0.21480617585812192,0.5396443725418307,0.2995624820629631,0.31223860695244393,0.2298065462454534,0.24371941353104984,0.2358487464021401,0.17887862710279231,0.19835682809231966,0.26427808909178346,0.2778688584875083,0.2397044208742932,0.1878838244252798,0.20546004091834813,0.20678013345280535,0.12186507299209387
2015-04-17,0.24616431315480405,0.2835453620261544,0.2220593747238791,0.34652008006833945,0.3137814711030645,0.20671364408282797,0.35107896002476097,0.144215912609587,0.2409641096209516,0.16854243884264994,0.20187970638735148,0.18859311719316327,0.1964726068217456,0.15632045327028918,0.20762208732715934,0.20892395397762603,0.23331885384814366,0.3140937790712599,0.16384051158099067,0.1898230987875054,0.15404600996296025,0.15462646000593425,0.18401985560696896,0.4061113920891759,0.1740158380620965,0.1980218400807658,0.19515619316982313,0.2903304244493893,0.17722757995220245,0.23730000087812828,0.3584557460861429,0.15051712112037716,0.21558406256980184,0.1892511578599154,0.4734231749890674,0.21814359850152107,0.5498931811977095,0.29930913108688406,0.3121618074716535,0.22962309277340068,0.24272121597541504,0.23838870434844825,0.18458253405052635,0.18997268533497416,0.2633561385779697,0.2777337539539655,0.25523494178008316,0.19222109545884025,0.2080480096049782,0.2091102081293446,0.12408704979931973
2015-04-20,0.24494517019005857,0.2856360633368638,0.2166280140991285,0.3434368028224929,0.31239471807074654,0.21323331607239518,0.34770203743828904,0.1393048451994269,0.22620015111731373,0.16468997931502663,0.1933299814219342,0.1886773731354614,0.19519446599776033,0.15498695888131017,0.2072485208782902,0.2036642786609883,0.23390578492684905,0.3166108787546167,0.16554650541068666,0.18974468426117164,0.1514125760503849,0.1544108834231285,0.1830745988923749,0.4062447247856391,0.16889356159293245,0.19946065650918654,0.1955860086429013,0.2891697738921536,0.1769281347911073,0.2366288100200233,0.3595899912188192,0.14837356696791734,0.2094152099077674,0.18475383142998647,0.46642785563326905,0.21862004141531277,0.5547006789737787,0.29868414561270656,0.31571905699188685,0.21059681334696495,0.24242696492908897,0.23698006167798571,0.1853210744675048,0.19732498256204387,0.26305129029488467,0.2781480576763736,0.24412806500293716,0.18057311729139155,0.2059067982102185,0.20220806820234333,0.12178521357722108
2015-04-21,0.24537486278995768,0.2857761387222118,0.21602471686346625,0.34339275573816647,0.3124279053850435,0.2134850661359669,0.349984715005417,0.13927341766403623,0.22359523824387043,0.16185980401324243,0.19291794710759075,0.18962785782073688,0.1906169999656322,0.15193236605528873,0.20743600181764943,0.2030350733518967,0.23067011823625436,0.3160289685548929,0.1655978712296109,0.18958929333810384,0.1513709955994972,0.15328659903773773,0.1832529184925868,0.40522738570920364,0.1686639513404103,0.19912858801794606,0.1920843232672913,0.28869713780574346,0.17515601962808264,0.2366119854253175,0.35932540856056766,0.14822200437885982,0.20968779439241744,0.1847413830881127,0.4665525629892138,0.2186339341301711,0.5666101729839924,0.298253240686255,0.31559718862818215,0.2110046445070087,0.23663843822511368,0.23615016163531355,0.17582002517472667,0.19900340086777038,0.2620071290105926,0.2799721733123742,0.24413852196272842,0.18121526502556,0.15815081701023956,0.2017981392637839,0.1212154575038687
2015-04-22,0.24646189470464097,0.28641214900346884,0.21629388594724863,0.34273421390694686,0.31286807782971465,0.21429895315426306,0.3594029374582078,0.1396533735878821,0.2251156502370426,0.16188002005049063,0.19367420025035892,0.20628715726908078,0.19005129555706332,0.1516993416904919,0.2206649972769392,0.20242465439028742,0.2275567445579682,0.3170565895322041,0.16509466278830712,0.18959838367299373,0.15172127131196325,0.15527897608924565,0.18313041016314546,0.4118324083269137,0.1691552479219379,0.20728223886323477,0.2008962790661425,0.28814977360633304,0.1820799350574853,0.23663589522070885,0.3575690013905409,0.14769721966357216,0.20758160349424068,0.18478015411144422,0.4656993524741049,0.21933785932920788,0.5530931636082806,0.297072797853692,0.3155497850043851,0.21122769554612414,0.2367984246148386,0.2381626306216659,0.17623878632792578,0.19929469474122785,0.2628546071281916,0.28055193910668236,0.24570278785238842,0.18023531340323432,0.15811569556729715,0.20211944646954141,0.12149897917180974
2015-04-23,0.23409441733499228,0.21461342314711737,0.20943266657767928,0.34167350761208265,0.2956064852404606,0.2163602791644428,0.3594606376014546,0.13727323747935352,0.22287754362439102,0.16185078184810997,0.19227248146035825,0.2011391987415424,0.18929814963015237,0.13947558299839882,0.21547034317377206,0.201294852539224,0.22734247091153909,0.31713120858516636,0.16503123099771372,0.18926374069034255,0.14967807639149194,0.15361258411034268,0.18060966657050145,0.4151570810917153,0.16930637641345203,0.20641192424313273,0.2013572361638189,0.2764997332450171,0.18026520824066836,0.22597450100900937,0.35019624884895645,0.1464535821698657,0.20564721805949893,0.1808746862331382,0.4649272377712103,0.261457732014058,0.5501796717342491,0.28333025499650427,0.3151775121736438,0.21603148853725582,0.23389276106215998,0.2374581032184683,0.17572800478251405,0.20388474417829172,0.2160301581495679,0.2798554140833738,0.2449003750453945,0.179355614823899,0.16380909980295297,0.19618873806287132,0.1181474244310848
