Date,return
2020-01-02,0.02038692298091294
2020-01-03,-0.0054220903946780585
2020-01-06,0.0030101520847310424
2020-01-07,-0.001003842923829459
2020-01-08,0.004188610700804919
2020-01-09,0.008717540344078843
2020-01-10,-0.0011522037123271164
2020-01-13,0.013116465430476664
2020-01-14,-0.008051485556930289
2020-01-15,-0.0001095904441502639
2020-01-16,0.008541651884586542
2020-01-17,0.00554189648197873
2020-01-21,-0.0033870515852233254
2020-01-22,0.001235853763729518
2020-01-23,0.005654459330605371
2020-01-24,-0.004816210570728205
2020-01-27,-0.016815982292361635
2020-01-28,0.014734310742485037
2020-01-29,0.005945138807892321
2020-01-30,0.002883907828085438
2020-01-31,-0.0255969139868841
2020-02-03,0.009824552354872841
2020-02-04,0.020188048776041873
2020-02-05,0.004990602338347478
2020-02-06,0.005892698878798954
2020-02-07,-0.005252840023264419
2020-02-10,0.015202148975960422
2020-02-11,0.0003487017460994573
2020-02-12,0.007018904779838345
2020-02-13,-0.0035014639521648233
2020-02-14,0.009396496119471942
2020-02-18,0.0023223765077253363
2020-02-19,0.013924205156078343
2020-02-20,-0.009208895546534918
2020-02-21,-0.020484215866979506
2020-02-24,-0.013612351369327763
2020-02-25,-0.007387258895240227
2020-02-26,0.0025811730488680498
2020-02-27,-0.010232309412205274
2020-02-28,0.004510478303430797
2020-03-02,0.01047483682400648
2020-03-03,-0.0057144066128374735
2020-03-04,0.008755361804045132
2020-03-05,-0.006468981470236946
2020-03-06,-0.003472826993114628
2020-03-09,-0.01687803613632506
2020-03-10,0.011935146564618386
2020-03-11,-0.006309354003305689
2020-03-12,-0.020993119919434915
2020-03-13,0.01988002666613075
2020-03-16,-0.023618865821123686
2020-03-17,0.009954640401262725
2020-03-18,-0.008407295149204545
2020-03-19,0.004990552369938545
2020-03-20,-0.005381290252722064
2020-03-23,0.0012410734016277565
2020-03-24,0.019644599559283746
2020-03-25,-0.0009587750010300547
2020-03-26,0.007645509019596415
2020-03-27,-0.0049286861230020285
2020-03-30,0.006171815564107457
2020-03-31,-0.0016636917521928854
2020-04-01,-0.008625371959454122
2020-04-02,0.0023340672950486726
2020-04-03,-0.002437140814536652
2020-04-06,0.014515057753841024
2020-04-07,-0.0006508987268581684
2020-04-08,0.003382636565363919
2020-04-09,0.0005267049876013359
2020-04-13,0.007366679068973346
2020-04-14,0.01257672594680227
2020-04-15,-0.0006638245547071815
2020-04-16,0.007185449145878609
2020-04-17,-0.0006605252348497225
2020-04-20,-0.003456270970466625
2020-04-21,-0.014574273486342413
2020-04-22,0.011080230155918101
2020-04-23,-0.0026403208632522833
2020-04-24,0.005116132362880847
2020-04-27,0.005057735589890963
2020-04-28,-0.00582954042702729
2020-04-29,0.005659190565374113
2020-04-30,-0.0011748890330920978
2020-05-01,-0.011193296249350004
2020-05-04,0.00958409425432101
2020-05-05,0.0018855608650545793
2020-05-06,0.002668749136521838
2020-05-07,0.0018666741141195372
2020-05-08,0.010738686266872919
2020-05-11,0.008859094878587465
2020-05-12,-0.005513467531529672
2020-05-13,-0.0043030906671871726
2020-05-14,0.005150390178977611
2020-05-15,0.002796378236578164
2020-05-18,0.007778328699187799
2020-05-19,9.985035792183793e-05
2020-05-20,0.008268316650912533
2020-05-21,-0.00670024114561612
2020-05-22,0.003532548937994459
2020-05-26,-0.008825261357024283
2020-05-27,-0.0019908914871213552
2020-05-28,-0.0037557422337369094
2020-05-29,0.0117039070189602
2020-06-01,0.005455847232800633
2020-06-02,0.0005494151975804049
2020-06-03,-0.00103870919287411
2020-06-04,-0.004585724733592114
2020-06-05,0.016224621249852952
2020-06-08,0.004957825800180387
2020-06-09,0.012081909644027632
2020-06-10,0.01749628780395328
2020-06-11,-0.014814876424335282
2020-06-12,0.0007799332668277562
2020-06-15,0.005122653266079174
2020-06-16,0.0018092147068835614
2020-06-17,0.0012742294844682663
2020-06-18,0.0005082975293726905
2020-06-19,-0.0003953510118083934
2020-06-22,0.004525434365575561
2020-06-23,0.0008858955470497979
2020-06-24,-0.006313798077683534
2020-06-25,0.003276851834331656
2020-06-26,-0.007372459949009906
2020-06-29,0.004352836451421402
2020-06-30,0.008319041474147046
2020-07-01,0.001533933573302
2020-07-02,0.0050234210157112935
2020-07-06,0.01581919872277622
2020-07-07,-7.436272369120584e-05
2020-07-08,0.006694747444392362
2020-07-09,0.008129428092626975
2020-07-10,0.002928330555978288
2020-07-13,-0.008301641140079514
2020-07-14,0.010536124317289097
2020-07-15,0.0030708619127036672
2020-07-16,-0.00590369639323367
2020-07-17,0.0012178274382243488
2020-07-20,0.025584378983677745
2020-07-21,-0.009984883104026497
2020-07-22,0.010401461144408387
2020-07-23,-0.012932504598115424
2020-07-24,0.006192069696495898
2020-07-27,0.011594601494494447
2020-07-28,-0.004994760916105701
2020-07-29,0.016642713811608787
2020-07-30,-0.000928863318815494
2020-07-31,0.009093614366860866
2020-08-03,0.010493722435225564
2020-08-04,0.006095923225863057
2020-08-05,-0.0006710827279309557
2020-08-06,0.004514738215184281
2020-08-07,-0.006035220898739038
2020-08-10,-0.0027693241540747747
2020-08-11,-0.011762902284346233
2020-08-12,0.02541146411403563
2020-08-13,0.002167955827916264
2020-08-14,0.0019682825018148653
2020-08-17,0.013867324336805915
2020-08-18,0.0001929437171501088
2020-08-19,-0.0008255085634787102
2020-08-20,0.006200822093475243
2020-08-21,0.013340482275174296
2020-08-24,-0.00048481513795914805
2020-08-25,0.0013754002446098943
2020-08-26,0.006311636620921232
2020-08-27,-0.0023268883931551504
2020-08-28,0.005227226267093327
