Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,UNH,JNJ,JPM,V,XOM,PG,MA,HD,CVX,ABBV,MRK,LLY,PEP,KO,COST,AVGO,WMT,MCD,TMO,CSCO,ABT,ACN,CRM,DHR,ADBE,NKE,NFLX,TXN,AMD,INTC,QCOM,UNP,PM,BA,HON,IBM,CAT,GE,AXP,LOW,SBUX,GS,SPY
2019-12-13,0.570305122053703,0.3611802874086738,0.20738870746668492,0.05712205494868172,0.40526670522669184,0.33225302761804776,-0.08142468753238952,0.0857129051499883,-0.05614312067814253,-0.09333228212504063,0.3102394527931549,0.3105954460545193,-0.06345596859351776,0.2855543288585376,0.4053946321442674,0.3783993677902384,0.08682553411599203,0.04386389820868608,0.10294681054344434,-0.0015951973382275497,0.15158427210501357,0.0848955440951833,0.35038237994180554,0.2614943302584274,0.32184797387614794,0.06439131763374162,0.24562836061116644,0.049697131203577216,0.18615675837249124,0.22903919316231547,0.15204777740585573,0.3441805854633093,0.18324736527866503,0.26171273881079826,0.025686600954973438,0.2702495811764194,0.8892245369925742,0.22870622994180212,0.6025443721167556,0.2237324236245155,0.06592839299703046,0.13943599575766008,0.33074482882307055,0.16731596223343326,0.18018669471469884,0.6380926847346964,0.14361344253338237,0.22054119828858787,0.27807715720211834,0.2652705508289428,0.18793540842538614
2019-12-16,0.6109873408441138,0.4122387607000486,0.24478207881857084,0.1021980704783143,0.43703668681949726,0.34076092863375584,-0.044734864276454456,0.09680000305175773,-0.02211107909336152,0.005452663452637063,0.3223168659559461,0.33913236333619556,-0.0502674375262836,0.2819629045736549,0.4395436905953922,0.4014074114511692,0.10407455402876487,0.08143990701088977,0.12789978963865334,0.01764246262345992,0.19640996829641955,0.09232002008201379,0.4854714300923575,0.2595122594279047,0.33417340240076054,0.07707388986435681,0.2872200186576819,0.007831408272046314,0.20852443246825558,0.2777317061611939,0.18979889981550135,0.36328428590643647,0.2805652120838995,0.2683936881598026,0.08536950519513753,0.28227073444203477,0.9271356386565326,0.23803266208444795,0.6157953556706626,0.24630872239970203,0.07568352399514011,0.17931332179676795,0.3434885215115244,0.17120110760595142,0.16357030415471985,0.6611642281970429,0.1608645107885036,0.2511596774811482,0.31564784322208705,0.2889859232089034,0.2120448601202296
2019-12-17,0.6454372031776945,0.47411240809850597,0.3001901879905158,0.14371659873211118,0.42663517969023035,0.39168285790977153,0.010762872098433185,0.11024660229429228,0.05749111477204205,0.06697569819766369,0.34909781127439454,0.3768912790709016,-0.020747962111691276,0.3358849538015043,0.48250172014018156,0.4419465686739916,0.11642065894631815,0.1025379924627352,0.1513870976919629,0.068155869796932,0.21220644462742833,0.11599468428339632,0.5163062949766646,0.27908708852100994,0.3301299725293241,0.09179889474516845,0.343279316007298,0.04895749967192753,0.24919770681073228,0.3139888855971824,0.24749720994066204,0.4322019478566801,0.3438431359574756,0.34164036204565296,0.12264077201458035,0.3197230085009224,1.0477961513290208,0.26180920830578325,0.6393274963780284,0.28374849568491234,0.10520941502723602,0.20280817400934925,0.3800285303326498,0.21314530491056516,0.20052029018639028,0.683153261857127,0.21101844615837662,0.3024621700209864,0.3307157065320079,0.33045866550133485,0.24524510703513114
2019-12-18,0.6325236518923834,0.46239810267454495,0.2649293022313495,0.1295860187362452,0.44924407305564906,0.3740778607320898,0.03845356540022071,0.11617138883939027,0.0929462258208027,0.055642094115086804,0.36693928753666105,0.36297929599861445,-0.0027536555494459547,0.35493597090142415,0.4739467567372757,0.43375766364110535,0.12417153174113627,0.12161117017609069,0.15475943833992933,0.09526055897909202,0.2256559358091763,0.12385548760386733,0.5150070124829835,0.2807841238127502,0.3409917244234688,0.10011570148357851,0.3096150944903502,0.053690958335496974,0.22228115621822164,0.31798316726648945,0.23012386746618807,0.3996770825435241,0.31382090938553864,0.3342196576745511,0.11674171856660354,0.28195285212186527,1.0451282599033456,0.2505910378395131,0.6113205826806836,0.28194976256103277,0.19680802270438025,0.15214490981573703,0.3571431736618822,0.20661683562391486,0.18821962693905747,0.6416171937287385,0.20188810832354398,0.2825035719045361,0.31850968384661615,0.30030642925459494,0.24753158064743164
2019-12-19,0.6799743058925385,0.46683536431874795,0.26763930227040356,0.17237212797999946,0.5063773581394857,0.4959470999354778,0.07973693402170201,0.12225239962188028,0.10982209319662184,0.0788078218957009,0.38407881831192103,0.40136195000080255,0.004071953211563839,0.36044880172821303,0.5332281480666092,0.37584803359169094,0.12381763942504431,0.12608477029421317,0.17071728491018545,0.07871407913187745,0.25044377491037073,0.13477846392223802,0.5153592459689307,0.33908312394497586,0.34480268522615565,0.09872182336337643,0.34456760130274566,0.08378903587572695,0.24185486646878873,0.33043216911353945,0.2500763319228756,0.4343106411706248,0.3380815235722996,0.3680613857283672,0.13431046133212976,0.33816874275688336,1.2736784836158122,0.31239203275667804,0.5965622983791428,0.3158470861501135,0.21057679085097414,0.1749521261267708,0.3791465735766528,0.21078700014598017,0.20361635615176366,0.5662071199702217,0.23276006357517853,0.28025788011054487,0.3304858394395691,0.319451483401926,0.26613330964246273
2019-12-20,0.7034013482928998,0.4957380540965457,0.27186936284044494,0.19488922511109874,0.5680859838965269,0.48058462607711694,0.11681143538295591,0.12346313498510497,0.1514064906221606,0.08217286208961871,0.3859748860381176,0.41989478697488747,0.03873328966307832,0.3819435051349458,0.5706209017942443,0.37350416405401354,0.1631492488471762,0.07915817731874086,0.18378457787159475,0.07235232015142423,0.24081436883026353,0.14638734458527103,0.5397055487952462,0.3245282846477393,0.3863421976627053,0.1374316872668766,0.4019726456018262,0.09093040135571262,0.24716806540245817,0.39515072330354295,0.2855241072225301,0.46116268843624963,0.3725132150956847,0.38887516711868053,0.17107990200775203,0.326332312851205,1.2842808429374997,0.3031290152438255,0.5629107658721797,0.3141884794033891,0.262751143486901,0.21212626481211383,0.38383795334520876,0.23507890258325292,0.1972964163818398,0.5970952977920019,0.2639601989735558,0.347727819107704,0.3703907748247508,0.3131959998199847,0.28229734777478344
2019-12-23,0.7643909391089228,0.5442357371017976,0.31161667860920605,0.25936331040130023,0.6272690978887896,0.5840734517891779,0.10964122735974224,0.1276938990104901,0.17542072356570326,0.08767986941684813,0.4228167456459091,0.4569797509826663,0.07173849719513936,0.3600577028579175,0.6327009578801623,0.3899896029693928,0.18602344976973773,0.07641732943663193,0.19602483476889443,0.07238700269994713,0.2513619502878124,0.14006713011307692,0.5588072686490879,0.3232219366700946,0.39723891803547384,0.12396134684976379,0.4177356580322149,0.10171680587446996,0.2645740545810136,0.4523493127542024,0.3251973764108558,0.4616283824956555,0.4310344033802602,0.2835931255065245,0.26502701825648245,0.32015982384994723,1.334317764051177,0.3307861662761711,0.5966543331233032,0.3360218861056987,0.31717191148810286,0.23094117061070496,0.39154840606969543,0.26428081983917284,0.22781294574144972,0.6823001906440422,0.31985207991238696,0.3616772532806154,0.36578235916041146,0.3838186522014544,0.3070152634692349
2019-12-24,0.8096662162238963,0.6126827589008812,0.31381086965024263,0.29893755245364995,0.6647586018805494,0.6026116928207925,0.12745862345271686,0.160843699885876,0.20393010765168196,0.14771522038203,0.46378910978658183,0.4837887747538736,0.10963926397897139,0.4156705988043432,0.6269243495350039,0.40726540144780876,0.22239655849781115,0.08023779306461032,0.22529821105126668,0.11309902612336042,0.2929133003668365,0.18156428577678252,0.5908726519222087,0.3846496966374151,0.41264906574363724,0.15422687808323587,0.479340808019854,0.14491398377201103,0.2984881181522918,0.4897945149216394,0.34187755508332107,0.5190500163043361,0.4588612909458918,0.3815426563603208,0.32751837213489954,0.3700581979578563,1.3513514968677667,0.35460533373601,0.6281474604297244,0.39517775711003433,0.3048568852125737,0.2914604068087667,0.44506402331676,0.30875978918875835,0.26514108121894076,0.7412297450570244,0.3497869398506903,0.40228865006913117,0.39661286753206504,0.42987392536056035,0.3454726039214715
2019-12-26,0.7202537513375755,0.5261142490998902,0.24601810395907742,0.205955585708669,0.6672443704229645,0.4889702619569227,0.03143308839147929,0.10877152117076783,0.1766979361573615,0.11314821102084816,0.41304057981887166,0.3985344668128512,0.052016405352745654,0.37528217965285404,0.55130856974158,0.3247122011547492,0.14712428368921504,0.04132334320229192,0.18155467741905174,0.08130321511543293,0.26319743989701627,0.1610406801738451,0.5203503615447405,0.3241017052276274,0.335987790042527,0.12204599228021662,0.4278759467438853,0.10040196538175694,0.23371563518860095,0.4449488036510909,0.23593739413399328,0.45768839576638487,0.36927563560437093,0.2825578273659435,0.24393895943145427,0.3158444780694156,1.2229051264524222,0.3049836422867711,0.5682937223268363,0.3446685237556988,0.28733128751809867,0.21596279122999595,0.3899941813616481,0.27921280790753067,0.20687889911335944,0.6347233455471524,0.3040120818271481,0.3105994114404833,0.3526091665487896,0.38751267243858556,0.29068833333103594
2019-12-27,0.7179699126880303,0.5247869551825366,0.24703201317594803,0.22939984157016746,0.6595778686625606,0.47911099211536423,0.04045804967155209,0.09384368997360593,0.15893373366785757,0.10695213127134218,0.3992270953854433,0.3917233050950313,0.04485450791681056,0.36599038179519705,0.5421605825595011,0.3229891192048344,0.12125613369516919,0.030777199658359455,0.18212009729403045,0.0606201093165708,0.2680887989432499,0.161279344752272,0.5128248003274185,0.29606918842165686,0.32176999650491944,0.12359576968032471,0.42064242012690456,0.08576429179940326,0.22945938885515216,0.4490029621455838,0.20221891405880354,0.4435578195878691,0.36759347397706854,0.2769506403482358,0.22271790583756013,0.30551749528486405,1.229273995923792,0.3021877447324237,0.5525505348210664,0.32026888889249805,0.2892393029301079,0.2048809873245132,0.3844531236328108,0.2442369974870846,0.18600203103349977,0.628702389055199,0.28376275545851337,0.30755988689613756,0.36309834457865287,0.3648694192880384,0.2837565643891149
