,meta_return,exposure,base_return
2020-01-02,0.010857065935384705,0.6,0.01809510989230784
2020-01-03,-0.004577165543835983,0.6,-0.007628609239726639
2020-01-06,0.00130873647002586,0.6,0.0021812274500431
2020-01-07,-0.001835790364588476,0.6,-0.0030596506076474603
2020-01-08,0.004206186530976576,0.6,0.00701031088496096
2020-01-09,0.007608839200737672,0.6,0.01268139866789612
2020-01-10,-0.001126893314082816,0.6,-0.00187815552347136
2020-01-13,0.008736857823222756,0.6,0.01456142970537126
2020-01-14,-0.004082838642492899,0.6,-0.006804731070821499
2020-01-15,0.001020935012634204,0.6,0.00170155835439034
2020-01-16,0.0068932744402480555,0.6,0.01148879073374676
2020-01-17,0.005671805117135244,0.6,0.009453008528558739
2020-01-21,-0.00019944059062898395,0.6,-0.00033240098438163995
2020-01-22,-0.000613781505618996,0.6,-0.00102296917603166
2020-01-23,0.0021787990864690202,0.6,0.0036313318107817003
2020-01-24,-0.005946183507746891,0.6,-0.009910305846244818
2020-01-27,-0.010542674991854867,0.6,-0.01757112498642478
2020-01-28,0.01075862643281791,0.6,0.01793104405469652
2020-01-29,0.0025645519793782794,0.6,0.0042742532989637995
2020-01-30,0.002271367159314624,0.6,0.00378561193219104
2020-01-31,-0.015836392683793426,0.6,-0.026393987806322378
2020-02-03,0.008059815080406778,0.6976773860201766,0.0115523524796799
2020-02-04,0.01418440674888404,0.6930593184448299,0.02046636755525158
2020-02-05,0.0023521635393050945,0.6465928684791242,0.0036377814448181403
2020-02-06,0.00405660155196879,0.650728742345678,0.00623393633627736
2020-02-07,-0.0036170631863697692,0.651464645746552,-0.0055522018116958005
2020-02-10,0.00895850200214586,0.6568528499186679,0.01363852193570464
2020-02-11,-0.0008252373342440498,0.6430069759563924,-0.0012834033923451802
2020-02-12,0.005512238903617843,0.660355435741547,0.00834738173606138
2020-02-13,0.0006537264028473037,0.666689133724743,0.0009805565589392203
2020-02-14,0.007174672902286683,0.6664246760452557,0.010765917229930819
2020-02-18,0.0014803180087211492,0.668101605376126,0.002215707905518
2020-02-19,0.008888255151254795,0.6749313009566531,0.01316912571495278
2020-02-20,-0.006178612172567769,0.6608155557928572,-0.009349979912556039
2020-02-21,-0.010649241026110286,0.6439488771712406,-0.01653740134293054
2020-02-24,-0.02541283878210999,0.6056147242787251,-0.04196205568214374
2020-02-25,-0.01653730615284525,0.4817444799955524,-0.03432796189589536
2020-02-26,0.00027438276457800463,0.4012992487198405,0.0006837360534645799
2020-02-27,-0.02114373885077517,0.4198032404211848,-0.05036583050088382
2020-02-28,0.000333856243155372,0.3,0.0011128541438512399
2020-03-02,0.01786267394579819,0.3,0.05954224648599396
2020-03-03,-0.008699056361227416,0.3,-0.028996854537424722
2020-03-04,0.013941292395461082,0.3,0.04647097465153694
2020-03-05,-0.009815417988325973,0.3,-0.03271805996108658
2020-03-06,-0.0056250296109963595,0.3,-0.0187500987033212
2020-03-09,-0.023030653597331106,0.3,-0.07676884532443702
2020-03-10,0.018254636456667084,0.3,0.06084878818889028
2020-03-11,-0.01120052684096245,0.3,-0.037335089469874835
2020-03-12,-0.030178092151043164,0.3,-0.10059364050347722
2020-03-13,0.03038936616326641,0.3,0.10129788721088803
2020-03-16,-0.0394981306146466,0.3,-0.13166043538215533
2020-03-17,0.016196009880717076,0.3,0.05398669960239026
2020-03-18,-0.01698639984609729,0.3,-0.0566213328203243
2020-03-19,0.008578884468135659,0.3,0.0285962815604522
2020-03-20,-0.0127212901330153,0.3,-0.042404300443384335
2020-03-23,-0.00060090951883788,0.3,-0.0020030317294596
2020-03-24,0.0288368113598203,0.3,0.09612270453273433
2020-03-25,0.001755361503364656,0.3,0.00585120501121552
2020-03-26,0.014375004043797959,0.3,0.0479166801459932
2020-03-27,-0.010563350506556922,0.3,-0.03521116835518974
2020-03-30,0.009970239936462582,0.3,0.03323413312154194
2020-03-31,-0.004424212779261251,0.3,-0.014747375930870839
2020-04-01,-0.012024285950956769,0.3,-0.040080953169855896
2020-04-02,0.005975805365182434,0.3,0.01991935121727478
2020-04-03,-0.005194928175477726,0.3,-0.01731642725159242
2020-04-06,0.025173704506102044,0.3,0.08391234835367348
2020-04-07,-0.00161991966009258,0.3,-0.0053997322003086
2020-04-08,0.0060188613710186935,0.3,0.02006287123672898
2020-04-09,-0.000853107886252416,0.3,-0.0028436929541747202
2020-04-13,0.006509514528115261,0.3,0.021698381760384203
2020-04-14,0.016331518840105873,0.3,0.05443839613368624
2020-04-15,-0.003699208867217868,0.3,-0.012330696224059561
2020-04-16,0.006177986212051235,0.3,0.02059328737350412
2020-04-17,0.001176314925985548,0.3,0.00392104975328516
2020-04-20,-0.004430644290730585,0.3,-0.014768814302435282
2020-04-21,-0.012730381671135155,0.3,-0.04243460557045052
2020-04-22,0.011779945781648501,0.3,0.03926648593882834
2020-04-23,-0.0026894234030082837,0.3,-0.008964744676694279
2020-04-24,0.005695847484400428,0.3,0.01898615828133476
2020-04-27,0.0041019111621643746,0.3,0.013673037207214581
2020-04-28,-0.00558307476977151,0.3,-0.0186102492325717
2020-04-29,0.0077719952129598965,0.3,0.025906650709866322
2020-04-30,-0.002181618710101062,0.3,-0.00727206236700354
2020-05-01,-0.008299493021078004,0.3,-0.02766497673692668
2020-05-04,0.006629393341690446,0.3,0.02209797780563482
2020-05-05,0.0036102013653509573,0.3,0.012034004551169859
2020-05-06,0.001135371607512846,0.3,0.00378457202504282
2020-05-07,-0.000441121577548902,0.3,-0.00147040525849634
2020-05-08,0.0039957885451324315,0.3,0.013319295150441439
