Date,spy_20d_ret,spy_20d_vol,vix,breadth,regime,regime_num
2015-01-02,,,17.790000915527344,0.0,UNKNOWN,-1
2015-01-05,,,19.920000076293945,0.0,UNKNOWN,-1
2015-01-06,,,21.1200008392334,0.0,UNKNOWN,-1
2015-01-07,,,19.309999465942383,0.0,UNKNOWN,-1
2015-01-08,,,17.010000228881836,0.0,UNKNOWN,-1
2015-01-09,,,17.549999237060547,0.0,UNKNOWN,-1
2015-01-12,,,19.600000381469727,0.0,UNKNOWN,-1
2015-01-13,,,20.559999465942383,0.0,UNKNOWN,-1
2015-01-14,,,21.479999542236328,0.0,UNKNOWN,-1
2015-01-15,,,22.38999938964844,0.0,UNKNOWN,-1
2015-01-16,,,20.950000762939453,0.0,UNKNOWN,-1
2015-01-20,,,19.88999938964844,0.0,UNKNOWN,-1
2015-01-21,,,18.850000381469727,0.0,UNKNOWN,-1
2015-01-22,,,16.399999618530273,0.0,UNKNOWN,-1
2015-01-23,,,16.65999984741211,0.0,UNKNOWN,-1
2015-01-26,,,15.520000457763672,0.0,UNKNOWN,-1
2015-01-27,,,17.219999313354492,0.0,UNKNOWN,-1
2015-01-28,,,20.440000534057617,0.0,UNKNOWN,-1
2015-01-29,,,18.76000022888184,0.0,UNKNOWN,-1
2015-01-30,,,20.96999931335449,0.0,UNKNOWN,-1
2015-02-02,-0.2024455809423155,0.1754193632822807,19.43000030517578,0.0,BEAR,2
2015-02-03,0.2073159626255239,0.170913521107788,17.329999923706055,0.0,RANGE,1
2015-02-04,0.2780143535852036,0.1675821182210775,18.32999992370605,0.0,RANGE,1
2015-02-05,0.248198823638241,0.1656544101325958,16.850000381469727,0.0,RANGE,1
2015-02-06,-0.0102331873039054,0.1536981713096028,17.290000915527344,0.0,RANGE,1
2015-02-09,0.0343481222876048,0.1517646744416272,18.549999237060547,0.0,RANGE,1
2015-02-10,0.2672816291647547,0.1530700921489773,17.229999542236328,0.0,RANGE,1
2015-02-11,0.3100266767073206,0.1524038269639027,16.959999084472656,0.0,RANGE,1
2015-02-12,0.5072723712102385,0.1526325369154607,15.34000015258789,0.0,RANGE,1
2015-02-13,0.6745599383713984,0.1469105203625492,14.6899995803833,0.0,RANGE,1
2015-02-17,0.5291440360406069,0.1416535743845441,15.800000190734863,0.0,RANGE,1
2015-02-18,0.503470770274168,0.1418317560505489,15.449999809265137,0.0,RANGE,1
2015-02-19,0.4308805221509809,0.1416631011516886,15.289999961853027,0.0,RANGE,1
2015-02-20,0.3191035519077962,0.1340254656748147,14.300000190734863,0.0,RANGE,1
2015-02-23,0.3863966375458155,0.1317804338887491,14.5600004196167,0.0,RANGE,1
2015-02-24,0.3926919855044239,0.1318329893104518,13.6899995803833,0.0,RANGE,1
2015-02-25,0.54818006015313,0.1202945863545991,13.84000015258789,0.0,RANGE,1
2015-02-26,0.6948817969553085,0.107453842172922,13.90999984741211,0.0,RANGE,1
2015-02-27,0.5354961059625154,0.106705777522278,13.34000015258789,0.0,RANGE,1
2015-03-02,0.7734904751942454,0.0922827097205304,13.039999961853027,0.0,RANGE,1
2015-03-03,0.5657355344912846,0.0886984273130875,13.859999656677246,0.0,RANGE,1
2015-03-04,0.3304125603443988,0.0788057662036411,14.229999542236328,0.0,RANGE,1
2015-03-05,0.3921769772814089,0.0764687578693227,14.039999961853027,0.0,RANGE,1
2015-03-06,0.0877681921646266,0.0879188781847296,15.199999809265137,0.0,RANGE,1
2015-03-09,0.1748309492039397,0.0880945938608958,15.0600004196167,0.0,RANGE,1
2015-03-10,0.0268278925516946,0.1054035881773538,16.690000534057617,0.0,RANGE,1
2015-03-11,-0.1369058987620526,0.0979900852423171,16.8700008392334,0.0,BEAR,2
2015-03-12,0.0159800067803,0.1087138123396965,15.420000076293944,0.0,RANGE,1
2015-03-13,-0.182459188797071,0.1046557974714729,16.0,0.0,BEAR,2
2015-03-16,-0.0659867041337571,0.1149627381733851,15.609999656677246,0.5882352941176471,RANGE,1
2015-03-17,-0.1232571762682617,0.1151326007073018,15.65999984741211,0.5686274509803921,RANGE,1
2015-03-18,0.0270107456326023,0.123420259085173,13.970000267028809,0.6274509803921569,RANGE,1
2015-03-19,-0.02147087503423,0.1245106554661808,14.06999969482422,0.6274509803921569,RANGE,1
2015-03-20,0.0141453648085646,0.126727587863241,13.020000457763672,0.6666666666666666,RANGE,1
2015-03-23,-0.0086198040808156,0.1269271875286662,13.40999984741211,0.6470588235294118,RANGE,1
2015-03-24,-0.1152097191428876,0.1279336601164022,13.619999885559082,0.6274509803921569,RANGE,1
2015-03-25,-0.2891410175715273,0.1375204936424104,15.4399995803833,0.4509803921568627,RANGE,1
2015-03-26,-0.3042599272271019,0.1375903371284759,15.800000190734863,0.4509803921568627,RANGE,1
2015-03-27,-0.2324938187561272,0.1378682511578529,15.06999969482422,0.4901960784313725,RANGE,1
2015-03-30,-0.1583209267732989,0.1434370927421965,14.510000228881836,0.5686274509803921,RANGE,1
2015-03-31,-0.2167337071269408,0.1458506598807321,15.289999961853027,0.4509803921568627,RANGE,1
2015-04-01,-0.2081756034402754,0.1456632248644565,15.109999656677246,0.3725490196078431,BEAR,2
2015-04-02,-0.176631943216624,0.1463702497279912,14.670000076293944,0.3725490196078431,BEAR,2
2015-04-06,0.0854211958692097,0.1396489210469065,14.739999771118164,0.5490196078431373,BULL,0
2015-04-07,-0.0001488230660175,0.1392744380948052,14.779999732971191,0.5294117647058824,RANGE,1
2015-04-08,0.2467987390549979,0.1257135579696818,13.979999542236328,0.5294117647058824,BULL,0
