Date,regime
2016-02-04,RANGE
2016-02-05,RANGE
2016-02-08,RANGE
2016-02-09,RANGE
2016-02-10,RANGE
2016-02-11,BEAR
2016-02-12,BEAR
2016-02-16,BEAR
2016-02-17,BEAR
2016-02-18,BEAR
2016-02-19,RANGE
2016-02-22,RANGE
2016-02-23,RANGE
2016-02-24,RANGE
2016-02-25,RANGE
2016-02-26,BULL
2016-02-29,BULL
2016-03-01,BULL
2016-03-02,BULL
2016-03-03,BULL
2016-03-04,BULL
2016-03-07,BULL
2016-03-08,BULL
2016-03-09,BULL
2016-03-10,BULL
2016-03-11,BULL
2016-03-14,BULL
2016-03-15,BULL
2016-03-16,BULL
2016-03-17,BULL
2016-03-18,BULL
2016-03-21,BULL
2016-03-22,BULL
2016-03-23,BULL
2016-03-24,BULL
2016-03-28,BULL
2016-03-29,BULL
2016-03-30,BULL
2016-03-31,BULL
2016-04-01,BULL
2016-04-04,BULL
2016-04-05,BULL
2016-04-06,BULL
2016-04-07,BULL
2016-04-08,BULL
2016-04-11,BULL
2016-04-12,BULL
2016-04-13,BULL
2016-04-14,BULL
2016-04-15,BULL
2016-04-18,BULL
2016-04-19,BULL
2016-04-20,BULL
2016-04-21,BULL
2016-04-22,BULL
2016-04-25,BULL
2016-04-26,BULL
2016-04-27,BULL
2016-04-28,BULL
2016-04-29,BULL
2016-05-02,BULL
2016-05-03,BULL
2016-05-04,BULL
2016-05-05,BULL
2016-05-06,BULL
2016-05-09,BULL
2016-05-10,BULL
2016-05-11,BULL
2016-05-12,RANGE
2016-05-13,RANGE
2016-05-16,RANGE
2016-05-17,RANGE
2016-05-18,RANGE
2016-05-19,RANGE
2016-05-20,RANGE
2016-05-23,RANGE
2016-05-24,RANGE
2016-05-25,RANGE
2016-05-26,RANGE
2016-05-27,BULL
2016-05-31,BULL
2016-06-01,BULL
2016-06-02,BULL
2016-06-03,BULL
2016-06-06,BULL
2016-06-07,BULL
2016-06-08,BULL
2016-06-09,BULL
2016-06-10,BULL
2016-06-13,BULL
2016-06-14,RANGE
2016-06-15,RANGE
2016-06-16,RANGE
2016-06-17,BULL
2016-06-20,BULL
2016-06-21,BULL
2016-06-22,BULL
2016-06-23,BULL
2016-06-24,BULL
2016-06-27,BEAR
2016-06-28,BEAR
2016-06-29,BEAR
2016-06-30,RANGE
2016-07-01,RANGE
2016-07-05,RANGE
2016-07-06,RANGE
2016-07-07,RANGE
2016-07-08,RANGE
2016-07-11,BULL
2016-07-12,BULL
2016-07-13,BULL
2016-07-14,BULL
2016-07-15,BULL
2016-07-18,BULL
2016-07-19,BULL
2016-07-20,BULL
2016-07-21,BULL
2016-07-22,BULL
2016-07-25,BULL
2016-07-26,BULL
2016-07-27,BULL
2016-07-28,BULL
2016-07-29,BULL
2016-08-01,BULL
2016-08-02,BULL
2016-08-03,BULL
2016-08-04,BULL
2016-08-05,BULL
2016-08-08,BULL
2016-08-09,BULL
2016-08-10,BULL
2016-08-11,BULL
2016-08-12,BULL
2016-08-15,BULL
2016-08-16,BULL
2016-08-17,BULL
2016-08-18,BULL
2016-08-19,BULL
2016-08-22,BULL
2016-08-23,BULL
2016-08-24,BULL
2016-08-25,BULL
2016-08-26,BULL
2016-08-29,BULL
2016-08-30,BULL
2016-08-31,BULL
2016-09-01,BULL
2016-09-02,BULL
2016-09-06,BULL
2016-09-07,BULL
2016-09-08,BULL
2016-09-09,BULL
2016-09-12,RANGE
2016-09-13,RANGE
2016-09-14,RANGE
2016-09-15,RANGE
2016-09-16,RANGE
2016-09-19,RANGE
2016-09-20,RANGE
2016-09-21,RANGE
2016-09-22,RANGE
2016-09-23,RANGE
2016-09-26,RANGE
