Date,BIL,IWM,QQQ,SPY,TLT,CASH
2020-01-02,78.1700439453125,153.70599365234375,208.58023071289062,297.6989440917969,115.44371795654297,1.0
2020-01-03,78.1700439453125,153.10337829589844,206.66966247558594,295.4447326660156,117.22162628173828,1.0
2020-01-06,78.1615219116211,153.3073272705078,208.001220703125,296.5718994140625,116.55594635009766,1.0
2020-01-07,78.1615219116211,152.79736328125,207.9723663330078,295.73797607421875,115.98291778564453,1.0
2020-01-08,78.17861938476562,153.270263671875,209.53549194335938,297.31402587890625,115.21622467041016,1.0
2020-01-09,78.18714141845703,153.45565795898438,211.31100463867188,299.3300476074219,115.62064361572266,1.0
2020-01-10,78.18714141845703,152.88082885742188,210.7706298828125,298.46875,116.64859008789062,1.0
2020-01-13,78.18714141845703,153.87294006347656,213.20223999023438,300.5213928222656,116.29476928710938,1.0
2020-01-14,78.18714141845703,154.4385223388672,212.3627471923828,300.063232421875,116.89299011230469,1.0
2020-01-15,78.1956787109375,155.1802520751953,212.4495849609375,300.7413330078125,117.66813659667969,1.0
2020-01-16,78.21280670166016,157.18292236328125,214.48562622070312,303.2430419921875,117.29743194580078,1.0
2020-01-17,78.2042465209961,156.75643920898438,215.5470428466797,304.1868896484375,116.29476928710938,1.0
2020-01-21,78.21280670166016,155.4583740234375,215.45059204101562,303.5911865234375,117.51654052734375,1.0
2020-01-22,78.21280670166016,155.35635375976562,216.01986694335938,303.62786865234375,117.92937469482422,1.0
2020-01-23,78.22135162353516,155.25439453125,216.71463012695312,303.97607421875,118.75507354736328,1.0
2020-01-24,78.22135162353516,153.34439086914062,214.89089965820312,301.2727355957031,119.7156753540039,1.0
2020-01-27,78.22987365722656,151.601318359375,210.4521942138672,296.44354248046875,121.57781219482422,1.0
2020-01-28,78.22987365722656,152.8622589111328,213.68470764160156,299.5500793457031,120.62568664550781,1.0
2020-01-29,78.2384262084961,151.99075317382812,214.0320587158203,299.3025207519531,121.80526733398438,1.0
2020-01-30,78.2384262084961,151.99075317382812,214.79440307617188,300.2739562988281,121.82213592529297,1.0
2020-01-31,78.2384262084961,148.83839416503906,211.38816833496094,294.8216857910156,122.93437194824219,1.0
2020-02-03,78.2452621459961,150.49801635742188,214.5820770263672,297.0117492675781,122.83473205566406,1.0
2020-02-04,78.2452621459961,152.76959228515625,219.49363708496094,301.53851318359375,121.18055725097656,1.0
2020-02-05,78.26237487792969,155.12457275390625,220.2173614501953,305.0206604003906,119.85546112060547,1.0
2020-02-06,78.27095794677734,154.7722625732422,222.11825561523438,306.0470886230469,120.39559936523438,1.0
2020-02-07,78.27095794677734,152.87158203125,221.16294860839844,304.416015625,121.89795684814453,1.0
2020-02-10,78.26237487792969,153.73385620117188,223.8358612060547,306.68841552734375,122.23551177978516,1.0
2020-02-11,78.27095794677734,154.80006408691406,223.87445068359375,307.22003173828125,121.6194076538086,1.0
2020-02-12,78.2795181274414,155.86631774902344,226.05516052246094,309.1993713378906,121.00331115722656,1.0
2020-02-13,78.28803253173828,156.27427673339844,225.76568603515625,308.869384765625,121.46752166748047,1.0
2020-02-14,78.28803253173828,155.67161560058594,226.41220092773438,309.3642578125,121.99922943115234,1.0
2020-02-18,78.29662322998047,155.33787536621094,226.49903869628906,308.5670166015625,122.83473205566406,1.0
2020-02-19,78.29662322998047,156.13522338867188,228.67010498046875,310.0423583984375,122.82640075683594,1.0
2020-02-20,78.29662322998047,156.5153350830078,226.54730224609375,308.76873779296875,123.7884750366211,1.0
2020-02-21,78.31375122070312,154.92991638183594,222.19546508789062,305.5889587402344,124.94475555419922,1.0
2020-02-24,78.30516815185547,150.2662353515625,213.6268310546875,295.4539489746094,126.80990600585938,1.0
2020-02-25,78.30516815185547,144.92575073242188,207.8179168701172,286.5008850097656,127.48514556884766,1.0
2020-02-26,78.32229614257812,143.24757385253906,208.88900756835938,285.4472351074219,126.80990600585938,1.0
2020-02-27,78.33943176269531,138.20375061035156,198.42913818359375,272.62725830078125,128.18569946289062,1.0
2020-02-28,78.3308334350586,135.6725616455078,198.58352661132812,271.4818420410156,131.0806121826172,1.0
2020-03-02,78.3539810180664,140.0302734375,208.83106994628906,283.23870849609375,130.11619567871094,1.0
2020-03-03,78.37110900878906,137.17459106445312,202.1344451904297,275.1289978027344,132.13632202148438,1.0
2020-03-04,78.40536499023438,141.0780029296875,210.56800842285156,286.6934814453125,130.73321533203125,1.0
2020-03-05,78.42251586914062,136.5904998779297,204.17047119140625,277.16326904296875,133.98736572265625,1.0
2020-03-06,78.42251586914062,133.88314819335938,200.72561645507812,272.5815124511719,140.96063232421875,1.0
2020-03-09,78.45675659179688,120.86566162109375,186.7823486328125,251.29441833496094,144.78109741210938,1.0
2020-03-10,78.43963623046875,124.6392593383789,196.9528045654297,264.297607421875,137.35986328125,1.0
2020-03-11,78.45675659179688,116.71199798583984,188.37452697753906,251.41346740722656,132.30538940429688,1.0
2020-03-12,78.46534729003906,103.81504821777344,171.10218811035156,227.3589324951172,133.12527465820312,1.0
2020-03-13,78.48246002197266,110.76884460449219,185.59548950195312,246.7950439453125,130.11619567871094,1.0
2020-03-16,78.49102783203125,96.0732192993164,163.36337280273438,219.78976440429688,138.54318237304688,1.0
2020-03-17,78.49102783203125,100.4772720336914,175.7531280517578,231.65664672851562,129.3047637939453,1.0
2020-03-18,78.5081787109375,92.68905639648438,170.4074249267578,219.9272003173828,122.01034545898438,1.0
2020-03-19,78.49102783203125,96.3050308227539,171.43026733398438,220.39451599121094,125.33214569091797,1.0
2020-03-20,78.51673126220703,94.0149154663086,164.7143096923828,210.8968505859375,134.7565155029297,1.0
2020-03-23,78.49961853027344,92.62415313720703,164.83323669433594,205.5045623779297,140.30979919433594,1.0
2020-03-24,78.49961853027344,101.09850311279297,177.59750366210938,224.12396240234375,137.69805908203125,1.0
2020-03-25,78.49961853027344,102.35498046875,176.2824249267578,227.47915649414062,137.38522338867188,1.0
2020-03-26,78.49961853027344,108.72135925292969,185.56553649902344,240.7616729736328,138.06146240234375,1.0
2020-03-27,78.48246002197266,104.765625,179.18341064453125,233.5904083251953,141.7466278076172,1.0
2020-03-30,78.48246002197266,107.07391357421875,185.7008514404297,241.17637634277344,140.58023071289062,1.0
2020-03-31,78.49102783203125,106.53407287597656,184.1150360107422,237.58154296875,139.43919372558594,1.0
2020-04-01,78.48417663574219,99.27418518066406,176.2920684814453,226.88925170898438,141.39283752441406,1.0
2020-04-02,78.49273681640625,100.21424865722656,179.86993408203125,232.12477111816406,142.29002380371094,1.0
2020-04-03,78.46704864501953,97.37545013427734,177.31707763671875,228.76956176757812,142.62863159179688,1.0
2020-04-06,78.4755859375,104.83077239990234,189.99432373046875,244.13523864746094,142.2561798095703,1.0
2020-04-07,78.45845794677734,105.1007080078125,189.91697692871094,244.38409423828125,140.7664337158203,1.0
2020-04-08,78.46704864501953,109.89408874511719,193.94931030273438,252.58761596679688,139.7421875,1.0
2020-04-09,78.44989013671875,115.15282440185547,194.2297821044922,256.43133544921875,139.99618530273438,1.0
2020-04-13,78.46704864501953,112.03484344482422,196.328125,254.09014892578125,138.7179718017578,1.0
2020-04-14,78.4755859375,114.30585479736328,204.86666870117188,261.5839538574219,138.6842041015625,1.0
2020-04-15,78.46704864501953,109.64279174804688,202.516845703125,256.0258483886719,142.3577423095703,1.0
2020-04-16,78.45845794677734,108.81440734863281,206.21078491210938,257.26092529296875,143.97450256347656,1.0
2020-04-17,78.4755859375,113.60779571533203,208.18344116210938,264.2110290527344,142.04454040527344,1.0
2020-04-20,78.46704864501953,112.26750946044922,205.71759033203125,259.5561218261719,143.187255859375,1.0
2020-04-21,78.46704864501953,109.58692932128906,198.12672424316406,251.67514038085938,144.99026489257812,1.0
2020-04-22,78.46704864501953,110.91791534423828,204.0060577392578,257.26092529296875,143.50892639160156,1.0
2020-04-23,78.4755859375,112.00688171386719,203.57089233398438,257.24249267578125,144.27076721191406,1.0
2020-04-24,78.46704864501953,113.93356323242188,206.78126525878906,260.828125,144.60934448242188,1.0
2020-04-27,78.46704864501953,118.44772338867188,208.4445037841797,264.5888977050781,141.91761779785156,1.0
2020-04-28,78.46704864501953,120.16960144042969,204.51852416992188,263.3721618652344,143.5512237548828,1.0
2020-04-29,78.45845794677734,126.07988739013672,211.77096557617188,270.266845703125,142.80642700195312,1.0
2020-04-30,78.4755859375,121.28651428222656,211.68394470214844,267.7504577636719,141.1388702392578,1.0
2020-05-01,78.46186828613281,116.47450256347656,205.71759033203125,260.6622619628906,142.3474884033203,1.0
2020-05-04,78.46186828613281,116.97711181640625,208.11573791503906,261.3812255859375,141.6779327392578,1.0
2020-05-05,78.46186828613281,117.87995147705078,210.4752197265625,263.796142578125,140.77099609375,1.0
2020-05-06,78.47042846679688,117.01435089111328,211.77096557617188,262.0079650878906,138.49957275390625,1.0
2020-05-07,78.46186828613281,118.61524963378906,214.49794006347656,265.1695861816406,140.8134002685547,1.0
2020-05-08,78.46186828613281,123.19454956054688,217.43751525878906,269.5570983886719,138.98272705078125,1.0
2020-05-11,78.47042846679688,122.58027648925781,219.38119506835938,269.6124572753906,137.89784240722656,1.0
2020-05-12,78.47042846679688,118.17779541015625,214.78794860839844,264.2386169433594,139.3132781982422,1.0
2020-05-13,78.47042846679688,114.22209167480469,212.09974670410156,259.5653381347656,140.28794860839844,1.0
2020-05-14,78.4790267944336,114.59439086914062,214.507568359375,262.671630859375,141.6609344482422,1.0
2020-05-15,78.46186828613281,116.41869354248047,215.9000244140625,263.8790283203125,141.29649353027344,1.0
2020-05-18,78.46186828613281,123.49237823486328,219.92266845703125,271.9167175292969,138.1944580078125,1.0
2020-05-19,78.46186828613281,121.05381774902344,219.3715362548828,269.1239318847656,138.71142578125,1.0
2020-05-20,78.46186828613281,124.72100067138672,223.75196838378906,273.6958312988281,139.12672424316406,1.0
2020-05-21,78.47042846679688,124.94438934326172,221.31515502929688,271.80621337890625,139.4742889404297,1.0
2020-05-22,78.46186828613281,125.54940032958984,222.07907104492188,272.3223876953125,140.3134002685547,1.0
2020-05-26,78.47042846679688,129.1699676513672,221.47955322265625,275.6775817871094,138.43174743652344,1.0
2020-05-27,78.46186828613281,133.18154907226562,222.6882781982422,279.7793273925781,138.17750549316406,1.0
2020-05-28,78.46186828613281,130.02626037597656,222.39822387695312,279.2631530761719,137.66897583007812,1.0
2020-05-29,78.46186828613281,129.28167724609375,225.65696716308594,280.5075988769531,138.65208435058594,1.0
2020-06-01,78.47042846679688,130.5196075439453,226.33389282226562,281.6412353515625,137.71856689453125,1.0
2020-06-02,78.47042846679688,131.5992431640625,227.85202026367188,283.9732971191406,137.21791076660156,1.0
2020-06-03,78.47042846679688,134.7731170654297,228.87701416015625,287.7524719238281,135.393310546875,1.0
2020-06-04,78.47042846679688,134.57766723632812,227.2718048095703,286.9966735839844,133.4329376220703,1.0
2020-06-05,78.45330047607422,139.7805938720703,231.77798461914062,294.35223388671875,132.48245239257812,1.0
2020-06-08,78.46186828613281,142.4890899658203,233.57659912109375,297.9102783203125,132.9916534423828,1.0
2020-06-09,78.46186828613281,139.85508728027344,235.2688446044922,295.6888732910156,134.5022735595703,1.0
2020-06-10,78.47042846679688,136.05758666992188,238.0924530029297,294.03887939453125,136.49656677246094,1.0
2020-06-11,78.45330047607422,125.67967987060547,226.29519653320312,277.08782958984375,139.0764923095703,1.0
2020-06-12,78.47042846679688,128.69534301757812,228.09381103515625,280.4060974121094,137.73558044433594,1.0
2020-06-15,78.47042846679688,131.67076110839844,230.8690643310547,283.02392578125,137.81195068359375,1.0
2020-06-16,78.47042846679688,134.8366241455078,234.8336944580078,288.4714050292969,135.6988067626953,1.0
2020-06-17,78.47042846679688,132.39913940429688,235.57823181152344,287.2732849121094,136.25889587402344,1.0
2020-06-18,78.46186828613281,132.35244750976562,236.21646118164062,287.3837890625,137.7016143798828,1.0
2020-06-19,78.46186828613281,131.67076110839844,236.17782592773438,285.74139404296875,137.81195068359375,1.0
2020-06-22,78.46186828613281,132.98748779296875,239.0102081298828,287.5745544433594,137.82899475097656,1.0
2020-06-23,78.46186828613281,133.5478515625,241.04437255859375,288.8984069824219,136.88697814941406,1.0
2020-06-24,78.46186828613281,129.2145538330078,236.07513427734375,281.5289306640625,138.35508728027344,1.0
2020-06-25,78.47042846679688,131.16644287109375,238.32241821289062,284.5470886230469,138.75393676757812,1.0
2020-06-26,78.46186828613281,127.63627624511719,232.6945037841797,277.7888488769531,140.23907470703125,1.0
2020-06-29,78.46186828613281,131.810791015625,235.232421875,281.8715515136719,139.79783630371094,1.0
2020-06-30,78.46186828613281,133.71595764160156,239.84329223632812,285.4822082519531,139.11891174316406,1.0
2020-07-01,78.46186828613281,132.4458465576172,242.6427459716797,287.48193359375,138.84869384765625,1.0
2020-07-02,78.47042846679688,132.98748779296875,244.2894744873047,289.06512451171875,138.9931182861328,1.0
2020-07-06,78.46186828613281,133.94940185546875,250.2952423095703,293.52752685546875,138.42384338378906,1.0
2020-07-07,78.46186828613281,131.57736206054688,248.57101440429688,290.50006103515625,140.36956787109375,1.0
2020-07-08,78.46186828613281,132.55792236328125,251.8451385498047,292.721923828125,139.8087921142578,1.0
2020-07-09,78.46186828613281,129.8776397705078,253.96649169921875,291.0555419921875,142.034912109375,1.0
2020-07-10,78.47042846679688,131.96958923339844,255.70045471191406,294.0274353027344,141.32119750976562,1.0
2020-07-13,78.47042846679688,130.29788208007812,250.4405517578125,291.48138427734375,141.7885284423828,1.0
2020-07-14,78.47042846679688,132.4552459716797,252.21319580078125,295.2586975097656,141.9923553466797,1.0
2020-07-15,78.47042846679688,137.31150817871094,252.72659301757812,297.9713134765625,141.32962036132812,1.0
2020-07-16,78.46186828613281,136.4989471435547,251.00238037109375,296.9900817871094,142.0009002685547,1.0
2020-07-17,78.47042846679688,136.9005584716797,251.29293823242188,297.8509521484375,141.7034912109375,1.0
2020-07-20,78.47042846679688,136.31224060058594,258.42236328125,300.2580871582031,142.05191040039062,1.0
