date,capital
2020-12-31,100000.0
2021-01-04,98846.31151692159
2021-01-05,99348.16807463109
2021-01-06,97839.62013016689
2021-01-07,99565.54093053748
2021-01-08,100536.09597612733
2021-01-11,99328.93653861945
2021-01-12,99186.21186003492
2021-01-13,99942.3471614223
2021-01-14,99330.08369161282
2021-01-15,98771.23425018499
2021-01-19,99993.57777453585
2021-01-20,101889.29731717463
2021-01-21,102414.05287474129
2021-01-22,102236.47700352351
2021-01-25,103149.37747895284
2021-01-26,103235.01137099495
2021-01-27,100948.75901680323
2021-01-28,101322.9557402474
2021-01-29,99481.92449983444
2021-02-01,101493.61370800134
2021-02-02,102696.0053003427
2021-02-03,102191.4804507163
2021-02-04,103115.64156140598
2021-02-05,103235.22028253197
2021-02-08,103882.0543195722
2021-02-09,103878.79269647985
2021-02-10,103816.2159048617
2021-02-11,104171.76199269271
2021-02-12,104402.46053310782
2021-02-16,103878.66791098627
2021-02-17,103591.86139060896
2021-02-18,103145.17663082303
2021-02-19,102525.40869979744
2021-02-22,100211.76194956822
2021-02-23,99915.14942261855
2021-02-24,100463.72860346732
2021-02-25,97303.36927760122
2021-02-26,98215.36049604481
2021-03-01,100576.85465787892
2021-03-02,99278.72100786865
2021-03-03,96969.76917107326
2021-03-04,95704.14411827634
2021-03-05,96849.70838523626
2021-03-08,94661.53273261931
2021-03-09,97620.44432843494
2021-03-10,97397.83948697965
2021-03-11,99190.82291850058
2021-03-12,98543.36442585195
2021-03-15,99386.25973061266
2021-03-16,99823.97348002595
2021-03-17,100156.28027546991
2021-03-18,97687.96278923322
2021-03-19,97963.10209010972
2021-03-22,99431.90390908564
2021-03-23,99085.91917762604
2021-03-24,97743.98171721613
2021-03-25,97608.74028956401
2021-03-26,98778.25536187465
2021-03-29,98755.72823329517
2021-03-30,98359.67098069836
2021-03-31,99482.19016264775
2021-04-01,100492.93928994503
2021-04-05,100933.85048386725
2021-04-06,100693.9147918346
2021-04-07,99389.94541346807
2021-04-08,100065.7257353634
2021-04-09,100074.34906968538
2021-04-12,99760.9696109544
2021-04-13,99552.05191643283
2021-04-14,100337.31782225455
2021-04-15,100688.90263991212
2021-04-16,100818.57850804833
2021-04-19,99764.56912555941
2021-04-20,98129.21104764235
2021-04-21,100041.93593654859
2021-04-22,99712.72828038836
2021-04-23,101218.3988223747
2021-04-26,102062.73377206374
2021-04-27,102187.37998658571
2021-04-28,102325.6908568384
2021-04-29,102019.51042731742
2021-04-30,100904.72896507304
2021-05-03,101299.58007146107
2021-05-04,100328.21807983147
2021-05-05,100010.95548558183
2021-05-06,100079.15233676243
2021-05-07,101082.00518335903
2021-05-10,99025.22861293037
2021-05-11,98773.97980965915
2021-05-12,96219.65952502648
2021-05-13,97619.5465382133
2021-05-14,99511.20545762478
2021-05-17,99621.08922603323
2021-05-18,99018.06070588871
2021-05-19,98409.23131082626
2021-05-20,98929.71553893146
2021-05-21,99136.5026670134
2021-05-24,99647.61078676139
2021-05-25,98879.47042898738
2021-05-26,100347.55429335483
2021-05-27,101175.33912298095
2021-05-28,101121.43834197079
2021-06-01,102037.61813300417
2021-06-02,102134.49595913888
2021-06-03,101449.28026853103
2021-06-04,101803.06338267153
2021-06-07,102892.81881951758
2021-06-08,103768.15884169587
2021-06-09,103212.10777582116
2021-06-10,102596.65411342485
2021-06-11,103468.33524793547
2021-06-14,103221.81066472875
2021-06-15,102984.67089780494
2021-06-16,102810.83379690198
2021-06-17,101881.67321331192
2021-06-18,100029.97421576412
2021-06-21,101734.36941542341
2021-06-22,102104.42714015479
2021-06-23,102373.90018658199
2021-06-24,103536.58664673625
2021-06-25,103676.72076503676
2021-06-28,103013.41933751434
2021-06-29,102618.2038229807
2021-06-30,102628.69308433446
2021-07-01,103353.96914716854
2021-07-02,102564.24941457386
2021-07-06,101370.0372063039
2021-07-07,100618.33331707555
2021-07-08,99883.20636196801
2021-07-09,101558.40604118412
2021-07-12,101626.44438613749
2021-07-13,100097.983863342
2021-07-14,98867.9580392624
2021-07-15,98426.35570521117
2021-07-16,97467.03472236001
2021-07-19,96312.20186245808
2021-07-20,98663.9356208324
2021-07-21,100009.82600581698
2021-07-22,98748.49880316466
2021-07-23,99111.36559458736
2021-07-26,99342.7084530284
2021-07-27,98420.53964256121
2021-07-28,99565.96176462038
2021-07-29,100176.72519449743
2021-07-30,99647.70972034354
2021-08-02,99251.00979909128
2021-08-03,99579.18447741163
2021-08-04,98587.44633815212
2021-08-05,100001.12501580513
2021-08-06,100493.75892786535
2021-08-09,100050.18190851208
