datetime,UPRO,TQQQ,URTY,TMF,CASH,SPY
2023-12-27 05:00:00,100.0,100.0,100.0,100.0,100.0,100.0
2023-12-28 05:00:00,100.10955411835323,99.85042213928908,98.85376360272977,101.14812518453348,100.01,100.03777465320769
2023-12-29 05:00:00,99.23633972656317,98.55027754731256,94.01005903513621,101.11556703392237,100.02000100000001,99.74816897861535
2024-01-02 05:00:00,97.5665155051564,93.54348492565295,92.33437156058388,103.27715859429637,100.03000300010001,99.18994354787937
2024-01-03 05:00:00,95.17244229067941,90.57047156915685,84.94488142854922,107.93335952268068,100.04000600040001,98.37988709575876
2024-01-04 05:00:00,94.24918643671161,89.16869805631504,84.44303256654023,107.68718257245905,100.05001000100005,98.06299972718305
2024-01-05 05:00:00,94.63289250420557,89.48260681213452,83.69484050106203,106.92253348823728,100.06001500200014,98.19730960525487
2024-01-08 05:00:00,98.6822467882319,95.02749339077828,88.21315563509206,109.36764993453323,100.07002100350034,99.59916895762943
2024-01-09 05:00:00,98.2294038827788,95.58710642217333,85.84229360809643,111.55151409265726,100.0800280056007,99.44807034479865
2024-01-10 05:00:00,99.89229234756543,97.52704854191636,85.98435141659516,109.62737859857707,100.09003600840126,100.01049295922438
2024-01-11 05:00:00,99.75647153862909,98.13216990442544,83.95800058788237,111.10086682302867,100.1000450120021,99.96642253048206
2024-01-12 05:00:00,99.96003512870047,98.27949836804079,83.53840729184606,109.77957922015943,100.1100550165033,100.03567606136284
2024-01-16 05:00:00,98.85533916035637,98.24699775309035,80.43547859119433,108.97094495010732,100.12006602200495,99.66842248851022
2024-01-17 05:00:00,97.20308682267715,96.58073369631207,78.7128028688594,110.23506132481985,100.13007802860714,99.11439424146398
2024-01-18 05:00:00,99.7926572846944,100.68973714654918,80.10562936554514,104.13912161149024,100.14009103641,99.99580281631026
2024-01-19 05:00:00,103.5209885941164,106.67627240498284,82.40995423878486,98.46033734376333,100.15010504551364,101.24236637216428
2024-01-22 05:00:00,104.17370816980515,107.09016210318227,87.68728578155547,96.90878301693685,100.16012005601819,101.45642274034124
2024-01-23 05:00:00,105.08126053038602,108.41926075059888,86.92105521596744,94.25216778366266,100.1701360680238,101.7523241904682
2024-01-24 05:00:00,105.42189180833546,110.22011303741772,84.77546737900954,94.85075651728631,100.18015308163059,101.86354955824642
2024-01-25 05:00:00,107.13806298562909,110.61974199775337,86.87900901416366,92.23793085540481,100.19017109693876,102.41757780529264
2024-01-26 05:00:00,106.72569506037983,108.63850500005347,86.88903365661945,89.23054923922143,100.20019011404845,102.28746511091057
2024-01-29 05:00:00,109.25728552553541,111.97192710332205,91.44789786941074,91.62343909466485,100.21021013305986,103.09752156303121
2024-01-30 05:00:00,108.99963339683619,109.73166722228704,89.10562951144026,91.19741717711048,100.22023115407316,103.01777507292607
2024-01-31 05:00:00,103.65978472791458,103.27985977692943,82.57179355297906,92.90377458911826,100.23025317718857,101.33680300518353
2024-02-01 05:00:00,107.72601757140527,106.9244597897184,85.85648337408378,88.44627423005758,100.2402762025063,102.66311305114269
2024-02-02 05:00:00,111.12417840832765,112.34167237678064,84.49581460046424,86.3092176098145,100.25030023012654,103.74388785125181
2024-02-05 05:00:00,109.90613148415422,111.89750811251047,81.2720439525771,86.86522938937514,100.26032526014956,103.36614131917483
2024-02-06 05:00:00,110.85924594603948,111.21947584129043,83.46655180476621,84.19711858527681,100.27035129267557,103.66623995299156
2024-02-07 05:00:00,113.62890429249171,114.64870543678224,82.88159162230649,84.21531012206698,100.28037832780484,104.53085979307886
2024-02-08 05:00:00,113.77518295353273,115.2813353592551,86.64893182317084,82.95862022504684,100.29040636563762,104.57702881366603
2024-02-09 05:00:00,115.7435571198901,118.68117036866306,90.87319666252382,81.87084242731363,100.30043540627419,105.18142326498918
2024-02-12 05:00:00,115.5867780737829,117.28364192618221,95.82052294782777,80.72274150295686,100.31046544981481,105.13525424440202
2024-02-13 05:00:00,110.80648884976644,111.79139999707172,83.99042219634725,85.47513772882505,100.3204964963598,103.68722587144026
2024-02-14 05:00:00,113.82320581792418,115.44182923682267,89.83952517281256,84.62815053954427,100.33052854600943,104.62949360978784
2024-02-15 05:00:00,116.17496413272785,116.46873131219077,97.02311991507194,81.86309191663355,100.34056159886403,105.35140920442383
2024-02-16 05:00:00,114.43493736057869,113.29603516891656,93.06146572099505,83.9036771165713,100.35059565502391,104.8267612432058
2024-02-20 05:00:00,112.54059465051274,110.72624316736045,89.20923869655415,81.92666848959841,100.3606307145894,104.24964848586598
2024-02-21 05:00:00,112.84219350693584,109.39279435116697,87.94094175442139,82.25587514026095,100.37066677766086,104.34408511888522
2024-02-22 05:00:00,119.84390987697974,118.99629865086779,89.93689012510792,76.59621097522924,100.38070384433863,106.5035361272586
2024-02-23 05:00:00,120.08734486879267,117.94057503284505,90.54227823549915,74.09581521183193,100.39074191472307,106.57698684182915
2024-02-26 05:00:00,118.76335850812677,117.74981310238866,92.25105569889847,74.72763314754744,100.40078098891453,106.18664875868294
2024-02-27 05:00:00,119.42077714796736,118.59501771605346,96.16876379323374,75.90304744292355,100.41082106701343,106.3839163921009
2024-02-28 05:00:00,118.94276648058471,116.69617033228879,93.78920421918413,76.31727696541553,100.42086214912013,106.24331073849447
2024-02-29 05:00:00,120.22107695086865,119.69181735585711,95.7465637989988,75.81407495511031,100.43090423533503,106.62525445426118
2024-03-01 05:00:00,123.60255411894907,125.09388543350215,98.78834640986388,74.51557376554481,100.44094732575857,107.62628276426518
