date,capital
2024-12-27 05:00:00,100000.0
2024-12-30 05:00:00,98337.25203453156
2024-12-31 05:00:00,97067.5511069041
2025-01-02 05:00:00,95972.51414891197
2025-01-03 05:00:00,98082.47659775027
2025-01-06 05:00:00,99690.46505318073
2025-01-07 05:00:00,97188.17806768566
2025-01-08 05:00:00,97640.35004534252
2025-01-10 05:00:00,95061.09280630999
2025-01-13 05:00:00,94947.43026299705
2025-01-14 05:00:00,95169.51559966945
2025-01-15 05:00:00,97143.35996383062
2025-01-16 05:00:00,96389.5050219462
2025-01-17 05:00:00,98236.57114209625
2025-01-21 05:00:00,99620.4470291818
2025-01-22 05:00:00,101334.72002749259
2025-01-23 05:00:00,101972.42070959901
2025-01-24 05:00:00,101196.99440841976
2025-01-27 05:00:00,98240.33554304343
2025-01-28 05:00:00,100466.80457530312
2025-01-29 05:00:00,99032.28883512884
2025-01-30 05:00:00,100524.2712523901
2025-01-31 05:00:00,99418.99569359202
2025-02-03 05:00:00,97699.11911988557
2025-02-04 05:00:00,99197.97098968628
2025-02-05 05:00:00,100092.97219816956
2025-02-06 05:00:00,100602.91330936986
2025-02-07 05:00:00,98705.96723676476
2025-02-10 05:00:00,99951.9143082
2025-02-11 05:00:00,100146.08014622115
2025-02-12 05:00:00,99696.1848772149
2025-02-13 05:00:00,102414.29731370215
2025-02-14 05:00:00,101963.82313704341
2025-02-18 05:00:00,103318.51501117874
2025-02-19 05:00:00,103118.68246137547
2025-02-20 05:00:00,102163.244520219
2025-02-21 05:00:00,98706.9104571779
2025-02-24 05:00:00,97887.06674985538
2025-02-25 05:00:00,96676.1936908297
2025-02-26 05:00:00,96699.0789766585
2025-02-27 05:00:00,93400.0635127449
2025-02-28 05:00:00,96084.60358704279
2025-03-03 05:00:00,92950.65351754971
2025-03-04 05:00:00,90900.97372011666
2025-03-05 05:00:00,92542.3704096831
2025-03-06 05:00:00,89610.49734100382
2025-03-07 05:00:00,90684.19314050634
2025-03-10 04:00:00,86323.15448110383
2025-03-11 04:00:00,85243.48648239435
2025-03-12 04:00:00,85732.34269984257
2025-03-13 04:00:00,83419.43822359527
2025-03-14 04:00:00,86808.7135928636
2025-03-17 04:00:00,88279.70174078367
2025-03-18 04:00:00,86490.24635014389
2025-03-19 04:00:00,88261.24317492772
2025-03-20 04:00:00,88277.56773637314
2025-03-21 04:00:00,87606.09371374326
2025-03-24 04:00:00,90704.59581650537
2025-03-25 04:00:00,91033.72947147036
2025-03-26 04:00:00,88891.16866404751
2025-03-27 04:00:00,88881.63033024754
2025-03-28 04:00:00,85923.9188344443
2025-03-31 04:00:00,87178.03660524657
2025-04-01 04:00:00,89647.13714639591
2025-04-02 04:00:00,89092.76802409142
2025-04-03 04:00:00,95157.17576523406
2025-04-04 04:00:00,100293.80187739803
2025-04-07 04:00:00,101257.32329367915
2025-04-08 04:00:00,102601.94423427523
2025-04-09 04:00:00,91522.40621103175
2025-04-10 04:00:00,97036.67725223952
2025-04-11 04:00:00,93308.96105529308
2025-04-14 04:00:00,97040.15340001875
2025-04-15 04:00:00,94978.36382942142
2025-04-16 04:00:00,94423.27502796424
2025-04-17 04:00:00,96902.19668235343
2025-04-21 04:00:00,101161.00238812185
2025-04-22 04:00:00,99908.32437441632
2025-04-23 04:00:00,99785.11423011476
2025-04-24 04:00:00,97546.08419623665
2025-04-25 04:00:00,94701.25748236134
2025-04-28 04:00:00,94831.52969770523
2025-04-29 04:00:00,92658.9907165911
2025-04-30 04:00:00,94784.8560106499
2025-05-01 04:00:00,93740.90187887548
2025-05-02 04:00:00,90418.58175675274
2025-05-05 04:00:00,90261.66509581679
2025-05-06 04:00:00,91944.44425129436
2025-05-07 04:00:00,90290.51490405286
2025-05-08 04:00:00,87844.29483454829
2025-05-09 04:00:00,88471.77982025094
2025-05-12 04:00:00,85918.1407534458
2025-05-13 04:00:00,84273.32632590432
2025-05-14 04:00:00,83203.88885081607
2025-05-15 04:00:00,83236.95145369248
2025-05-16 04:00:00,79786.94420562757
2025-05-19 04:00:00,76996.71595981892
2025-05-20 04:00:00,75937.57889264578
2025-05-21 04:00:00,76888.87628807177
2025-05-22 04:00:00,77427.42069426764
2025-05-23 04:00:00,80720.5858100822
2025-05-27 04:00:00,80616.49882882871
2025-05-28 04:00:00,80793.27643424786
2025-05-29 04:00:00,80418.03987398857
2025-05-30 04:00:00,78477.44973987705
2025-06-02 04:00:00,79687.51727935795
2025-06-03 04:00:00,80823.21575843923
2025-06-04 04:00:00,81413.90793284876
2025-06-05 04:00:00,79895.3308258475
2025-06-06 04:00:00,81579.96275298603
2025-06-09 04:00:00,82329.75117663729
2025-06-10 04:00:00,83369.03409070912
2025-06-11 04:00:00,82941.47789875863
2025-06-12 04:00:00,83533.99319661205
2025-06-13 04:00:00,81317.7554915389
2025-06-16 04:00:00,83642.32572194794
2025-06-17 04:00:00,82026.74563031069
2025-06-18 04:00:00,82031.81119511851
2025-06-20 04:00:00,81129.61560878703
2025-06-23 04:00:00,82557.87845742423
2025-06-24 04:00:00,85259.55614132222
2025-06-25 04:00:00,86219.31107225367
2025-06-26 04:00:00,88175.2154219617
2025-06-27 04:00:00,89525.25257199493
2025-06-30 04:00:00,90405.72931591548
2025-07-01 04:00:00,89070.45586276751
2025-07-02 04:00:00,90399.25648543642
2025-07-03 04:00:00,93018.27954097828
2025-07-07 04:00:00,91307.49975643432
2025-07-08 04:00:00,91099.43575892583
2025-07-09 04:00:00,92166.99016559469
2025-07-10 04:00:00,91037.64061090174
2025-07-11 04:00:00,90452.6108610612
