ticker,price,ma20,ma50,ma200,rsi,volatility,momentum_12m,regime
NVDA,137.67234802246094,137.15148391723633,139.58308166503906,120.41194297790527,47.81065384325857,0.45008108226341587,1.4574785833584825,RANGE
TSLA,426.5,417.51499938964844,381.21559936523437,251.54139999389648,43.04205537921181,0.7273748091282779,0.9786592157810776,TRANSITIONAL
PLTR,71.7699966430664,73.99450035095215,69.05659996032715,39.207799968719485,34.45276166918835,0.6356156769571083,3.378889525059699,TRANSITIONAL
INTC,21.489999771118164,19.902999877929688,21.890799942016603,26.07506407737732,59.5628382874437,0.4880501211183963,-0.5271860244167328,RANGE
F,9.4777193069458,9.186310863494873,9.715646362304687,10.3904829454422,53.59478694212797,0.22167716760455675,-0.03349583871908579,RANGE
SPY,590.64404296875,583.2694488525391,587.0572619628906,547.9619323730469,47.033806652715654,0.17998182599089474,0.28151221193373743,RANGE
AAPL,228.94454956054688,243.93623733520508,238.20445098876954,215.72904510498046,18.379827401597282,0.24765497853985063,0.26509029005633167,TRANSITIONAL
XLF,49.54047775268555,47.835152816772464,48.543759765625,43.73965877532959,59.52374999549725,0.20058356493849605,0.3689022831623954,BULL
SOFI,16.5,15.28149995803833,15.036999950408935,9.455024983882904,49.313184248499205,0.6618500602262947,1.1912349987065873,TRANSITIONAL
TLT,83.47491455078125,83.36864051818847,85.77820083618164,87.47645988464356,45.17621415853006,0.12326659089854075,-0.04118130074532367,RANGE
AMD,121.45999908447266,121.89500007629394,131.5288005065918,150.19995052337646,45.268142817169434,0.42266558174035357,-0.24168071128802682,TRANSITIONAL
MARA,19.90999984741211,18.835999965667725,21.470599975585937,19.067749977111816,52.46166596748377,0.9665139688882605,0.15353415894490685,BULL
RIVN,14.210000038146973,14.010750007629394,12.705100040435791,12.253199992179871,50.99882554874199,1.0896901675270418,-0.15214798066294477,BULL
PFE,24.52544593811035,24.740858173370363,24.35914566040039,25.49781435966492,44.88194933892973,0.1643638657679063,-0.008609212957319645,RANGE
QQQ,519.1072387695312,513.982568359375,512.0560876464843,475.1049574279785,44.91062037370062,0.22798006525433126,0.2888693602277246,RANGE
BAC,45.47672653198242,43.936399269104,44.5339232635498,39.81355533599854,64.77611660683573,0.2337404595789872,0.5004424319035283,BULL
AVGO,235.31362915039062,228.71123657226562,197.1132211303711,163.65128791809082,41.361280635012974,0.4391837538729407,1.1803453528741152,TRANSITIONAL
T,21.354732513427734,21.295496559143068,21.544505920410156,18.778351302146913,41.605848325385566,0.13484256773212824,0.4372951810109629,RANGE
AMZN,225.94000244140625,222.785001373291,216.87760040283203,192.11850044250488,48.58886384598838,0.2787069516621122,0.4892887248205098,RANGE
MU,105.40455627441406,94.10565910339355,98.89109619140625,109.27021743774414,69.09691901403579,0.8345132839166067,0.2752371088134946,TRANSITIONAL
IWM,222.95272827148438,219.50350952148438,227.53062896728517,211.73675765991212,49.56281649298464,0.22565730408278062,0.20388534299752936,RANGE
NFLX,85.80999755859375,88.13259925842286,87.58098007202149,71.52779502868653,27.053494832813755,0.2640272740030993,0.7864800422314528,TRANSITIONAL
XLE,45.46148681640625,42.193819999694824,43.70149597167969,43.38455688476562,95.89456531424972,0.16932309511712573,0.21284473209746024,OVERBOUGHT
RIOT,13.390000343322754,11.834000062942504,12.178500061035157,10.005074994564056,62.95774684482614,1.1003005392436156,0.23183077132425,BULL
WBD,9.520000457763672,10.289499950408935,10.235799980163574,8.465099971294404,27.27274875222939,0.36683050972519704,-0.06299206685632519,TRANSITIONAL
UBER,67.33999633789062,63.705499267578126,66.93499977111816,70.12845006942749,68.29111535058551,0.29597610029686866,0.0668567407702243,TRANSITIONAL
CMCSA,32.92673873901367,33.411841773986815,36.07185409545898,35.327216606140134,31.66567173829324,0.17639535360512598,-0.1087375563134575,BEAR
GOOGL,195.23538208007812,191.88150939941406,182.75317932128905,170.83668327331543,50.61161735471576,0.2522348314744363,0.39047524242676834,BULL
VZ,36.29521942138672,36.36526355743408,37.81054878234863,37.37237049102783,43.886768902610534,0.13319062445548022,0.0650626243444925,RANGE
MSTR,396.5,340.4415008544922,357.2342013549805,204.89201000213623,60.63605628586033,1.1901188912999827,6.945891540591818,BULL
XLU,38.325252532958984,37.017325973510744,37.82054649353027,35.650074281692504,64.9060854272685,0.175995622014497,0.3179464784438508,BULL
HOOD,48.150001525878906,40.52300033569336,37.81800025939941,25.38257502555847,68.7228892226418,0.7415854598114754,3.521127065779532,BULL
MSFT,425.8883361816406,424.32037658691405,425.3788348388672,420.878484954834,42.69865519531355,0.21131613031170776,0.10981141687489626,RANGE
CSCO,58.801292419433594,57.5135612487793,57.05776878356934,49.666255474090576,58.5323060972315,0.12634946683786918,0.23520539136044105,BULL
HBAN,16.37440299987793,15.801636171340942,16.34193088531494,14.023354015350343,59.76093884311853,0.2850665721765335,0.4527769803067383,BULL
WMT,91.06829071044922,90.7468692779541,89.57561904907226,74.56283321380616,45.940780373298736,0.1905368786618493,0.7329485757275762,RANGE
WFC,75.44066619873047,70.02582473754883,70.89009895324708,60.14892889022827,71.11109048088856,0.30650656589244735,0.6952498023054718,OVERBOUGHT
SLV,27.610000610351562,27.111000061035156,27.785800018310546,27.298499994277954,55.529421144552316,0.23904628386415633,0.33704605909899055,BULL
KO,60.912864685058594,60.263040924072264,60.83803619384766,62.466245803833004,51.178436918991345,0.12142276410182717,0.07726721788658675,RANGE
C,77.83070373535156,70.28456535339356,68.9862831878662,61.7933616065979,76.96627315468407,0.33466087340928885,0.6154204213013448,OVERBOUGHT
