Date,equal_weight,regime_adaptive,enhanced,spy
2021-11-11,1.0143518408631318,1.0100462886041923,1.0105224790803826,1.0003233937418319
2021-11-12,1.0198319541880594,1.013866085179101,1.0148252776946085,1.007872692781881
2021-11-15,1.0198438582563578,1.0138743692809589,1.0153168197660765,1.0082178043932248
2021-11-16,1.010552354700477,1.0074083871977333,1.009325122657199,1.0122081661284337
2021-11-17,1.002449479585428,1.0017540210292284,1.0041406292764292,1.0097492982718932
2021-11-18,0.9976426230877454,0.9983915558415177,1.0012483154571628,1.013178906012952
2021-11-19,0.9909322599990209,0.9916761552668333,0.9949904846028733,1.0113669653048307
2021-11-22,0.9788222077795102,0.9795570120015441,0.9833046423493522,1.0085197595950561
2021-11-23,0.9781385939721047,0.9788728850035837,0.9830861382954774,1.0098571194632964
2021-11-24,0.9874205550800514,0.9881618141024043,0.9928831849512694,1.0125532777397772
2021-11-26,0.9632225905950684,0.9760537491243931,0.9811900699678052,0.9899700454015203
2021-11-29,0.9768977798000542,0.9829824278243319,0.9886224430559895,1.0021136864128188
2021-11-30,0.9586431710946781,0.9737982736808624,0.9798563659853934,0.9826150200366549
2021-12-01,0.9306617578486586,0.9595863892510126,0.9660226663311938,0.9717008478698156
2021-12-02,0.9366331203275282,0.962664864385337,0.9695818006541624,0.9865835940699741
2021-12-03,0.9065341152223302,0.9471970926191642,0.9544645955269149,0.9779990998606494
2021-12-06,0.9127220500054508,0.950429841247963,0.9581766548244758,0.9895819868777979
2021-12-07,0.9424954246322994,0.9659315505141316,0.9742609908360087,1.0100512534737245
2021-12-08,0.9493462729526676,0.9729527522807206,0.9818066717756687,1.0127258335454492
2021-12-09,0.9248186140422349,0.9603839699913641,0.9695910399152452,1.0058883359328437
2021-12-10,0.9256100979858813,0.9612058916962714,0.9708825512902634,1.0153573270400396
2021-12-13,0.9039394634289455,0.9499538852314277,0.9599795935609129,1.0063628469403467
2021-12-14,0.9025541898544461,0.9492259902409754,0.9597011495869588,0.9994391063410942
2021-12-15,0.9204910079910292,0.9680903356164218,0.9792306725148792,1.015055441670586
2021-12-16,0.8955484798531037,0.9418580093616913,0.9531627770736377,1.00610397831565
2021-12-17,0.89389597949338,0.940989033122943,0.9527372578763811,0.9953960211606071
2021-12-20,0.8776341251295974,0.9238704567274719,0.935858640887458,0.9848118069791176
2021-12-21,0.9025204616807221,0.9500678782467936,0.9628416482860862,1.0023011165149731
2021-12-22,0.9096937155868261,0.9576190401406817,0.970952832428378,1.0123226912281102
2021-12-23,0.9218000159440946,0.9703631357952324,0.9843367340951614,1.0186214320455889
2021-12-27,0.9349005265538013,0.9841538196050326,0.9987947407761999,1.0330371393026743
2021-12-28,0.92153825944839,0.9700875892020525,0.9849948683977039,1.0321930055192015
2021-12-29,0.9141395229506856,0.9622990656344087,0.9775557042197532,1.0335133262872458
2021-12-30,0.9231904298861234,0.971826800808797,0.9876999982813129,1.0306562043798164
2021-12-31,0.9149150946516398,0.9631154967200614,0.9793167426550634,1.02805871925324
2022-01-03,0.9407555832531173,0.9903173378093453,1.00744250642963,1.0340113009737073
2022-01-04,0.9335802258600582,0.9827639616106595,1.0002382471909848,1.0336647228824287
2022-01-05,0.9000956303878009,0.9651396306813438,0.9827768462722237,1.013816266125605
2022-01-06,0.8997328033098236,0.964750584473121,0.9828486795056285,1.0128638921564617
2022-01-07,0.8950091433973896,0.9596855766790195,0.9781566786322144,1.0088594941133044
2022-01-10,0.8937582392726322,0.9583442779278347,0.9772553527515092,1.0076040476242842
2022-01-11,0.9135052157352824,0.9795182387013407,0.999312500469203,1.0167816980510822
2022-01-12,0.9153924345359087,0.9815418344113505,1.0018528524215433,1.0195305797728413
2022-01-13,0.888904777061596,0.9673409611433857,0.987835193662995,1.0054827494822793
2022-01-14,0.8976089905502824,0.9720770940000325,0.9931420646609201,1.0058941320202044
2022-01-18,0.8685352101735421,0.9563341835358165,0.9775309291473835,0.9880801717597157
2022-01-19,0.8643512619155233,0.9540307347553755,0.9756419163105882,0.9778203289733479
2022-01-20,0.8612089024567452,0.9522965396223229,0.9743330287103924,0.9669977768862502
2022-01-21,0.8125389580504775,0.9361512514665165,0.9582781008097802,0.9480149622852777
2022-01-24,0.8088719746092911,0.9340388289767628,0.9565720720560287,0.9520408687008131
2022-01-25,0.799403393253421,0.9307586970451379,0.9536683190101236,0.9404175487368885
2022-01-26,0.7954912858978604,0.9293922175021341,0.952722332817198,0.9380581221864089
2022-01-27,0.7746351788252688,0.9220822052074877,0.9456824978692164,0.9334262103958754
2022-01-28,0.7941801341189867,0.9337148136730906,0.9580631628838304,0.9566080458770779
2022-01-31,0.8381469795679297,0.9595606470945565,0.9850391950037399,0.9738375789673247
2022-02-01,0.8610977439262674,0.9726983489749319,0.9989947994476682,0.9804178839323021
2022-02-02,0.8451378105473474,0.963684156941028,0.9902126247059932,0.9899415537913558
2022-02-03,0.8105127468973807,0.9439432195127658,0.970399785085072,0.966673056329239
2022-02-04,0.8339049533934327,0.9575647910401205,0.9848652331867911,0.9712185854683699
2022-02-07,0.8293340209601533,0.9549404128405904,0.9826350166693094,0.9681017569477095
2022-02-08,0.8338641404729665,0.95754852615106,0.98578669033983,0.9760671172949998
2022-02-09,0.8560920555997592,0.9830734364284089,1.0125337540048984,0.9903529363292809
2022-02-10,0.8386718826453218,0.9630693852548485,0.9924123890484345,0.9725605542735485
2022-02-11,0.8214122362414936,0.9531595281368173,0.9826731736145686,0.9533828375059915
2022-02-14,0.8190009231971918,0.9517604949217695,0.9816987603212066,0.9502660089853311
