ticker,price,avg_volume,data_points
NVDA,137.67234802246094,208040385.0,1016
TSLA,426.5,86584800.0,1016
PLTR,71.7699966430664,84734995.0,1016
INTC,21.489999771118164,63705630.0,1016
F,9.4777193069458,60786315.0,1016
SPY,590.64404296875,60084830.0,1016
AAPL,228.94454956054688,51212370.0,1016
XLF,49.54047775268555,42239785.0,1016
SOFI,16.5,39626825.0,1016
TLT,83.47491455078125,39379765.0,1016
AMD,121.45999908447266,39231590.0,1016
MARA,19.90999984741211,38624210.0,1016
RIVN,14.210000038146973,38502435.0,800
PFE,24.52544593811035,38248400.0,1016
QQQ,519.1072387695312,35777630.0,1016
BAC,45.47672653198242,34933655.0,1016
AVGO,235.31362915039062,33528910.0,1016
T,21.354732513427734,33450885.0,1016
AMZN,225.94000244140625,32242780.0,1016
MU,105.40455627441406,30427410.0,1016
IWM,222.95272827148438,30116220.0,1016
NFLX,85.80999755859375,30008650.0,1016
XLE,45.46148681640625,29307960.0,1016
RIOT,13.390000343322754,26221765.0,1016
WBD,9.520000457763672,25460705.0,1016
UBER,67.33999633789062,24491375.0,1016
CMCSA,32.92673873901367,24311381.7,1016
GOOGL,195.23538208007812,24075750.0,1016
VZ,36.29521942138672,21680715.0,1016
MSTR,396.5,21586115.0,1016
XLU,38.325252532958984,21201020.0,1016
HOOD,48.150001525878906,20370740.0,873
MSFT,425.8883361816406,19695490.0,1016
CSCO,58.801292419433594,19629830.0,1016
HBAN,16.37440299987793,17627495.0,1016
WMT,91.06829071044922,16545730.0,1016
WFC,75.44066619873047,16031855.0,1016
SLV,27.610000610351562,15827095.0,1016
KO,60.912864685058594,15740085.0,1016
C,77.83070373535156,15576745.0,1016
XOM,108.34364318847656,15388230.0,1016
CVS,50.462066650390625,15165685.0,1016
LYFT,13.40999984741211,14186175.0,1016
NKE,69.21406555175781,14185925.0,1016
SLB,42.24264144897461,13657315.0,1016
XLB,43.3026123046875,13621930.0,1016
META,610.8438110351562,13440145.0,1016
DVN,36.92107391357422,12202940.0,1016
OXY,50.85017013549805,11912030.0,1016
KEY,17.458959579467773,11787905.0,1016
FCX,39.66814041137695,11646950.0,1016
MRVL,124.3446273803711,11621990.0,1016
LRCX,79.5712890625,11484275.0,1016
JPM,253.95278930664062,10936295.0,1016
BMY,53.58314895629883,10784275.0,1016
MRNA,34.060001373291016,10699040.0,1016
NEE,68.6195297241211,10189855.0,1016
LCID,30.700000762939453,10051558.0,1016
BA,171.08999633789062,9821975.0,1016
MRK,94.37215423583984,9767745.0,1016
XLK,116.33031463623047,9703980.0,1016
XLP,75.18626403808594,9701020.0,1016
HAL,29.037275314331055,9591645.0,1016
NEM,40.97528076171875,9560945.0,1016
RF,23.192623138427734,9045900.0,1016
CVX,154.31639099121094,8971275.0,1016
XLV,137.7570037841797,8892275.0,1016
GM,50.44758605957031,8821610.0,1016
SBUX,92.66968536376953,8578590.0,1016
USB,46.316226959228516,8496320.0,1016
MCHP,56.19634246826172,8368770.0,1016
PYPL,91.5982437133789,8356560.0,1016
JNJ,142.66299438476562,8262735.0,1016
ON,54.630001068115234,8219175.0,1016
XLI,135.88275146484375,7948320.0,1016
PATH,13.020000457763672,7875830.0,942
CMG,57.52000045776367,7804410.0,1016
COIN,295.4800109863281,7761880.0,947
SCHW,75.48550415039062,7726380.0,1016
ORCL,159.41461181640625,7637225.0,1016
VOO,542.7835693359375,7625085.0,1016
QCOM,160.95700073242188,7375480.0,1016
EQT,52.33130645751953,7341765.0,1016
MDT,86.01460266113281,7270465.0,1016
PEP,142.5533447265625,7228395.0,1016
TFC,45.40617370605469,7207595.0,1016
COP,102.31073760986328,7203605.0,1016
DIS,105.84939575195312,7169440.0,1016
CTRA,28.46953582763672,7057490.0,1016
MS,134.11463928222656,7055810.0,1016
PG,156.9824981689453,6951005.0,1016
XLY,113.62691497802734,6758750.0,1016
EXC,38.03723907470703,6701680.0,1016
GILD,89.34230041503906,6620980.0,1016
V,317.3658752441406,6546920.0,1016
XLRE,39.71236801147461,6533210.0,1016
APA,23.174503326416016,6525565.0,1016
FAST,37.2486686706543,6484570.0,1016
AMAT,190.1466064453125,6335195.0,1016
GLD,249.27000427246094,6261660.0,1016
BKR,45.565921783447266,6208445.0,1016
O,51.62968826293945,5888515.0,1016
AI,32.0099983215332,5786805.0,1016
ABBV,165.99160766601562,5679940.0,1016
NOW,214.29600524902344,5674700.0,1016
CHWY,37.0099983215332,5646530.0,1016
SHOP,103.3499984741211,5497365.0,1016
CRM,322.4549255371094,5430745.0,1016
DD,31.728961944580078,5382232.2,1016
UNH,497.5080261230469,5372380.0,1016
EBAY,65.19345092773438,5314710.0,1016
GE,181.81396484375,5206375.0,1016
TXN,186.36915588378906,5156480.0,1016
FITB,42.77925491333008,5089385.0,1016
ABT,111.38992309570312,5033550.0,1016
PLD,105.71417236328125,4919625.0,1016
TGT,127.96454620361328,4918135.0,1016
TJX,120.35808563232422,4823540.0,1016
UPST,62.959999084472656,4819240.0,1016
GIS,56.78803634643555,4789035.0,1016
SRE,82.4799575805664,4724175.0,1016
AR,40.459999084472656,4684855.0,1016
CL,86.06912231445312,4572680.0,1016
XLC,96.21935272216797,4553825.0,1016
MOS,26.309370040893555,4550425.0,1016
AIG,73.51713562011719,4317390.0,1016
BRK-B,467.95001220703125,4256540.0,1016
BK,81.4853744506836,4246555.0,1016
ADBE,429.989990234375,4178205.0,1016
RTX,118.89337158203125,4167005.0,1016
SO,81.18328857421875,4115525.0,1016
D,52.764251708984375,4033425.0,1016
ABNB,135.1199951171875,4022610.0,1016
